; Candidate 6486
; ADRP+ADD at VM 0xfffffff00882ea80 (fileoff 0x182aa80): page=0x1fe9bb000 add_imm=0xe80

0xfffffff00882ea00: 3f010071  cmp	w9, #0
0xfffffff00882ea04: 0d070054  b.le	#0xfffffff00882eae4
0xfffffff00882ea08: 0a0080d2  mov	x10, #0
0xfffffff00882ea0c: 6b130191  add	x11, x27, #0x44
0xfffffff00882ea10: 6afd3f29  stp	w10, wzr, [x11, #-4]
0xfffffff00882ea14: 4a050091  add	x10, x10, #1
0xfffffff00882ea18: 6b210091  add	x11, x11, #8
0xfffffff00882ea1c: 3f010aeb  cmp	x9, x10
0xfffffff00882ea20: 81ffff54  b.ne	#0xfffffff00882ea10
0xfffffff00882ea24: a95201b9  str	w9, [x21, #0x150]
0xfffffff00882ea28: 6a030191  add	x10, x27, #0x40
0xfffffff00882ea2c: abe20591  add	x11, x21, #0x178
0xfffffff00882ea30: 408540fc  ldr	d0, [x10], #8
0xfffffff00882ea34: 60811ffc  stur	d0, [x11, #-8]
0xfffffff00882ea38: 680100b9  str	w8, [x11]
0xfffffff00882ea3c: 6b01188b  add	x11, x11, x24
0xfffffff00882ea40: 290500f1  subs	x9, x9, #1
0xfffffff00882ea44: 61ffff54  b.ne	#0xfffffff00882ea30
0xfffffff00882ea48: 28000014  b	#0xfffffff00882eae8
0xfffffff00882ea4c: d8150294  bl	#0xfffffff0088b41ac
0xfffffff00882ea50: f70300aa  mov	x23, x0
0xfffffff00882ea54: c0008052  mov	w0, #6
0xfffffff00882ea58: 7e330194  bl	#0xfffffff00887b850
0xfffffff00882ea5c: 680340b9  ldr	w8, [x27]
0xfffffff00882ea60: e86703a9  stp	x8, x25, [sp, #0x30]
0xfffffff00882ea64: 68808052  mov	w8, #0x403
0xfffffff00882ea68: e86f02a9  stp	x8, x27, [sp, #0x20]
0xfffffff00882ea6c: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882ea70: 08e11791  add	x8, x8, #0x5f8
0xfffffff00882ea74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882ea78: 480f8052  mov	w8, #0x7a
0xfffffff00882ea7c: f72300a9  stp	x23, x8, [sp]
0xfffffff00882ea80: c04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882ea84: 00003a91  add	x0, x0, #0xe80
0xfffffff00882ea88: c18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882ea8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882ea90: 02008052  mov	w2, #0
0xfffffff00882ea94: e350ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882ea98: 63582b91  add	x3, x3, #0xad6
0xfffffff00882ea9c: a511ec97  bl	#0xfffffff008333130
0xfffffff00882eaa0: 49000014  b	#0xfffffff00882ebc4
0xfffffff00882eaa4: c00640ad  ldp	q0, q1, [x22]
0xfffffff00882eaa8: 800700ad  stp	q0, q1, [x28]
0xfffffff00882eaac: c82240b9  ldr	w8, [x22, #0x20]
0xfffffff00882eab0: 882300b9  str	w8, [x28, #0x20]
0xfffffff00882eab4: c80240b9  ldr	w8, [x22]
0xfffffff00882eab8: a85201b9  str	w8, [x21, #0x150]
0xfffffff00882eabc: 1f050071  cmp	w8, #1
0xfffffff00882eac0: 4b010054  b.lt	#0xfffffff00882eae8
0xfffffff00882eac4: 69730091  add	x9, x27, #0x1c
0xfffffff00882eac8: aac20591  add	x10, x21, #0x170
0xfffffff00882eacc: 208540fc  ldr	d0, [x9], #8
0xfffffff00882ead0: 400100fd  str	d0, [x10]
0xfffffff00882ead4: 4a01188b  add	x10, x10, x24
0xfffffff00882ead8: 080500f1  subs	x8, x8, #1
0xfffffff00882eadc: 81ffff54  b.ne	#0xfffffff00882eacc
0xfffffff00882eae0: 02000014  b	#0xfffffff00882eae8
0xfffffff00882eae4: a95201b9  str	w9, [x21, #0x150]
0xfffffff00882eae8: e00316aa  mov	x0, x22
0xfffffff00882eaec: 01008052  mov	w1, #0
0xfffffff00882eaf0: 82048052  mov	w2, #0x24
0xfffffff00882eaf4: 3378d497  bl	#0xfffffff007d4cbc0
0xfffffff00882eaf8: e1030291  add	x1, sp, #0x80
0xfffffff00882eafc: e0031caa  mov	x0, x28
