; Candidate 4407
; ADRP+ADD at VM 0xfffffff0087af91c (fileoff 0x17ab91c): page=0x1ff258000 add_imm=0xd38

0xfffffff0087af89c: 09020034  cbz	w9, #0xfffffff0087af8dc
0xfffffff0087af8a0: 28008052  mov	w8, #1
0xfffffff0087af8a4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0087af8a8: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087af8ac: 084d2391  add	x8, x8, #0x8d3
0xfffffff0087af8b0: e80300f9  str	x8, [sp]
0xfffffff0087af8b4: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af8b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087af8bc: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af8c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af8c4: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af8c8: 63880e91  add	x3, x3, #0x3a2
0xfffffff0087af8cc: 02008052  mov	w2, #0
0xfffffff0087af8d0: 180eee97  bl	#0xfffffff008333130
0xfffffff0087af8d4: 7f220039  strb	wzr, [x19, #8]
0xfffffff0087af8d8: 0e000014  b	#0xfffffff0087af910
0xfffffff0087af8dc: 690e40f9  ldr	x9, [x19, #0x18]
0xfffffff0087af8e0: 000540ad  ldp	q0, q1, [x8]
0xfffffff0087af8e4: 020d41ad  ldp	q2, q3, [x8, #0x20]
0xfffffff0087af8e8: 220d01ad  stp	q2, q3, [x9, #0x20]
0xfffffff0087af8ec: 200500ad  stp	q0, q1, [x9]
0xfffffff0087af8f0: 000542ad  ldp	q0, q1, [x8, #0x40]
0xfffffff0087af8f4: 020d43ad  ldp	q2, q3, [x8, #0x60]
0xfffffff0087af8f8: 220d03ad  stp	q2, q3, [x9, #0x60]
0xfffffff0087af8fc: 200502ad  stp	q0, q1, [x9, #0x40]
0xfffffff0087af900: 68224039  ldrb	w8, [x19, #8]
0xfffffff0087af904: 09050011  add	w9, w8, #1
0xfffffff0087af908: 69220039  strb	w9, [x19, #8]
0xfffffff0087af90c: 08020034  cbz	w8, #0xfffffff0087af94c
0xfffffff0087af910: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af914: 017974f8  ldr	x1, [x8, x20, lsl #3]
0xfffffff0087af918: 1f7934f8  str	xzr, [x8, x20, lsl #3]
0xfffffff0087af91c: c092ff90  adrp	x0, #0xfffffff007a07000
0xfffffff0087af920: 00e03491  add	x0, x0, #0xd38
0xfffffff0087af924: 02108052  mov	w2, #0x80
0xfffffff0087af928: 309dee97  bl	#0xfffffff008356de8
0xfffffff0087af92c: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0087af930: 1f7934f8  str	xzr, [x8, x20, lsl #3]
0xfffffff0087af934: 600240f9  ldr	x0, [x19]
0xfffffff0087af938: 81f3d797  bl	#0xfffffff007dac73c
0xfffffff0087af93c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087af940: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087af944: ff430191  add	sp, sp, #0x50
0xfffffff0087af948: ff0f5fd6  retab	
0xfffffff0087af94c: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0087af950: e00313aa  mov	x0, x19
0xfffffff0087af954: f0fcff97  bl	#0xfffffff0087aed14
0xfffffff0087af958: dfffff17  b	#0xfffffff0087af8d4
0xfffffff0087af95c: 7f2303d5  pacibsp	
0xfffffff0087af960: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087af964: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087af968: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087af96c: fd830091  add	x29, sp, #0x20
0xfffffff0087af970: f30301aa  mov	x19, x1
0xfffffff0087af974: 3f100071  cmp	w1, #4
0xfffffff0087af978: a3010054  b.lo	#0xfffffff0087af9ac
0xfffffff0087af97c: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087af980: 08612891  add	x8, x8, #0xa18
0xfffffff0087af984: e903132a  mov	w9, w19
0xfffffff0087af988: e82700a9  stp	x8, x9, [sp]
0xfffffff0087af98c: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af990: 00403691  add	x0, x0, #0xd90
0xfffffff0087af994: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af998: 21dc41f9  ldr	x1, [x1, #0x3b8]
