; Candidate 3247
; ADRP+ADD at VM 0xfffffff008724cbc (fileoff 0x1720cbc): page=0x1fea0d000 add_imm=0xd90

0xfffffff008724c3c: 8a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008724c40: 4a7d0891  add	x10, x10, #0x21f
0xfffffff008724c44: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008724c48: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008724c4c: c8938152  mov	w8, #0xc9e
0xfffffff008724c50: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724c54: 29550791  add	x9, x9, #0x1d5
0xfffffff008724c58: e92300a9  stp	x9, x8, [sp]
0xfffffff008724c5c: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724c60: 00403691  add	x0, x0, #0xd90
0xfffffff008724c64: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724c68: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724c6c: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724c70: 63cc2a91  add	x3, x3, #0xab3
0xfffffff008724c74: 02008052  mov	w2, #0
0xfffffff008724c78: 2e39f097  bl	#0xfffffff008333130
0xfffffff008724c7c: 89010014  b	#0xfffffff0087252a0
0xfffffff008724c80: 09518b52  mov	w9, #0x5a88
0xfffffff008724c84: 695d099b  madd	x9, x11, x9, x23
0xfffffff008724c88: 0a2d8b52  mov	w10, #0x5968
0xfffffff008724c8c: 29696ab8  ldr	w9, [x9, x10]
0xfffffff008724c90: 29050051  sub	w9, w9, #1
0xfffffff008724c94: 1f00096b  cmp	w0, w9
0xfffffff008724c98: 49020054  b.ls	#0xfffffff008724ce0
0xfffffff008724c9c: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008724ca0: 8851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008724ca4: 08f10891  add	x8, x8, #0x23c
0xfffffff008724ca8: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff008724cac: e8938152  mov	w8, #0xc9f
0xfffffff008724cb0: 8951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008724cb4: 29550791  add	x9, x9, #0x1d5
0xfffffff008724cb8: e92300a9  stp	x9, x8, [sp]
0xfffffff008724cbc: 6050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008724cc0: 00403691  add	x0, x0, #0xd90
0xfffffff008724cc4: c196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008724cc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008724ccc: a350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008724cd0: 63f42b91  add	x3, x3, #0xafd
0xfffffff008724cd4: 02008052  mov	w2, #0
0xfffffff008724cd8: 1639f097  bl	#0xfffffff008333130
0xfffffff008724cdc: 71010014  b	#0xfffffff0087252a0
0xfffffff008724ce0: 1f4d0071  cmp	w8, #0x13
0xfffffff008724ce4: 481c0054  b.hi	#0xfffffff00872506c
0xfffffff008724ce8: 1f580071  cmp	w0, #0x16
0xfffffff008724cec: 021c0054  b.hs	#0xfffffff00872506c
0xfffffff008724cf0: 9a3640f9  ldr	x26, [x20, #0x68]
0xfffffff008724cf4: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff008724cf8: 08050011  add	w8, w8, #1
0xfffffff008724cfc: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff008724d00: 48ff7fd3  lsr	x8, x26, #0x3f
0xfffffff008724d04: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008724d08: e00314aa  mov	x0, x20
0xfffffff008724d0c: 21008052  mov	w1, #1
0xfffffff008724d10: 02008052  mov	w2, #0
0xfffffff008724d14: 5bd9ff97  bl	#0xfffffff00871b280
0xfffffff008724d18: 08d08452  mov	w8, #0x2680
0xfffffff008724d1c: 2857089b  madd	x8, x25, x8, x21
0xfffffff008724d20: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff008724d24: 09010139  strb	w9, [x8, #0x40]
0xfffffff008724d28: 080380b9  ldrsw	x8, [x24]
0xfffffff008724d2c: 09518b52  mov	w9, #0x5a88
0xfffffff008724d30: 085d099b  madd	x8, x8, x9, x23
0xfffffff008724d34: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008724d38: 7a03f8b7  tbnz	x26, #0x3f, #0xfffffff008724da4
