; Candidate 14998
; ADRP+ADD at VM 0xfffffff009a22dc0 (fileoff 0x2a1edc0): page=0x994000 add_imm=0xd88

0xfffffff009a22d40: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff009a22d44: 880000b4  cbz	x8, #0xfffffff009a22d54
0xfffffff009a22d48: 69008052  mov	w9, #3
0xfffffff009a22d4c: 69761e33  bfi	w9, w19, #2, #0x1e
0xfffffff009a22d50: 1fd929b8  str	wzr, [x8, w9, sxtw #2]
0xfffffff009a22d54: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a22d58: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009a22d5c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009a22d60: ff0f5fd6  retab	
0xfffffff009a22d64: 5f2403d5  bti	c
0xfffffff009a22d68: 6306a317  b	#0xfffffff0082e46f4
0xfffffff009a22d6c: 7f2303d5  pacibsp	
0xfffffff009a22d70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a22d74: fd030091  mov	x29, sp
0xfffffff009a22d78: a04c0090  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a22d7c: 00203691  add	x0, x0, #0xd88
0xfffffff009a22d80: 01dffed0  adrp	x1, #0xfffffff007604000
0xfffffff009a22d84: 21981c91  add	x1, x1, #0x726
0xfffffff009a22d88: c213fff0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a22d8c: 423841f9  ldr	x2, [x2, #0x270]
0xfffffff009a22d90: 03178052  mov	w3, #0xb8
0xfffffff009a22d94: 6903a397  bl	#0xfffffff0082e3b38
0xfffffff009a22d98: f013ffd0  adrp	x16, #0xfffffff007ca0000
0xfffffff009a22d9c: 10023e91  add	x16, x16, #0xf80
0xfffffff009a22da0: 10420091  add	x16, x16, #0x10
0xfffffff009a22da4: f10300aa  mov	x17, x0
0xfffffff009a22da8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a22dac: 300ac1da  pacda	x16, x17
0xfffffff009a22db0: 100000f9  str	x16, [x0]
0xfffffff009a22db4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a22db8: ff0f5fd6  retab	
0xfffffff009a22dbc: 5f2403d5  bti	c
0xfffffff009a22dc0: a04c0090  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a22dc4: 00203691  add	x0, x0, #0xd88
0xfffffff009a22dc8: 4b06a317  b	#0xfffffff0082e46f4
0xfffffff009a22dcc: 7f2303d5  pacibsp	
0xfffffff009a22dd0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009a22dd4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a22dd8: fd830091  add	x29, sp, #0x20
0xfffffff009a22ddc: 2000c03d  ldr	q0, [x1]
0xfffffff009a22de0: e003803d  str	q0, [sp]
0xfffffff009a22de4: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff009a22de8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009a22dec: e1030091  mov	x1, sp
0xfffffff009a22df0: 04000094  bl	#0xfffffff009a22e00
0xfffffff009a22df4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a22df8: ffc30091  add	sp, sp, #0x30
0xfffffff009a22dfc: ff0f5fd6  retab	
0xfffffff009a22e00: 7f2303d5  pacibsp	
0xfffffff009a22e04: fc6fbda9  stp	x28, x27, [sp, #-0x30]!
0xfffffff009a22e08: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009a22e0c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a22e10: fd830091  add	x29, sp, #0x20
0xfffffff009a22e14: ff0309d1  sub	sp, sp, #0x240
0xfffffff009a22e18: f40301aa  mov	x20, x1
0xfffffff009a22e1c: f30300aa  mov	x19, x0
0xfffffff009a22e20: 200040f9  ldr	x0, [x1]
0xfffffff009a22e24: 01008052  mov	w1, #0
0xfffffff009a22e28: 8317a897  bl	#0xfffffff008428c34
0xfffffff009a22e2c: 080040f9  ldr	x8, [x0]
0xfffffff009a22e30: 898c8fd2  mov	x9, #0x7c64
0xfffffff009a22e34: 0931a5f2  movk	x9, #0x2988, lsl #16
0xfffffff009a22e38: 898adcf2  movk	x9, #0xe454, lsl #32
0xfffffff009a22e3c: a972faf2  movk	x9, #0xd395, lsl #48
