; Candidate 6115
; ADRP+ADD at VM 0xfffffff00881580c (fileoff 0x181180c): page=0x1fe9d4000 add_imm=0xe80

0xfffffff00881578c: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff008815790: 00b83491  add	x0, x0, #0xd2e
0xfffffff008815794: 3387d697  bl	#0xfffffff007db7460
0xfffffff008815798: d30400b4  cbz	x19, #0xfffffff008815830
0xfffffff00881579c: b40400b4  cbz	x20, #0xfffffff008815830
0xfffffff0088157a0: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff0088157a4: 1a211f91  add	x26, x8, #0x7c8
0xfffffff0088157a8: 88a649a9  ldp	x8, x9, [x20, #0x98]
0xfffffff0088157ac: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088157b0: 95a24aa9  ldp	x21, x8, [x20, #0xa8]
0xfffffff0088157b4: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff0088157b8: 765a40b9  ldr	w22, [x19, #0x58]
0xfffffff0088157bc: 97c640b9  ldr	w23, [x20, #0xc4]
0xfffffff0088157c0: d50600b4  cbz	x21, #0xfffffff008815898
0xfffffff0088157c4: e00315aa  mov	x0, x21
0xfffffff0088157c8: ddd10194  bl	#0xfffffff008889f3c
0xfffffff0088157cc: f90300aa  mov	x25, x0
0xfffffff0088157d0: e00315aa  mov	x0, x21
0xfffffff0088157d4: dad70194  bl	#0xfffffff00888b73c
0xfffffff0088157d8: f803002a  mov	w24, w0
0xfffffff0088157dc: 387f60b3  bfi	x24, x25, #0x20, #0x20
0xfffffff0088157e0: 2f000014  b	#0xfffffff00881589c
0xfffffff0088157e4: 727a0294  bl	#0xfffffff0088b41ac
0xfffffff0088157e8: f50300aa  mov	x21, x0
0xfffffff0088157ec: 00018052  mov	w0, #8
0xfffffff0088157f0: 18980194  bl	#0xfffffff00887b850
0xfffffff0088157f4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088157f8: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088157fc: 08392291  add	x8, x8, #0x88e
0xfffffff008815800: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815804: 880e8052  mov	w8, #0x74
0xfffffff008815808: f52300a9  stp	x21, x8, [sp]
0xfffffff00881580c: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815810: 00003a91  add	x0, x0, #0xe80
0xfffffff008815814: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815818: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881581c: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815820: 635c1891  add	x3, x3, #0x617
0xfffffff008815824: 02008052  mov	w2, #0
0xfffffff008815828: 4276ec97  bl	#0xfffffff008333130
0xfffffff00881582c: 93fbffb5  cbnz	x19, #0xfffffff00881579c
0xfffffff008815830: 800e8052  mov	w0, #0x74
0xfffffff008815834: 81008052  mov	w1, #4
0xfffffff008815838: e6970194  bl	#0xfffffff00887b7d0
0xfffffff00881583c: a0090034  cbz	w0, #0xfffffff008815970
0xfffffff008815840: 800e8052  mov	w0, #0x74
0xfffffff008815844: f5970194  bl	#0xfffffff00887b818
0xfffffff008815848: f60300aa  mov	x22, x0
0xfffffff00881584c: 587a0294  bl	#0xfffffff0088b41ac
0xfffffff008815850: f50300aa  mov	x21, x0
0xfffffff008815854: 80008052  mov	w0, #4
0xfffffff008815858: fe970194  bl	#0xfffffff00887b850
0xfffffff00881585c: f6050034  cbz	w22, #0xfffffff008815918
0xfffffff008815860: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008815864: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815868: 080d2091  add	x8, x8, #0x803
0xfffffff00881586c: 89ca8052  mov	w9, #0x654
0xfffffff008815870: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008815874: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff008815878: 08392291  add	x8, x8, #0x88e
0xfffffff00881587c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008815880: 880e8052  mov	w8, #0x74
0xfffffff008815884: 0050ff90  adrp	x0, #0xfffffff007215000
0xfffffff008815888: 00081391  add	x0, x0, #0x4c2
