; Candidate 2572
; ADRP+ADD at VM 0xfffffff0086c0c90 (fileoff 0x16bcc90): page=0x1fea6d000 add_imm=0xd08

0xfffffff0086c0c10: 4e47f597  bl	#0xfffffff008412948
0xfffffff0086c0c14: 6153ff90  adrp	x1, #0xfffffff00712c000
0xfffffff0086c0c18: 213c2291  add	x1, x1, #0x88f
0xfffffff0086c0c1c: 4353fff0  adrp	x3, #0xfffffff00712b000
0xfffffff0086c0c20: 63901d91  add	x3, x3, #0x764
0xfffffff0086c0c24: e00313aa  mov	x0, x19
0xfffffff0086c0c28: e20317aa  mov	x2, x23
0xfffffff0086c0c2c: edf3ff97  bl	#0xfffffff0086bdbe0
0xfffffff0086c0c30: 794a01b9  str	w25, [x19, #0x148]
0xfffffff0086c0c34: 68fe40b9  ldr	w8, [x19, #0xfc]
0xfffffff0086c0c38: 1f190071  cmp	w8, #6
0xfffffff0086c0c3c: 03030054  b.lo	#0xfffffff0086c0c9c
0xfffffff0086c0c40: 700240f9  ldr	x16, [x19]
0xfffffff0086c0c44: f10313aa  mov	x17, x19
0xfffffff0086c0c48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c0c4c: 301ac1da  autda	x16, x17
0xfffffff0086c0c50: 113d80d2  mov	x17, #0x1e8
0xfffffff0086c0c54: 1002118b  add	x16, x16, x17
0xfffffff0086c0c58: 080240f9  ldr	x8, [x16]
0xfffffff0086c0c5c: e90310aa  mov	x9, x16
0xfffffff0086c0c60: e00313aa  mov	x0, x19
0xfffffff0086c0c64: 010080d2  mov	x1, #0
0xfffffff0086c0c68: f10309aa  mov	x17, x9
0xfffffff0086c0c6c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086c0c70: 11093fd7  blraa	x8, x17
0xfffffff0086c0c74: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0086c0c78: 297f4093  sxtw	x9, w25
0xfffffff0086c0c7c: e9db01a9  stp	x9, x22, [sp, #0x18]
0xfffffff0086c0c80: 6a53ffb0  adrp	x10, #0xfffffff00712d000
0xfffffff0086c0c84: 4a8d3291  add	x10, x10, #0xca3
0xfffffff0086c0c88: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0086c0c8c: e00300f9  str	x0, [sp]
0xfffffff0086c0c90: 6053ffb0  adrp	x0, #0xfffffff00712d000
0xfffffff0086c0c94: 00203491  add	x0, x0, #0xd08
0xfffffff0086c0c98: e258f297  bl	#0xfffffff008357020
0xfffffff0086c0c9c: 688a4839  ldrb	w8, [x19, #0x222]
0xfffffff0086c0ca0: 88c80034  cbz	w8, #0xfffffff0086c25b0
0xfffffff0086c0ca4: 900340f9  ldr	x16, [x28]
0xfffffff0086c0ca8: f1031caa  mov	x17, x28
0xfffffff0086c0cac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086c0cb0: 301ac1da  autda	x16, x17
0xfffffff0086c0cb4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0086c0cb8: e90310aa  mov	x9, x16
0xfffffff0086c0cbc: e0031caa  mov	x0, x28
0xfffffff0086c0cc0: f10309aa  mov	x17, x9
0xfffffff0086c0cc4: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff0086c0cc8: 11093fd7  blraa	x8, x17
0xfffffff0086c0ccc: f80300aa  mov	x24, x0
0xfffffff0086c0cd0: e00313aa  mov	x0, x19
0xfffffff0086c0cd4: e10318aa  mov	x1, x24
0xfffffff0086c0cd8: 81f8ff97  bl	#0xfffffff0086beedc
0xfffffff0086c0cdc: f60300aa  mov	x22, x0
0xfffffff0086c0ce0: e00313aa  mov	x0, x19
0xfffffff0086c0ce4: e10316aa  mov	x1, x22
0xfffffff0086c0ce8: 7af5ff97  bl	#0xfffffff0086be2d0
0xfffffff0086c0cec: f90300aa  mov	x25, x0
0xfffffff0086c0cf0: 680241b9  ldr	w8, [x19, #0x100]
0xfffffff0086c0cf4: c8000034  cbz	w8, #0xfffffff0086c0d0c
0xfffffff0086c0cf8: 1f414031  cmn	w8, #0x10, lsl #12
0xfffffff0086c0cfc: 41000054  b.ne	#0xfffffff0086c0d04
0xfffffff0086c0d00: 680641b9  ldr	w8, [x19, #0x104]
0xfffffff0086c0d04: 1f01196b  cmp	w8, w25
0xfffffff0086c0d08: 19b1991a  csel	w25, w8, w25, lt
0xfffffff0086c0d0c: 68924839  ldrb	w8, [x19, #0x224]
