; Candidate 517
; ADRP+ADD at VM 0xfffffff007f51f38 (fileoff 0xf4df38): page=0x22ec000 add_imm=0xe90

0xfffffff007f51eb8: 06000014  b	#0xfffffff007f51ed0
0xfffffff007f51ebc: 081e8152  mov	w8, #0x8f0
0xfffffff007f51ec0: a987ffb0  adrp	x9, #0xfffffff007046000
0xfffffff007f51ec4: 29d92791  add	x9, x9, #0x9f6
0xfffffff007f51ec8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f51ecc: f70300a9  stp	x23, x0, [sp]
0xfffffff007f51ed0: a087ffb0  adrp	x0, #0xfffffff007046000
0xfffffff007f51ed4: 00e42a91  add	x0, x0, #0xab9
0xfffffff007f51ed8: 8d091594  bl	#0xfffffff00849450c
0xfffffff007f51edc: ebffff17  b	#0xfffffff007f51e88
0xfffffff007f51ee0: 7f2303d5  pacibsp	
0xfffffff007f51ee4: ffc301d1  sub	sp, sp, #0x70
0xfffffff007f51ee8: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff007f51eec: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff007f51ef0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff007f51ef4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff007f51ef8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff007f51efc: fd830191  add	x29, sp, #0x60
0xfffffff007f51f00: df0000f9  str	xzr, [x6]
0xfffffff007f51f04: 48c040f8  ldur	x8, [x2, #0xc]
0xfffffff007f51f08: 080103eb  subs	x8, x8, x3
0xfffffff007f51f0c: ad090054  b.le	#0xfffffff007f52040
0xfffffff007f51f10: f70303aa  mov	x23, x3
0xfffffff007f51f14: 4306f8b7  tbnz	x3, #0x3f, #0xfffffff007f51fdc
0xfffffff007f51f18: 1f0104eb  cmp	x8, x4
0xfffffff007f51f1c: 1931849a  csel	x25, x8, x4, lo
0xfffffff007f51f20: 190900b4  cbz	x25, #0xfffffff007f52040
0xfffffff007f51f24: f60306aa  mov	x22, x6
0xfffffff007f51f28: f30305aa  mov	x19, x5
0xfffffff007f51f2c: f50302aa  mov	x21, x2
0xfffffff007f51f30: f40301aa  mov	x20, x1
0xfffffff007f51f34: f80300aa  mov	x24, x0
0xfffffff007f51f38: 60170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f51f3c: 00403a91  add	x0, x0, #0xe90
0xfffffff007f51f40: f26ef997  bl	#0xfffffff007dadb08
0xfffffff007f51f44: a00a40b9  ldr	w0, [x21, #8]
0xfffffff007f51f48: 01038052  mov	w1, #0x18
0xfffffff007f51f4c: a2679852  mov	w2, #0xc33d
0xfffffff007f51f50: 28fbff97  bl	#0xfffffff007f50bf0
0xfffffff007f51f54: 800400b4  cbz	x0, #0xfffffff007f51fe4
0xfffffff007f51f58: e80300aa  mov	x8, x0
0xfffffff007f51f5c: f00300aa  mov	x16, x0
0xfffffff007f51f60: f033c1da  autiza	x16
0xfffffff007f51f64: f10310aa  mov	x17, x16
0xfffffff007f51f68: f143c1da  xpaci	x17
0xfffffff007f51f6c: 1f0211eb  cmp	x16, x17
0xfffffff007f51f70: 40000054  b.eq	#0xfffffff007f51f78
0xfffffff007f51f74: 008e38d4  brk	#0xc470
0xfffffff007f51f78: b16798d2  mov	x17, #0xc33d
0xfffffff007f51f7c: 3002c1da  pacia	x16, x17
0xfffffff007f51f80: 300300b4  cbz	x16, #0xfffffff007f51fe4
0xfffffff007f51f84: 891501d0  adrp	x9, #0xfffffff00a203000
0xfffffff007f51f88: 21a945f9  ldr	x1, [x9, #0xb50]
0xfffffff007f51f8c: e00318aa  mov	x0, x24
0xfffffff007f51f90: e20315aa  mov	x2, x21
0xfffffff007f51f94: e30317aa  mov	x3, x23
0xfffffff007f51f98: e40319aa  mov	x4, x25
0xfffffff007f51f9c: 25008052  mov	w5, #1
0xfffffff007f51fa0: e60313aa  mov	x6, x19
0xfffffff007f51fa4: e70316aa  mov	x7, x22
0xfffffff007f51fa8: 1f093fd6  blraaz	x8
0xfffffff007f51fac: f50300aa  mov	x21, x0
0xfffffff007f51fb0: 76170190  adrp	x22, #0xfffffff00a23d000
0xfffffff007f51fb4: d6423a91  add	x22, x22, #0xe90
