; Candidate 2586
; ADRP+ADD at VM 0xfffffff0086cad80 (fileoff 0x16c6d80): page=0x1fea65000 add_imm=0xde4

0xfffffff0086cad00: 80e00090  adrp	x0, #0xfffffff00a2da000
0xfffffff0086cad04: 00e00f91  add	x0, x0, #0x3f8
0xfffffff0086cad08: 7b66f017  b	#0xfffffff0082e46f4
0xfffffff0086cad0c: 7f2303d5  pacibsp	
0xfffffff0086cad10: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086cad14: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086cad18: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086cad1c: fd830091  add	x29, sp, #0x20
0xfffffff0086cad20: f30300aa  mov	x19, x0
0xfffffff0086cad24: 7099ffd0  adrp	x16, #0xfffffff0079f8000
0xfffffff0086cad28: 10422d91  add	x16, x16, #0xb50
0xfffffff0086cad2c: 10420091  add	x16, x16, #0x10
0xfffffff0086cad30: f10300aa  mov	x17, x0
0xfffffff0086cad34: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cad38: 300ac1da  pacda	x16, x17
0xfffffff0086cad3c: 100000f9  str	x16, [x0]
0xfffffff0086cad40: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086cad44: 00000ead  stp	q0, q0, [x0, #0x1c0]
0xfffffff0086cad48: 00000dad  stp	q0, q0, [x0, #0x1a0]
0xfffffff0086cad4c: 00000cad  stp	q0, q0, [x0, #0x180]
0xfffffff0086cad50: 00000bad  stp	q0, q0, [x0, #0x160]
0xfffffff0086cad54: 00000aad  stp	q0, q0, [x0, #0x140]
0xfffffff0086cad58: 000009ad  stp	q0, q0, [x0, #0x120]
0xfffffff0086cad5c: 000008ad  stp	q0, q0, [x0, #0x100]
0xfffffff0086cad60: 000007ad  stp	q0, q0, [x0, #0xe0]
0xfffffff0086cad64: 000006ad  stp	q0, q0, [x0, #0xc0]
0xfffffff0086cad68: 000005ad  stp	q0, q0, [x0, #0xa0]
0xfffffff0086cad6c: 000004ad  stp	q0, q0, [x0, #0x80]
0xfffffff0086cad70: 000003ad  stp	q0, q0, [x0, #0x60]
0xfffffff0086cad74: 000002ad  stp	q0, q0, [x0, #0x40]
0xfffffff0086cad78: 000c803d  str	q0, [x0, #0x30]
0xfffffff0086cad7c: 01840429  stp	w1, w1, [x0, #0x24]
0xfffffff0086cad80: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086cad84: 00903791  add	x0, x0, #0xde4
0xfffffff0086cad88: 010080d2  mov	x1, #0
0xfffffff0086cad8c: 020080d2  mov	x2, #0
0xfffffff0086cad90: 030080d2  mov	x3, #0
0xfffffff0086cad94: 040080d2  mov	x4, #0
0xfffffff0086cad98: bb50f297  bl	#0xfffffff00835f084
0xfffffff0086cad9c: 200400b4  cbz	x0, #0xfffffff0086cae20
0xfffffff0086cada0: f40300aa  mov	x20, x0
0xfffffff0086cada4: 28008052  mov	w8, #1
0xfffffff0086cada8: e80f00b9  str	w8, [sp, #0xc]
0xfffffff0086cadac: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086cadb0: 00f43791  add	x0, x0, #0xdfd
0xfffffff0086cadb4: e1330091  add	x1, sp, #0xc
0xfffffff0086cadb8: 82008052  mov	w2, #4
0xfffffff0086cadbc: 7f88f697  bl	#0xfffffff00846cfb8
0xfffffff0086cadc0: e0040034  cbz	w0, #0xfffffff0086cae5c
0xfffffff0086cadc4: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff0086cadc8: 68010035  cbnz	w8, #0xfffffff0086cadf4
0xfffffff0086cadcc: 700240f9  ldr	x16, [x19]
0xfffffff0086cadd0: f10313aa  mov	x17, x19
0xfffffff0086cadd4: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cadd8: 301ac1da  autda	x16, x17
0xfffffff0086caddc: 080e45f8  ldr	x8, [x16, #0x50]!
0xfffffff0086cade0: e90310aa  mov	x9, x16
0xfffffff0086cade4: e00313aa  mov	x0, x19
0xfffffff0086cade8: f10309aa  mov	x17, x9
0xfffffff0086cadec: b18eedf2  movk	x17, #0x6c75, lsl #48
0xfffffff0086cadf0: 11093fd7  blraa	x8, x17
0xfffffff0086cadf4: 900240f9  ldr	x16, [x20]
0xfffffff0086cadf8: f10314aa  mov	x17, x20
0xfffffff0086cadfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
