; Candidate 14454
; ADRP+ADD at VM 0xfffffff00978b734 (fileoff 0x2787734): page=0x1fe4b5000 add_imm=0xde0

0xfffffff00978b6b4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00978b6b8: ff030191  add	sp, sp, #0x40
0xfffffff00978b6bc: ff0f5fd6  retab	
0xfffffff00978b6c0: e00314aa  mov	x0, x20
0xfffffff00978b6c4: 6b000094  bl	#0xfffffff00978b870
0xfffffff00978b6c8: e00313aa  mov	x0, x19
0xfffffff00978b6cc: c5fcff97  bl	#0xfffffff00978a9e0
0xfffffff00978b6d0: 700240f9  ldr	x16, [x19]
0xfffffff00978b6d4: f10313aa  mov	x17, x19
0xfffffff00978b6d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00978b6dc: 301ac1da  autda	x16, x17
0xfffffff00978b6e0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00978b6e4: e90310aa  mov	x9, x16
0xfffffff00978b6e8: e00313aa  mov	x0, x19
0xfffffff00978b6ec: f10309aa  mov	x17, x9
0xfffffff00978b6f0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00978b6f4: 11093fd7  blraa	x8, x17
0xfffffff00978b6f8: edffff17  b	#0xfffffff00978b6ac
0xfffffff00978b6fc: 7f2303d5  pacibsp	
0xfffffff00978b700: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff00978b704: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00978b708: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00978b70c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00978b710: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00978b714: fd030191  add	x29, sp, #0x40
0xfffffff00978b718: f70306aa  mov	x23, x6
0xfffffff00978b71c: f40305aa  mov	x20, x5
0xfffffff00978b720: f30304aa  mov	x19, x4
0xfffffff00978b724: f60303aa  mov	x22, x3
0xfffffff00978b728: f90302aa  mov	x25, x2
0xfffffff00978b72c: f80301aa  mov	x24, x1
0xfffffff00978b730: fa0300aa  mov	x26, x0
0xfffffff00978b734: a025ffb0  adrp	x0, #0xfffffff007c40000
0xfffffff00978b738: 00803791  add	x0, x0, #0xde0
0xfffffff00978b73c: 6e2baf97  bl	#0xfffffff0083564f4
0xfffffff00978b740: f50300aa  mov	x21, x0
0xfffffff00978b744: c00100b4  cbz	x0, #0xfffffff00978b77c
0xfffffff00978b748: ba0200f9  str	x26, [x21]
0xfffffff00978b74c: b70a00b9  str	w23, [x21, #8]
0xfffffff00978b750: b9320039  strb	w25, [x21, #0xc]
0xfffffff00978b754: b8360039  strb	w24, [x21, #0xd]
0xfffffff00978b758: b61200b9  str	w22, [x21, #0x10]
0xfffffff00978b75c: b30e00f9  str	x19, [x21, #0x18]
0xfffffff00978b760: f30000b4  cbz	x19, #0xfffffff00978b77c
0xfffffff00978b764: e00313aa  mov	x0, x19
0xfffffff00978b768: 602daf97  bl	#0xfffffff008356ce8
0xfffffff00978b76c: a01200f9  str	x0, [x21, #0x20]
0xfffffff00978b770: e10314aa  mov	x1, x20
0xfffffff00978b774: e20313aa  mov	x2, x19
0xfffffff00978b778: 86049797  bl	#0xfffffff007d4c990
0xfffffff00978b77c: e00315aa  mov	x0, x21
0xfffffff00978b780: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00978b784: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00978b788: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00978b78c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00978b790: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff00978b794: ff0f5fd6  retab	
0xfffffff00978b798: 5f2403d5  bti	c
0xfffffff00978b79c: 800600b4  cbz	x0, #0xfffffff00978b86c
0xfffffff00978b7a0: 7f2303d5  pacibsp	
0xfffffff00978b7a4: ffc301d1  sub	sp, sp, #0x70
0xfffffff00978b7a8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00978b7ac: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00978b7b0: fd830191  add	x29, sp, #0x60
