; Candidate 1612
; ADRP+ADD at VM 0xfffffff0084bc114 (fileoff 0x14b8114): page=0x1feb9a000 add_imm=0xdcf

0xfffffff0084bc094: 08fd3591  add	x8, x8, #0xd7f
0xfffffff0084bc098: e80300f9  str	x8, [sp]
0xfffffff0084bc09c: c05cffd0  adrp	x0, #0xfffffff007056000
0xfffffff0084bc0a0: 00d83491  add	x0, x0, #0xd36
0xfffffff0084bc0a4: 1a61ff97  bl	#0xfffffff00849450c
0xfffffff0084bc0a8: 7f2303d5  pacibsp	
0xfffffff0084bc0ac: ff0301d1  sub	sp, sp, #0x40
0xfffffff0084bc0b0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0084bc0b4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0084bc0b8: fdc30091  add	x29, sp, #0x30
0xfffffff0084bc0bc: f30300aa  mov	x19, x0
0xfffffff0084bc0c0: 14e700d0  adrp	x20, #0xfffffff00a19e000
0xfffffff0084bc0c4: 94c23391  add	x20, x20, #0xcf0
0xfffffff0084bc0c8: e00314aa  mov	x0, x20
0xfffffff0084bc0cc: 7acee397  bl	#0xfffffff007dafab4
0xfffffff0084bc0d0: e00313aa  mov	x0, x19
0xfffffff0084bc0d4: 55000094  bl	#0xfffffff0084bc228
0xfffffff0084bc0d8: 08a1ffb0  adrp	x8, #0xfffffff0078dd000
0xfffffff0084bc0dc: 099145f9  ldr	x9, [x8, #0xb20]
0xfffffff0084bc0e0: 2809008b  add	x8, x9, x0, lsl #2
0xfffffff0084bc0e4: 0a008012  mov	w10, #-1
0xfffffff0084bc0e8: 0a016ab8  ldaddl	w10, w10, [x8]
0xfffffff0084bc0ec: aa010034  cbz	w10, #0xfffffff0084bc120
0xfffffff0084bc0f0: 5f050071  cmp	w10, #1
0xfffffff0084bc0f4: a0010054  b.eq	#0xfffffff0084bc128
0xfffffff0084bc0f8: 488b8152  mov	w8, #0xc5a
0xfffffff0084bc0fc: c95cffd0  adrp	x9, #0xfffffff007056000
0xfffffff0084bc100: 29a91d91  add	x9, x9, #0x76a
0xfffffff0084bc104: ca5cffd0  adrp	x10, #0xfffffff007056000
0xfffffff0084bc108: 4af53791  add	x10, x10, #0xdfd
0xfffffff0084bc10c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084bc110: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0084bc114: c05cffd0  adrp	x0, #0xfffffff007056000
0xfffffff0084bc118: 003c3791  add	x0, x0, #0xdcf
0xfffffff0084bc11c: fc60ff97  bl	#0xfffffff00849450c
0xfffffff0084bc120: e00308aa  mov	x0, x8
0xfffffff0084bc124: 2e90ff97  bl	#0xfffffff0084a01dc
0xfffffff0084bc128: 2809008b  add	x8, x9, x0, lsl #2
0xfffffff0084bc12c: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff0084bc130: 08e700d0  adrp	x8, #0xfffffff00a19e000
0xfffffff0084bc134: 098546f9  ldr	x9, [x8, #0xd08]
0xfffffff0084bc138: 690200f9  str	x9, [x19]
0xfffffff0084bc13c: 138506f9  str	x19, [x8, #0xd08]
0xfffffff0084bc140: 9ffe9fc8  stlr	xzr, [x20]
0xfffffff0084bc144: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0084bc148: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0084bc14c: ff030191  add	sp, sp, #0x40
0xfffffff0084bc150: ff0f5fd6  retab	
0xfffffff0084bc154: 7f2303d5  pacibsp	
0xfffffff0084bc158: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084bc15c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084bc160: fd430091  add	x29, sp, #0x10
0xfffffff0084bc164: f40300aa  mov	x20, x0
0xfffffff0084bc168: 13e700d0  adrp	x19, #0xfffffff00a19e000
0xfffffff0084bc16c: 73c23391  add	x19, x19, #0xcf0
0xfffffff0084bc170: e00313aa  mov	x0, x19
0xfffffff0084bc174: 50cee397  bl	#0xfffffff007dafab4
0xfffffff0084bc178: e00314aa  mov	x0, x20
0xfffffff0084bc17c: 2b000094  bl	#0xfffffff0084bc228
0xfffffff0084bc180: e80300aa  mov	x8, x0
0xfffffff0084bc184: 09a1ffb0  adrp	x9, #0xfffffff0078dd000
0xfffffff0084bc188: 299145f9  ldr	x9, [x9, #0xb20]
0xfffffff0084bc18c: 2009008b  add	x0, x9, x0, lsl #2
0xfffffff0084bc190: 0a008012  mov	w10, #-1
