; Candidate 4692
; ADRP+ADD at VM 0xfffffff0087c2a5c (fileoff 0x17bea5c): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c29dc: 794cffd0  adrp	x25, #0xfffffff007150000
0xfffffff0087c29e0: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c29e4: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff0087c29e8: 40040014  b	#0xfffffff0087c3ae8
0xfffffff0087c29ec: 0909298b  add	x9, x8, w9, uxtb #2
0xfffffff0087c29f0: 299d86b9  ldrsw	x9, [x9, #0x69c]
0xfffffff0087c29f4: 3f050031  cmn	w9, #1
0xfffffff0087c29f8: 40bcff54  b.eq	#0xfffffff0087c2180
0xfffffff0087c29fc: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff0087c2a00: 089d43f9  ldr	x8, [x8, #0x738]
0xfffffff0087c2a04: e8bbffb4  cbz	x8, #0xfffffff0087c2180
0xfffffff0087c2a08: 08b143f9  ldr	x8, [x8, #0x760]
0xfffffff0087c2a0c: 68fa17f9  str	x8, [x19, #0x2ff0]
0xfffffff0087c2a10: 69a67cb9  ldr	w9, [x19, #0x3ca4]
0xfffffff0087c2a14: 8a008052  mov	w10, #4
0xfffffff0087c2a18: 0a01a072  movk	w10, #8, lsl #16
0xfffffff0087c2a1c: 5f01296a  bics	wzr, w10, w9
0xfffffff0087c2a20: c1bdff54  b.ne	#0xfffffff0087c21d8
0xfffffff0087c2a24: 080140f9  ldr	x8, [x8]
0xfffffff0087c2a28: e80300f9  str	x8, [sp]
0xfffffff0087c2a2c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2a30: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2a34: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2a38: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2a3c: 02008052  mov	w2, #0
0xfffffff0087c2a40: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2a44: 63242491  add	x3, x3, #0x909
0xfffffff0087c2a48: bac1ed97  bl	#0xfffffff008333130
0xfffffff0087c2a4c: e3fdff17  b	#0xfffffff0087c21d8
0xfffffff0087c2a50: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2a54: 08591891  add	x8, x8, #0x616
0xfffffff0087c2a58: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087c2a5c: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2a60: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2a64: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2a68: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2a6c: 02008052  mov	w2, #0
0xfffffff0087c2a70: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2a74: 63f81791  add	x3, x3, #0x5fe
0xfffffff0087c2a78: aec1ed97  bl	#0xfffffff008333130
0xfffffff0087c2a7c: c8010014  b	#0xfffffff0087c319c
0xfffffff0087c2a80: ffbb00b9  str	wzr, [sp, #0xb8]
0xfffffff0087c2a84: e0bf00b9  str	w0, [sp, #0xbc]
0xfffffff0087c2a88: e00313aa  mov	x0, x19
0xfffffff0087c2a8c: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2a90: 21c41491  add	x1, x1, #0x531
0xfffffff0087c2a94: 22008052  mov	w2, #1
0xfffffff0087c2a98: 0ae2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2a9c: 80000034  cbz	w0, #0xfffffff0087c2aac
0xfffffff0087c2aa0: 48008052  mov	w8, #2
0xfffffff0087c2aa4: e8030339  strb	w8, [sp, #0xc0]
0xfffffff0087c2aa8: 09000014  b	#0xfffffff0087c2acc
0xfffffff0087c2aac: e00313aa  mov	x0, x19
0xfffffff0087c2ab0: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2ab4: 21441591  add	x1, x1, #0x551
0xfffffff0087c2ab8: 22008052  mov	w2, #1
0xfffffff0087c2abc: 01e2ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2ac0: e0030339  strb	w0, [sp, #0xc0]
0xfffffff0087c2ac4: 1f1c0072  tst	w0, #0xff
0xfffffff0087c2ac8: e0000054  b.eq	#0xfffffff0087c2ae4
0xfffffff0087c2acc: e00313aa  mov	x0, x19
0xfffffff0087c2ad0: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2ad4: 21c01591  add	x1, x1, #0x570
0xfffffff0087c2ad8: 22008052  mov	w2, #1
