; Candidate 4911
; ADRP+ADD at VM 0xfffffff0087ccca4 (fileoff 0x17c8ca4): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087ccc24: e4fdff17  b	#0xfffffff0087cc3b4
0xfffffff0087ccc28: 60008052  mov	w0, #3
0xfffffff0087ccc2c: 81008052  mov	w1, #4
0xfffffff0087ccc30: e8ba0294  bl	#0xfffffff00887b7d0
0xfffffff0087ccc34: 800f0034  cbz	w0, #0xfffffff0087cce24
0xfffffff0087ccc38: 60008052  mov	w0, #3
0xfffffff0087ccc3c: f7ba0294  bl	#0xfffffff00887b818
0xfffffff0087ccc40: f40300aa  mov	x20, x0
0xfffffff0087ccc44: 5a9d0394  bl	#0xfffffff0088b41ac
0xfffffff0087ccc48: f30300aa  mov	x19, x0
0xfffffff0087ccc4c: 80008052  mov	w0, #4
0xfffffff0087ccc50: 00bb0294  bl	#0xfffffff00887b850
0xfffffff0087ccc54: 14210034  cbz	w20, #0xfffffff0087cd074
0xfffffff0087ccc58: 480340b9  ldr	w8, [x26]
0xfffffff0087ccc5c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0087ccc60: 0852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087ccc64: 08691291  add	x8, x8, #0x49a
0xfffffff0087ccc68: 09bf8052  mov	w9, #0x5f8
0xfffffff0087ccc6c: 65000014  b	#0xfffffff0087cce00
0xfffffff0087ccc70: 4f9d0394  bl	#0xfffffff0088b41ac
0xfffffff0087ccc74: f30300aa  mov	x19, x0
0xfffffff0087ccc78: 80008052  mov	w0, #4
0xfffffff0087ccc7c: f5ba0294  bl	#0xfffffff00887b850
0xfffffff0087ccc80: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ccc84: 08312591  add	x8, x8, #0x94c
0xfffffff0087ccc88: 09938052  mov	w9, #0x498
0xfffffff0087ccc8c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ccc90: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ccc94: 08b52091  add	x8, x8, #0x82d
0xfffffff0087ccc98: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ccc9c: 68008052  mov	w8, #3
0xfffffff0087ccca0: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ccca4: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ccca8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cccac: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cccb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cccb4: 6353ff90  adrp	x3, #0xfffffff007238000
0xfffffff0087cccb8: 63683e91  add	x3, x3, #0xf9a
0xfffffff0087cccbc: 02008052  mov	w2, #0
0xfffffff0087cccc0: 1c99ed97  bl	#0xfffffff008333130
0xfffffff0087cccc4: b8fcff17  b	#0xfffffff0087cbfa4
0xfffffff0087cccc8: 399d0394  bl	#0xfffffff0088b41ac
0xfffffff0087ccccc: f30300aa  mov	x19, x0
0xfffffff0087cccd0: 80008052  mov	w0, #4
0xfffffff0087cccd4: dfba0294  bl	#0xfffffff00887b850
0xfffffff0087cccd8: 2852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087cccdc: 08350c91  add	x8, x8, #0x30d
0xfffffff0087ccce0: 89c98052  mov	w9, #0x64c
0xfffffff0087ccce4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ccce8: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cccec: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cccf0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cccf4: 68008052  mov	w8, #3
0xfffffff0087cccf8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cccfc: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ccd00: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ccd04: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087ccd08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ccd0c: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087ccd10: 63f82991  add	x3, x3, #0xa7e
0xfffffff0087ccd14: 02008052  mov	w2, #0
0xfffffff0087ccd18: 0699ed97  bl	#0xfffffff008333130
0xfffffff0087ccd1c: 42000014  b	#0xfffffff0087cce24
0xfffffff0087ccd20: 690740b9  ldr	w9, [x27, #4]
