; Candidate 13416
; ADRP+ADD at VM 0xfffffff0092cf508 (fileoff 0x22cb508): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf488: 400300b4  cbz	x0, #0xfffffff0092cf4f0
0xfffffff0092cf48c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf490: f10313aa  mov	x17, x19
0xfffffff0092cf494: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf498: 301ac1da  autda	x16, x17
0xfffffff0092cf49c: 116e80d2  mov	x17, #0x370
0xfffffff0092cf4a0: 1002118b  add	x16, x16, x17
0xfffffff0092cf4a4: 080240f9  ldr	x8, [x16]
0xfffffff0092cf4a8: e90310aa  mov	x9, x16
0xfffffff0092cf4ac: e00313aa  mov	x0, x19
0xfffffff0092cf4b0: f10309aa  mov	x17, x9
0xfffffff0092cf4b4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf4b8: 11093fd7  blraa	x8, x17
0xfffffff0092cf4bc: 100040f9  ldr	x16, [x0]
0xfffffff0092cf4c0: f10300aa  mov	x17, x0
0xfffffff0092cf4c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf4c8: 301ac1da  autda	x16, x17
0xfffffff0092cf4cc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf4d0: 1002118b  add	x16, x16, x17
0xfffffff0092cf4d4: 080240f9  ldr	x8, [x16]
0xfffffff0092cf4d8: e90310aa  mov	x9, x16
0xfffffff0092cf4dc: 010080d2  mov	x1, #0
0xfffffff0092cf4e0: f10309aa  mov	x17, x9
0xfffffff0092cf4e4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf4e8: 11093fd7  blraa	x8, x17
0xfffffff0092cf4ec: 03000014  b	#0xfffffff0092cf4f8
0xfffffff0092cf4f0: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf4f4: 00102191  add	x0, x0, #0x844
0xfffffff0092cf4f8: a8024079  ldrh	w8, [x21]
0xfffffff0092cf4fc: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf500: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf504: f60300f9  str	x22, [sp]
0xfffffff0092cf508: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf50c: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf510: c41ec297  bl	#0xfffffff008357020
0xfffffff0092cf514: 75e23991  add	x21, x19, #0xe78
0xfffffff0092cf518: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf51c: 94e62f91  add	x20, x20, #0xbf9
0xfffffff0092cf520: e00314aa  mov	x0, x20
0xfffffff0092cf524: e10315aa  mov	x1, x21
0xfffffff0092cf528: 42008052  mov	w2, #2
0xfffffff0092cf52c: a376c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf530: c0070034  cbz	w0, #0xfffffff0092cf628
0xfffffff0092cf534: 700240f9  ldr	x16, [x19]
0xfffffff0092cf538: f10313aa  mov	x17, x19
0xfffffff0092cf53c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf540: 301ac1da  autda	x16, x17
0xfffffff0092cf544: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf548: 1002118b  add	x16, x16, x17
0xfffffff0092cf54c: 080240f9  ldr	x8, [x16]
0xfffffff0092cf550: e90310aa  mov	x9, x16
0xfffffff0092cf554: e00313aa  mov	x0, x19
0xfffffff0092cf558: 010080d2  mov	x1, #0
0xfffffff0092cf55c: f10309aa  mov	x17, x9
0xfffffff0092cf560: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf564: 11093fd7  blraa	x8, x17
0xfffffff0092cf568: f60300aa  mov	x22, x0
0xfffffff0092cf56c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf570: f10313aa  mov	x17, x19
0xfffffff0092cf574: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf578: 301ac1da  autda	x16, x17
0xfffffff0092cf57c: 116e80d2  mov	x17, #0x370
0xfffffff0092cf580: 1002118b  add	x16, x16, x17
0xfffffff0092cf584: 080240f9  ldr	x8, [x16]
