; Candidate 2841
; ADRP+ADD at VM 0xfffffff0086ecd4c (fileoff 0x16e8d4c): page=0x1fea45000 add_imm=0xd90

0xfffffff0086ecccc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0086eccd0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086eccd4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086eccd8: ff830191  add	sp, sp, #0x60
0xfffffff0086eccdc: ff0f5fd6  retab	
0xfffffff0086ecce0: 800240f9  ldr	x0, [x20]
0xfffffff0086ecce4: 800400b4  cbz	x0, #0xfffffff0086ecd74
0xfffffff0086ecce8: 28008052  mov	w8, #1
0xfffffff0086eccec: 68320139  strb	w8, [x19, #0x4c]
0xfffffff0086eccf0: 4527ff97  bl	#0xfffffff0086b6a04
0xfffffff0086eccf4: f50300aa  mov	x21, x0
0xfffffff0086eccf8: 1f040071  cmp	w0, #1
0xfffffff0086eccfc: 80010054  b.eq	#0xfffffff0086ecd2c
0xfffffff0086ecd00: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecd04: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecd08: e85700a9  stp	x8, x21, [sp]
0xfffffff0086ecd0c: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecd10: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecd14: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecd18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecd1c: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ecd20: 63803f91  add	x3, x3, #0xfe0
0xfffffff0086ecd24: 02008052  mov	w2, #0
0xfffffff0086ecd28: 0219f197  bl	#0xfffffff008333130
0xfffffff0086ecd2c: 800240f9  ldr	x0, [x20]
0xfffffff0086ecd30: e1730091  add	x1, sp, #0x1c
0xfffffff0086ecd34: e20315aa  mov	x2, x21
0xfffffff0086ecd38: 3827ff97  bl	#0xfffffff0086b6a18
0xfffffff0086ecd3c: 80030034  cbz	w0, #0xfffffff0086ecdac
0xfffffff0086ecd40: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecd44: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecd48: e80300f9  str	x8, [sp]
0xfffffff0086ecd4c: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecd50: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecd54: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecd58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecd5c: 4352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086ecd60: 63980091  add	x3, x3, #0x26
0xfffffff0086ecd64: 02008052  mov	w2, #0
0xfffffff0086ecd68: f218f197  bl	#0xfffffff008333130
0xfffffff0086ecd6c: 14008052  mov	w20, #0
0xfffffff0086ecd70: 87ffff17  b	#0xfffffff0086ecb8c
0xfffffff0086ecd74: 94578052  mov	w20, #0x2bc
0xfffffff0086ecd78: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0086ecd7c: 2853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086ecd80: 08c12c91  add	x8, x8, #0xb30
0xfffffff0086ecd84: e80300f9  str	x8, [sp]
0xfffffff0086ecd88: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ecd8c: 00403691  add	x0, x0, #0xd90
0xfffffff0086ecd90: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ecd94: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ecd98: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ecd9c: 63d43e91  add	x3, x3, #0xfb5
0xfffffff0086ecda0: 02008052  mov	w2, #0
0xfffffff0086ecda4: e318f197  bl	#0xfffffff008333130
0xfffffff0086ecda8: c7ffff17  b	#0xfffffff0086eccc4
0xfffffff0086ecdac: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0086ecdb0: 684a00b9  str	w8, [x19, #0x48]
0xfffffff0086ecdb4: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086ecdb8: b326ff97  bl	#0xfffffff0086b6884
0xfffffff0086ecdbc: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff0086ecdc0: ec26ff97  bl	#0xfffffff0086b6970
0xfffffff0086ecdc4: f40300aa  mov	x20, x0
0xfffffff0086ecdc8: bfffff17  b	#0xfffffff0086eccc4
