; Candidate 458
; ADRP+ADD at VM 0xfffffff007f0fa48 (fileoff 0xf0ba48): page=0x232d000 add_imm=0xdd8

0xfffffff007f0f9c8: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007f0f9cc: 89220091  add	x9, x20, #8
0xfffffff007f0f9d0: e20308aa  mov	x2, x8
0xfffffff007f0f9d4: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f0f9d8: 5f00086b  cmp	w2, w8
0xfffffff007f0f9dc: c1040054  b.ne	#0xfffffff007f0fa74
0xfffffff007f0f9e0: b00240f9  ldr	x16, [x21]
0xfffffff007f0f9e4: 300100b4  cbz	x16, #0xfffffff007f0fa08
0xfffffff007f0f9e8: f10315aa  mov	x17, x21
0xfffffff007f0f9ec: d14de0f2  movk	x17, #0x26e, lsl #48
0xfffffff007f0f9f0: 301ac1da  autda	x16, x17
0xfffffff007f0f9f4: f10310aa  mov	x17, x16
0xfffffff007f0f9f8: f147c1da  xpacd	x17
0xfffffff007f0f9fc: 1f0211eb  cmp	x16, x17
0xfffffff007f0fa00: 40000054  b.eq	#0xfffffff007f0fa08
0xfffffff007f0fa04: 408e38d4  brk	#0xc472
0xfffffff007f0fa08: 00420091  add	x0, x16, #0x10
0xfffffff007f0fa0c: 01008052  mov	w1, #0
0xfffffff007f0fa10: 02008052  mov	w2, #0
0xfffffff007f0fa14: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f0fa18: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f0fa1c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007f0fa20: ff2303d5  autibsp	
0xfffffff007f0fa24: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f0fa28: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f0fa30
0xfffffff007f0fa2c: 208e38d4  brk	#0xc471
0xfffffff007f0fa30: 42d2fa17  b	#0xfffffff007dc4338
0xfffffff007f0fa34: e00314aa  mov	x0, x20
0xfffffff007f0fa38: e10313aa  mov	x1, x19
0xfffffff007f0fa3c: 02008052  mov	w2, #0
0xfffffff007f0fa40: 2e70fa97  bl	#0xfffffff007dabaf8
0xfffffff007f0fa44: b8ffff17  b	#0xfffffff007f0f924
0xfffffff007f0fa48: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0fa4c: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0fa50: e10313aa  mov	x1, x19
0xfffffff007f0fa54: 02008052  mov	w2, #0
0xfffffff007f0fa58: 2870fa97  bl	#0xfffffff007dabaf8
0xfffffff007f0fa5c: b9ffff17  b	#0xfffffff007f0f940
0xfffffff007f0fa60: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0fa64: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0fa68: e10313aa  mov	x1, x19
0xfffffff007f0fa6c: 3e73fa97  bl	#0xfffffff007dac764
0xfffffff007f0fa70: d6ffff17  b	#0xfffffff007f0f9c8
0xfffffff007f0fa74: e00314aa  mov	x0, x20
0xfffffff007f0fa78: e10313aa  mov	x1, x19
0xfffffff007f0fa7c: 3a73fa97  bl	#0xfffffff007dac764
0xfffffff007f0fa80: b00240f9  ldr	x16, [x21]
0xfffffff007f0fa84: 30fbffb5  cbnz	x16, #0xfffffff007f0f9e8
0xfffffff007f0fa88: e0ffff17  b	#0xfffffff007f0fa08
0xfffffff007f0fa8c: 7f2303d5  pacibsp	
0xfffffff007f0fa90: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007f0fa94: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007f0fa98: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007f0fa9c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007f0faa0: fdc30091  add	x29, sp, #0x30
0xfffffff007f0faa4: f40300aa  mov	x20, x0
0xfffffff007f0faa8: 080080d2  mov	x8, #0
0xfffffff007f0faac: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007f0fab0: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007f0fab4: 0a200091  add	x10, x0, #8
0xfffffff007f0fab8: 497de8c8  casa	x8, x9, [x10]
0xfffffff007f0fabc: 1f0100f1  cmp	x8, #0
0xfffffff007f0fac0: a11b0054  b.ne	#0xfffffff007f0fe34
0xfffffff007f0fac4: f70314aa  mov	x23, x20
