; Candidate 9564
; ADRP+ADD at VM 0xfffffff008a74498 (fileoff 0x1a70498): page=0x186b000 add_imm=0xdc8

0xfffffff008a74418: 80c2883c  stur	q0, [x20, #0x8c]
0xfffffff008a7441c: 56c300f0  adrp	x22, #0xfffffff00a2df000
0xfffffff008a74420: d6c23791  add	x22, x22, #0xdf0
0xfffffff008a74424: e00316aa  mov	x0, x22
0xfffffff008a74428: 76a4cb97  bl	#0xfffffff007d5d600
0xfffffff008a7442c: 400300b4  cbz	x0, #0xfffffff008a74494
0xfffffff008a74430: 080080d2  mov	x8, #0
0xfffffff008a74434: c96a6838  ldrb	w9, [x22, x8]
0xfffffff008a74438: 2ac10051  sub	w10, w9, #0x30
0xfffffff008a7443c: 2b850151  sub	w11, w9, #0x61
0xfffffff008a74440: 2c050151  sub	w12, w9, #0x41
0xfffffff008a74444: 2ddd0051  sub	w13, w9, #0x37
0xfffffff008a74448: 9f190071  cmp	w12, #6
0xfffffff008a7444c: ac319f1a  csel	w12, w13, wzr, lo
0xfffffff008a74450: 295d0151  sub	w9, w9, #0x57
0xfffffff008a74454: 7f150071  cmp	w11, #5
0xfffffff008a74458: 8981891a  csel	w9, w12, w9, hi
0xfffffff008a7445c: 5f250071  cmp	w10, #9
0xfffffff008a74460: 29818a1a  csel	w9, w9, w10, hi
0xfffffff008a74464: 0a7d41d3  ubfx	x10, x8, #1, #0x1f
0xfffffff008a74468: 88000037  tbnz	w8, #0, #0xfffffff008a74478
0xfffffff008a7446c: 296d1c53  lsl	w9, w9, #4
0xfffffff008a74470: 8a020a8b  add	x10, x20, x10
0xfffffff008a74474: 04000014  b	#0xfffffff008a74484
0xfffffff008a74478: 8a020a8b  add	x10, x20, x10
0xfffffff008a7447c: 4b314239  ldrb	w11, [x10, #0x8c]
0xfffffff008a74480: 6901092a  orr	w9, w11, w9
0xfffffff008a74484: 49310239  strb	w9, [x10, #0x8c]
0xfffffff008a74488: 08050091  add	x8, x8, #1
0xfffffff008a7448c: 1f0008eb  cmp	x0, x8
0xfffffff008a74490: 21fdff54  b.ne	#0xfffffff008a74434
0xfffffff008a74494: 96320291  add	x22, x20, #0x8c
0xfffffff008a74498: 40c300f0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7449c: 00203791  add	x0, x0, #0xdc8
0xfffffff008a744a0: 2ec1e197  bl	#0xfffffff0082e4958
0xfffffff008a744a4: f70300aa  mov	x23, x0
0xfffffff008a744a8: 900240f9  ldr	x16, [x20]
0xfffffff008a744ac: f10314aa  mov	x17, x20
0xfffffff008a744b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a744b4: 301ac1da  autda	x16, x17
0xfffffff008a744b8: 116e80d2  mov	x17, #0x370
0xfffffff008a744bc: 1002118b  add	x16, x16, x17
0xfffffff008a744c0: 080240f9  ldr	x8, [x16]
0xfffffff008a744c4: e90310aa  mov	x9, x16
0xfffffff008a744c8: e00314aa  mov	x0, x20
0xfffffff008a744cc: f10309aa  mov	x17, x9
0xfffffff008a744d0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a744d4: 11093fd7  blraa	x8, x17
0xfffffff008a744d8: 400300b4  cbz	x0, #0xfffffff008a74540
0xfffffff008a744dc: 900240f9  ldr	x16, [x20]
0xfffffff008a744e0: f10314aa  mov	x17, x20
0xfffffff008a744e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a744e8: 301ac1da  autda	x16, x17
0xfffffff008a744ec: 116e80d2  mov	x17, #0x370
0xfffffff008a744f0: 1002118b  add	x16, x16, x17
0xfffffff008a744f4: 080240f9  ldr	x8, [x16]
0xfffffff008a744f8: e90310aa  mov	x9, x16
0xfffffff008a744fc: e00314aa  mov	x0, x20
0xfffffff008a74500: f10309aa  mov	x17, x9
0xfffffff008a74504: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a74508: 11093fd7  blraa	x8, x17
0xfffffff008a7450c: 100040f9  ldr	x16, [x0]
0xfffffff008a74510: f10300aa  mov	x17, x0
0xfffffff008a74514: 31b4f9f2  movk	x17, #0xcda1, lsl #48
