; Candidate 4827
; ADRP+ADD at VM 0xfffffff0087c8468 (fileoff 0x17c4468): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c83e8: 2052ffd0  adrp	x0, #0xfffffff00720e000
0xfffffff0087c83ec: 00140e91  add	x0, x0, #0x385
0xfffffff0087c83f0: 1cbcd797  bl	#0xfffffff007db7460
0xfffffff0087c83f4: 25000014  b	#0xfffffff0087c8488
0xfffffff0087c83f8: 6daf0394  bl	#0xfffffff0088b41ac
0xfffffff0087c83fc: f60300aa  mov	x22, x0
0xfffffff0087c8400: e0008052  mov	w0, #7
0xfffffff0087c8404: 13cd0294  bl	#0xfffffff00887b850
0xfffffff0087c8408: e80240b9  ldr	w8, [x23]
0xfffffff0087c840c: fba301a9  stp	x27, x8, [sp, #0x18]
0xfffffff0087c8410: a80f8052  mov	w8, #0x7d
0xfffffff0087c8414: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c8418: f60300f9  str	x22, [sp]
0xfffffff0087c841c: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c8420: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8424: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8428: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c842c: 02008052  mov	w2, #0
0xfffffff0087c8430: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8434: 63443191  add	x3, x3, #0xc51
0xfffffff0087c8438: 3eabed97  bl	#0xfffffff008333130
0xfffffff0087c843c: 13000014  b	#0xfffffff0087c8488
0xfffffff0087c8440: 5baf0394  bl	#0xfffffff0088b41ac
0xfffffff0087c8444: f60300aa  mov	x22, x0
0xfffffff0087c8448: e0008052  mov	w0, #7
0xfffffff0087c844c: 01cd0294  bl	#0xfffffff00887b850
0xfffffff0087c8450: e8264029  ldp	w8, w9, [x23]
0xfffffff0087c8454: fba702a9  stp	x27, x9, [sp, #0x28]
0xfffffff0087c8458: fba301a9  stp	x27, x8, [sp, #0x18]
0xfffffff0087c845c: a80f8052  mov	w8, #0x7d
0xfffffff0087c8460: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c8464: f60300f9  str	x22, [sp]
0xfffffff0087c8468: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c846c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c8470: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c8474: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c8478: 02008052  mov	w2, #0
0xfffffff0087c847c: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c8480: 63a02f91  add	x3, x3, #0xbe8
0xfffffff0087c8484: 2babed97  bl	#0xfffffff008333130
0xfffffff0087c8488: e90318aa  mov	x9, x24
0xfffffff0087c848c: 686a4bb9  ldr	w8, [x19, #0xb68]
0xfffffff0087c8490: 3f01086b  cmp	w9, w8
0xfffffff0087c8494: 280f0054  b.hi	#0xfffffff0087c8678
0xfffffff0087c8498: 69070091  add	x9, x27, #1
0xfffffff0087c849c: 7f0308eb  cmp	x27, x8
0xfffffff0087c84a0: fb0309aa  mov	x27, x9
0xfffffff0087c84a4: 03f3ff54  b.lo	#0xfffffff0087c8304
0xfffffff0087c84a8: 080080d2  mov	x8, #0
0xfffffff0087c84ac: a06642fd  ldr	d0, [x21, #0x4c8]
0xfffffff0087c84b0: 60ba05fd  str	d0, [x19, #0xb70]
0xfffffff0087c84b4: a9d644b9  ldr	w9, [x21, #0x4d4]
0xfffffff0087c84b8: 696a0bb9  str	w9, [x19, #0xb68]
0xfffffff0087c84bc: a9d244b9  ldr	w9, [x21, #0x4d0]
0xfffffff0087c84c0: 697a0bb9  str	w9, [x19, #0xb78]
0xfffffff0087c84c4: 7f6e0bb9  str	wzr, [x19, #0xb6c]
0xfffffff0087c84c8: 09098052  mov	w9, #0x48
0xfffffff0087c84cc: 0b55099b  madd	x11, x8, x9, x21
0xfffffff0087c84d0: 6d210091  add	x13, x11, #8
0xfffffff0087c84d4: 6c1e088b  add	x12, x19, x8, lsl #7
0xfffffff0087c84d8: 8aa10b91  add	x10, x12, #0x2e8
0xfffffff0087c84dc: 60c140fc  ldur	d0, [x11, #0xc]
0xfffffff0087c84e0: 0138804e  zip1	v1.4s, v0.4s, v0.4s
0xfffffff0087c84e4: 2060006e  ext	v0.16b, v1.16b, v0.16b, #0xc
