; Candidate 8958
; ADRP+ADD at VM 0xfffffff0088fe1bc (fileoff 0x18fa1bc): page=0x1fe972000 add_imm=0xecb

0xfffffff0088fe13c: f7f30132  mov	w23, #-0x55555556
0xfffffff0088fe140: 09f3ff97  bl	#0xfffffff0088fad64
0xfffffff0088fe144: 20040036  tbz	w0, #0, #0xfffffff0088fe1c8
0xfffffff0088fe148: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fe14c: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0088fe150: f73700b9  str	w23, [sp, #0x34]
0xfffffff0088fe154: e0e30091  add	x0, sp, #0x38
0xfffffff0088fe158: e1d30091  add	x1, sp, #0x34
0xfffffff0088fe15c: 6a58d797  bl	#0xfffffff007ed4304
0xfffffff0088fe160: f61f40f9  ldr	x22, [sp, #0x38]
0xfffffff0088fe164: 700240f9  ldr	x16, [x19]
0xfffffff0088fe168: f10313aa  mov	x17, x19
0xfffffff0088fe16c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fe170: 301ac1da  autda	x16, x17
0xfffffff0088fe174: f10310aa  mov	x17, x16
0xfffffff0088fe178: f147c1da  xpacd	x17
0xfffffff0088fe17c: 1f0211eb  cmp	x16, x17
0xfffffff0088fe180: 40000054  b.eq	#0xfffffff0088fe188
0xfffffff0088fe184: 408e38d4  brk	#0xc472
0xfffffff0088fe188: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fe18c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fe190: f83740b9  ldr	w24, [sp, #0x34]
0xfffffff0088fe194: e00313aa  mov	x0, x19
0xfffffff0088fe198: 010080d2  mov	x1, #0
0xfffffff0088fe19c: f10308aa  mov	x17, x8
0xfffffff0088fe1a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fe1a4: 31093fd7  blraa	x9, x17
0xfffffff0088fe1a8: f55302a9  stp	x21, x20, [sp, #0x20]
0xfffffff0088fe1ac: 884bffd0  adrp	x8, #0xfffffff007270000
0xfffffff0088fe1b0: 08593c91  add	x8, x8, #0xf16
0xfffffff0088fe1b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fe1b8: f66300a9  stp	x22, x24, [sp]
0xfffffff0088fe1bc: 804bffd0  adrp	x0, #0xfffffff007270000
0xfffffff0088fe1c0: 002c3b91  add	x0, x0, #0xecb
0xfffffff0088fe1c4: 9763e997  bl	#0xfffffff008357020
0xfffffff0088fe1c8: 68e24b39  ldrb	w8, [x19, #0x2f8]
0xfffffff0088fe1cc: 88040034  cbz	w8, #0xfffffff0088fe25c
0xfffffff0088fe1d0: 16588052  mov	w22, #0x2c0
0xfffffff0088fe1d4: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0088fe1d8: e3f2ff97  bl	#0xfffffff0088fad64
0xfffffff0088fe1dc: 601a0036  tbz	w0, #0, #0xfffffff0088fe528
0xfffffff0088fe1e0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fe1e4: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0088fe1e8: f73700b9  str	w23, [sp, #0x34]
0xfffffff0088fe1ec: e0e30091  add	x0, sp, #0x38
0xfffffff0088fe1f0: e1d30091  add	x1, sp, #0x34
0xfffffff0088fe1f4: 4458d797  bl	#0xfffffff007ed4304
0xfffffff0088fe1f8: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff0088fe1fc: 700240f9  ldr	x16, [x19]
0xfffffff0088fe200: f10313aa  mov	x17, x19
0xfffffff0088fe204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fe208: 301ac1da  autda	x16, x17
0xfffffff0088fe20c: f10310aa  mov	x17, x16
0xfffffff0088fe210: f147c1da  xpacd	x17
0xfffffff0088fe214: 1f0211eb  cmp	x16, x17
0xfffffff0088fe218: 40000054  b.eq	#0xfffffff0088fe220
0xfffffff0088fe21c: 408e38d4  brk	#0xc472
0xfffffff0088fe220: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fe224: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fe228: f53740b9  ldr	w21, [sp, #0x34]
0xfffffff0088fe22c: e00313aa  mov	x0, x19
0xfffffff0088fe230: 010080d2  mov	x1, #0
0xfffffff0088fe234: f10308aa  mov	x17, x8
0xfffffff0088fe238: 9193e1f2  movk	x17, #0xc9c, lsl #48
