; Candidate 7800
; ADRP+ADD at VM 0xfffffff00887ff38 (fileoff 0x187bf38): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887feb8: 003c3891  add	x0, x0, #0xe0f
0xfffffff00887febc: 69ddd497  bl	#0xfffffff007db7460
0xfffffff00887fec0: f30400b4  cbz	x19, #0xfffffff00887ff5c
0xfffffff00887fec4: e00313aa  mov	x0, x19
0xfffffff00887fec8: e2befe97  bl	#0xfffffff00882fa50
0xfffffff00887fecc: e00100b4  cbz	x0, #0xfffffff00887ff08
0xfffffff00887fed0: f50300aa  mov	x21, x0
0xfffffff00887fed4: 748cffd0  adrp	x20, #0xfffffff007a0d000
0xfffffff00887fed8: 94623491  add	x20, x20, #0xd18
0xfffffff00887fedc: e00313aa  mov	x0, x19
0xfffffff00887fee0: c2bdfe97  bl	#0xfffffff00882f5e8
0xfffffff00887fee4: e00315aa  mov	x0, x21
0xfffffff00887fee8: 03fdff97  bl	#0xfffffff00887f2f4
0xfffffff00887feec: e00314aa  mov	x0, x20
0xfffffff00887fef0: e10315aa  mov	x1, x21
0xfffffff00887fef4: 065aeb97  bl	#0xfffffff00835670c
0xfffffff00887fef8: e00313aa  mov	x0, x19
0xfffffff00887fefc: d5befe97  bl	#0xfffffff00882fa50
0xfffffff00887ff00: f50300aa  mov	x21, x0
0xfffffff00887ff04: c0feffb5  cbnz	x0, #0xfffffff00887fedc
0xfffffff00887ff08: 14008052  mov	w20, #0
0xfffffff00887ff0c: 45000014  b	#0xfffffff008880020
0xfffffff00887ff10: a7d00094  bl	#0xfffffff0088b41ac
0xfffffff00887ff14: f40300aa  mov	x20, x0
0xfffffff00887ff18: 00018052  mov	w0, #8
0xfffffff00887ff1c: 4deeff97  bl	#0xfffffff00887b850
0xfffffff00887ff20: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ff24: 08612891  add	x8, x8, #0xa18
0xfffffff00887ff28: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887ff2c: 680d8052  mov	w8, #0x6b
0xfffffff00887ff30: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887ff34: f40300f9  str	x20, [sp]
0xfffffff00887ff38: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887ff3c: 00003a91  add	x0, x0, #0xe80
0xfffffff00887ff40: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887ff44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887ff48: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887ff4c: 63d42191  add	x3, x3, #0x875
0xfffffff00887ff50: 02008052  mov	w2, #0
0xfffffff00887ff54: 77ccea97  bl	#0xfffffff008333130
0xfffffff00887ff58: 73fbffb5  cbnz	x19, #0xfffffff00887fec4
0xfffffff00887ff5c: 600d8052  mov	w0, #0x6b
0xfffffff00887ff60: 81008052  mov	w1, #4
0xfffffff00887ff64: 1beeff97  bl	#0xfffffff00887b7d0
0xfffffff00887ff68: a0050034  cbz	w0, #0xfffffff00888001c
0xfffffff00887ff6c: 600d8052  mov	w0, #0x6b
0xfffffff00887ff70: 2aeeff97  bl	#0xfffffff00887b818
0xfffffff00887ff74: f50300aa  mov	x21, x0
0xfffffff00887ff78: 8dd00094  bl	#0xfffffff0088b41ac
0xfffffff00887ff7c: f40300aa  mov	x20, x0
0xfffffff00887ff80: 80008052  mov	w0, #4
0xfffffff00887ff84: 33eeff97  bl	#0xfffffff00887b850
0xfffffff00887ff88: f5010034  cbz	w21, #0xfffffff00887ffc4
0xfffffff00887ff8c: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ff90: 08512691  add	x8, x8, #0x994
0xfffffff00887ff94: a91f8052  mov	w9, #0xfd
0xfffffff00887ff98: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00887ff9c: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ffa0: 08612891  add	x8, x8, #0xa18
0xfffffff00887ffa4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887ffa8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887ffac: 680d8052  mov	w8, #0x6b
0xfffffff00887ffb0: a04cffd0  adrp	x0, #0xfffffff007215000
0xfffffff00887ffb4: 00a81491  add	x0, x0, #0x52a
