; Candidate 16671
; ADRP+ADD at VM 0xfffffff009f1dcdc (fileoff 0x2f19cdc): page=0x1fd93b000 add_imm=0xd3a

0xfffffff009f1dc5c: 3f0313eb  cmp	x25, x19
0xfffffff009f1dc60: e8179f1a  cset	w8, eq
0xfffffff009f1dc64: 3f0309eb  cmp	x25, x9
0xfffffff009f1dc68: 40010054  b.eq	#0xfffffff009f1dc90
0xfffffff009f1dc6c: a90358f8  ldur	x9, [x29, #-0x80]
0xfffffff009f1dc70: 3f0309eb  cmp	x25, x9
0xfffffff009f1dc74: e0000054  b.eq	#0xfffffff009f1dc90
0xfffffff009f1dc78: 0803080a  and	w8, w24, w8
0xfffffff009f1dc7c: a8000037  tbnz	w8, #0, #0xfffffff009f1dc90
0xfffffff009f1dc80: 20c30291  add	x0, x25, #0xb0
0xfffffff009f1dc84: de427a97  bl	#0xfffffff007dae7fc
0xfffffff009f1dc88: e00319aa  mov	x0, x25
0xfffffff009f1dc8c: ed640094  bl	#0xfffffff009f37040
0xfffffff009f1dc90: 7a040035  cbnz	w26, #0xfffffff009f1dd1c
0xfffffff009f1dc94: fc0318aa  mov	x28, x24
0xfffffff009f1dc98: f68f40f9  ldr	x22, [sp, #0x118]
0xfffffff009f1dc9c: fb0316aa  mov	x27, x22
0xfffffff009f1dca0: 680f4cf8  ldr	x8, [x27, #0xc0]!
0xfffffff009f1dca4: 08454079  ldrh	w8, [x8, #0x22]
0xfffffff009f1dca8: 1f050071  cmp	w8, #1
0xfffffff009f1dcac: 48f5ff54  b.hi	#0xfffffff009f1db54
0xfffffff009f1dcb0: 4f000014  b	#0xfffffff009f1ddec
0xfffffff009f1dcb4: 680240f9  ldr	x8, [x19]
0xfffffff009f1dcb8: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009f1dcbc: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff009f1dcc0: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f1dcc4: e9031aaa  mov	x9, x26
0xfffffff009f1dcc8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f1dccc: c8c9fef0  adrp	x8, #0xfffffff007858000
0xfffffff009f1dcd0: 08f53391  add	x8, x8, #0xcfd
0xfffffff009f1dcd4: c9e58152  mov	w9, #0xf2e
0xfffffff009f1dcd8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f1dcdc: c0c9fef0  adrp	x0, #0xfffffff007858000
0xfffffff009f1dce0: 00e83491  add	x0, x0, #0xd3a
0xfffffff009f1dce4: f886fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f1dce8: e3feff17  b	#0xfffffff009f1d874
0xfffffff009f1dcec: fa0300aa  mov	x26, x0
0xfffffff009f1dcf0: 170080d2  mov	x23, #0
0xfffffff009f1dcf4: f8031caa  mov	x24, x28
0xfffffff009f1dcf8: 50000014  b	#0xfffffff009f1de38
0xfffffff009f1dcfc: 6a0640f9  ldr	x10, [x19, #8]
0xfffffff009f1dd00: 0a0500b4  cbz	x10, #0xfffffff009f1dda0
0xfffffff009f1dd04: 0b3e8452  mov	w11, #0x21f0
0xfffffff009f1dd08: 4a010b8b  add	x10, x10, x11
0xfffffff009f1dd0c: 29000014  b	#0xfffffff009f1ddb0
0xfffffff009f1dd10: f8031caa  mov	x24, x28
0xfffffff009f1dd14: f60319aa  mov	x22, x25
0xfffffff009f1dd18: 37000014  b	#0xfffffff009f1ddf4
0xfffffff009f1dd1c: f68f40f9  ldr	x22, [sp, #0x118]
0xfffffff009f1dd20: b60600b5  cbnz	x22, #0xfffffff009f1ddf4
0xfffffff009f1dd24: 7ffbff17  b	#0xfffffff009f1cb20
0xfffffff009f1dd28: a84302d1  sub	x8, x29, #0x90
0xfffffff009f1dd2c: 04710091  add	x4, x8, #0x1c
0xfffffff009f1dd30: e17b40f9  ldr	x1, [sp, #0xf0]
0xfffffff009f1dd34: e20315aa  mov	x2, x21
0xfffffff009f1dd38: 12000014  b	#0xfffffff009f1dd80
0xfffffff009f1dd3c: fa0300aa  mov	x26, x0
0xfffffff009f1dd40: 680640f9  ldr	x8, [x19, #8]
0xfffffff009f1dd44: a80f00b4  cbz	x8, #0xfffffff009f1df38
0xfffffff009f1dd48: 093e8452  mov	w9, #0x21f0
0xfffffff009f1dd4c: 0801098b  add	x8, x8, x9
0xfffffff009f1dd50: e9031aaa  mov	x9, x26
0xfffffff009f1dd54: eac88152  mov	w10, #0xe47
0xfffffff009f1dd58: cbc9fef0  adrp	x11, #0xfffffff007858000
