; Candidate 1769
; ADRP+ADD at VM 0xfffffff008507b4c (fileoff 0x1503b4c): page=0x1febda000 add_imm=0xe6f

0xfffffff008507acc: 5f2403d5  bti	c
0xfffffff008507ad0: 60ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008507ad4: 00e00d91  add	x0, x0, #0x378
0xfffffff008507ad8: 0773f717  b	#0xfffffff0082e46f4
0xfffffff008507adc: 7f2303d5  pacibsp	
0xfffffff008507ae0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008507ae4: fd030091  mov	x29, sp
0xfffffff008507ae8: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507aec: 00603791  add	x0, x0, #0xdd8
0xfffffff008507af0: d285f897  bl	#0xfffffff008329238
0xfffffff008507af4: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507af8: 00d101f9  str	x0, [x8, #0x3a0]
0xfffffff008507afc: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507b00: 00083891  add	x0, x0, #0xe02
0xfffffff008507b04: cd85f897  bl	#0xfffffff008329238
0xfffffff008507b08: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507b0c: 00d501f9  str	x0, [x8, #0x3a8]
0xfffffff008507b10: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507b14: 00883891  add	x0, x0, #0xe22
0xfffffff008507b18: c885f897  bl	#0xfffffff008329238
0xfffffff008507b1c: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507b20: 00d901f9  str	x0, [x8, #0x3b0]
0xfffffff008507b24: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507b28: 00e43891  add	x0, x0, #0xe39
0xfffffff008507b2c: c385f897  bl	#0xfffffff008329238
0xfffffff008507b30: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507b34: 00dd01f9  str	x0, [x8, #0x3b8]
0xfffffff008507b38: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507b3c: 004c3991  add	x0, x0, #0xe53
0xfffffff008507b40: be85f897  bl	#0xfffffff008329238
0xfffffff008507b44: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507b48: 00e101f9  str	x0, [x8, #0x3c0]
0xfffffff008507b4c: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507b50: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008507b54: b985f897  bl	#0xfffffff008329238
0xfffffff008507b58: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507b5c: 00e501f9  str	x0, [x8, #0x3c8]
0xfffffff008507b60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008507b64: ff0f5fd6  retab	
0xfffffff008507b68: 7f2303d5  pacibsp	
0xfffffff008507b6c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008507b70: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008507b74: fd430091  add	x29, sp, #0x10
0xfffffff008507b78: f30300aa  mov	x19, x0
0xfffffff008507b7c: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff008507b80: 282142f9  ldr	x8, [x9, #0x440]
0xfffffff008507b84: 292542f9  ldr	x9, [x9, #0x448]
0xfffffff008507b88: 2a7c4093  sxtw	x10, w1
0xfffffff008507b8c: 0bd961b8  ldr	w11, [x8, w1, sxtw #2]
0xfffffff008507b90: 4b000b4b  sub	w11, w2, w11
0xfffffff008507b94: 7f050071  cmp	w11, #1
0xfffffff008507b98: ab000054  b.lt	#0xfffffff008507bac
0xfffffff008507b9c: 4bf57ed3  lsl	x11, x10, #2
0xfffffff008507ba0: 02692bb8  str	w2, [x8, x11]
0xfffffff008507ba4: 0c696bb8  ldr	w12, [x8, x11]
0xfffffff008507ba8: 2c692bb8  str	w12, [x9, x11]
0xfffffff008507bac: 02796ab8  ldr	w2, [x8, x10, lsl #2]
0xfffffff008507bb0: e00313aa  mov	x0, x19
0xfffffff008507bb4: a48b4d94  bl	#0xfffffff00986aa44
0xfffffff008507bb8: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff008507bbc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008507bc0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008507bc4: ff2303d5  autibsp	
0xfffffff008507bc8: d0071eca  eor	x16, x30, x30, lsl #1
