; Candidate 3585
; ADRP+ADD at VM 0xfffffff00874702c (fileoff 0x174302c): page=0x1fe9ea000 add_imm=0xd90

0xfffffff008746fac: 01008052  mov	w1, #0
0xfffffff008746fb0: f10309aa  mov	x17, x9
0xfffffff008746fb4: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff008746fb8: 11093fd7  blraa	x8, x17
0xfffffff008746fbc: a0040034  cbz	w0, #0xfffffff008747050
0xfffffff008746fc0: 54588052  mov	w20, #0x2c2
0xfffffff008746fc4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008746fc8: 8850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff008746fcc: 08253891  add	x8, x8, #0xe09
0xfffffff008746fd0: e80300f9  str	x8, [sp]
0xfffffff008746fd4: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008746fd8: 00403691  add	x0, x0, #0xd90
0xfffffff008746fdc: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008746fe0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008746fe4: c34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff008746fe8: 63303791  add	x3, x3, #0xdcc
0xfffffff008746fec: 02008052  mov	w2, #0
0xfffffff008746ff0: 50b0ef97  bl	#0xfffffff008333130
0xfffffff008746ff4: 80058052  mov	w0, #0x2c
0xfffffff008746ff8: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008746ffc: 010080d2  mov	x1, #0
0xfffffff008747000: 020080d2  mov	x2, #0
0xfffffff008747004: 030080d2  mov	x3, #0
0xfffffff008747008: 040080d2  mov	x4, #0
0xfffffff00874700c: 050080d2  mov	x5, #0
0xfffffff008747010: bddbe897  bl	#0xfffffff00817df04
0xfffffff008747014: 64000014  b	#0xfffffff0087471a4
0xfffffff008747018: 54588052  mov	w20, #0x2c2
0xfffffff00874701c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008747020: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff008747024: 08253891  add	x8, x8, #0xe09
0xfffffff008747028: e80300f9  str	x8, [sp]
0xfffffff00874702c: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747030: 00403691  add	x0, x0, #0xd90
0xfffffff008747034: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008747038: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874703c: a34ffff0  adrp	x3, #0xfffffff00713e000
0xfffffff008747040: 63b43691  add	x3, x3, #0xdad
0xfffffff008747044: 02008052  mov	w2, #0
0xfffffff008747048: 3ab0ef97  bl	#0xfffffff008333130
0xfffffff00874704c: 56000014  b	#0xfffffff0087471a4
0xfffffff008747050: 900240f9  ldr	x16, [x20]
0xfffffff008747054: f10314aa  mov	x17, x20
0xfffffff008747058: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874705c: 301ac1da  autda	x16, x17
0xfffffff008747060: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008747064: e90310aa  mov	x9, x16
0xfffffff008747068: e00314aa  mov	x0, x20
0xfffffff00874706c: f10309aa  mov	x17, x9
0xfffffff008747070: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008747074: 11093fd7  blraa	x8, x17
0xfffffff008747078: 14008052  mov	w20, #0
0xfffffff00874707c: 40000014  b	#0xfffffff00874717c
0xfffffff008747080: 54588052  mov	w20, #0x2c2
0xfffffff008747084: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008747088: 8850ff90  adrp	x8, #0xfffffff007157000
0xfffffff00874708c: 08253891  add	x8, x8, #0xe09
0xfffffff008747090: e80300f9  str	x8, [sp]
0xfffffff008747094: 404fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008747098: 00403691  add	x0, x0, #0xd90
0xfffffff00874709c: a195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087470a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087470a4: a34ffff0  adrp	x3, #0xfffffff00713e000
0xfffffff0087470a8: 63303891  add	x3, x3, #0xe0c
