; Candidate 13439
; ADRP+ADD at VM 0xfffffff0092d0dd4 (fileoff 0x22ccdd4): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0d54: 400300b4  cbz	x0, #0xfffffff0092d0dbc
0xfffffff0092d0d58: 700240f9  ldr	x16, [x19]
0xfffffff0092d0d5c: f10313aa  mov	x17, x19
0xfffffff0092d0d60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0d64: 301ac1da  autda	x16, x17
0xfffffff0092d0d68: 116e80d2  mov	x17, #0x370
0xfffffff0092d0d6c: 1002118b  add	x16, x16, x17
0xfffffff0092d0d70: 080240f9  ldr	x8, [x16]
0xfffffff0092d0d74: e90310aa  mov	x9, x16
0xfffffff0092d0d78: e00313aa  mov	x0, x19
0xfffffff0092d0d7c: f10309aa  mov	x17, x9
0xfffffff0092d0d80: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0d84: 11093fd7  blraa	x8, x17
0xfffffff0092d0d88: 100040f9  ldr	x16, [x0]
0xfffffff0092d0d8c: f10300aa  mov	x17, x0
0xfffffff0092d0d90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0d94: 301ac1da  autda	x16, x17
0xfffffff0092d0d98: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0d9c: 1002118b  add	x16, x16, x17
0xfffffff0092d0da0: 080240f9  ldr	x8, [x16]
0xfffffff0092d0da4: e90310aa  mov	x9, x16
0xfffffff0092d0da8: 010080d2  mov	x1, #0
0xfffffff0092d0dac: f10309aa  mov	x17, x9
0xfffffff0092d0db0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0db4: 11093fd7  blraa	x8, x17
0xfffffff0092d0db8: 03000014  b	#0xfffffff0092d0dc4
0xfffffff0092d0dbc: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0dc0: 00102191  add	x0, x0, #0x844
0xfffffff0092d0dc4: a8024079  ldrh	w8, [x21]
0xfffffff0092d0dc8: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0dcc: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0dd0: f60300f9  str	x22, [sp]
0xfffffff0092d0dd4: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0dd8: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0ddc: 9118c297  bl	#0xfffffff008357020
0xfffffff0092d0de0: 75fa3a91  add	x21, x19, #0xebe
0xfffffff0092d0de4: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0de8: 94463891  add	x20, x20, #0xe11
0xfffffff0092d0dec: e00314aa  mov	x0, x20
0xfffffff0092d0df0: e10315aa  mov	x1, x21
0xfffffff0092d0df4: 42008052  mov	w2, #2
0xfffffff0092d0df8: 7070c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0dfc: c0070034  cbz	w0, #0xfffffff0092d0ef4
0xfffffff0092d0e00: 700240f9  ldr	x16, [x19]
0xfffffff0092d0e04: f10313aa  mov	x17, x19
0xfffffff0092d0e08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0e0c: 301ac1da  autda	x16, x17
0xfffffff0092d0e10: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0e14: 1002118b  add	x16, x16, x17
0xfffffff0092d0e18: 080240f9  ldr	x8, [x16]
0xfffffff0092d0e1c: e90310aa  mov	x9, x16
0xfffffff0092d0e20: e00313aa  mov	x0, x19
0xfffffff0092d0e24: 010080d2  mov	x1, #0
0xfffffff0092d0e28: f10309aa  mov	x17, x9
0xfffffff0092d0e2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0e30: 11093fd7  blraa	x8, x17
0xfffffff0092d0e34: f60300aa  mov	x22, x0
0xfffffff0092d0e38: 700240f9  ldr	x16, [x19]
0xfffffff0092d0e3c: f10313aa  mov	x17, x19
0xfffffff0092d0e40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0e44: 301ac1da  autda	x16, x17
0xfffffff0092d0e48: 116e80d2  mov	x17, #0x370
0xfffffff0092d0e4c: 1002118b  add	x16, x16, x17
0xfffffff0092d0e50: 080240f9  ldr	x8, [x16]
