; Candidate 8863
; ADRP+ADD at VM 0xfffffff0088e73ec (fileoff 0x18e33ec): page=0x1ff12f000 add_imm=0xd58

0xfffffff0088e736c: 110a1fd7  braa	x16, x17
0xfffffff0088e7370: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0088e7374: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0088e7378: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0088e737c: ff0f5fd6  retab	
0xfffffff0088e7380: 7f2303d5  pacibsp	
0xfffffff0088e7384: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088e7388: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0088e738c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0088e7390: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088e7394: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088e7398: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088e739c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088e73a0: fdc30191  add	x29, sp, #0x70
0xfffffff0088e73a4: f30304aa  mov	x19, x4
0xfffffff0088e73a8: f60303aa  mov	x22, x3
0xfffffff0088e73ac: f70302aa  mov	x23, x2
0xfffffff0088e73b0: f80301aa  mov	x24, x1
0xfffffff0088e73b4: f40300aa  mov	x20, x0
0xfffffff0088e73b8: ea03032a  mov	w10, w3
0xfffffff0088e73bc: e803022a  mov	w8, w2
0xfffffff0088e73c0: e903012a  mov	w9, w1
0xfffffff0088e73c4: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0088e73c8: e90300f9  str	x9, [sp]
0xfffffff0088e73cc: 004cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088e73d0: 00c00c91  add	x0, x0, #0x330
0xfffffff0088e73d4: 4189ffd0  adrp	x1, #0xfffffff007a11000
0xfffffff0088e73d8: 211047f9  ldr	x1, [x1, #0xe20]
0xfffffff0088e73dc: 234cffd0  adrp	x3, #0xfffffff00726d000
0xfffffff0088e73e0: 63b01891  add	x3, x3, #0x62c
0xfffffff0088e73e4: 02008052  mov	w2, #0
0xfffffff0088e73e8: 522fe997  bl	#0xfffffff008333130
0xfffffff0088e73ec: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e73f0: 00603591  add	x0, x0, #0xd58
0xfffffff0088e73f4: 40bce997  bl	#0xfffffff0083564f4
0xfffffff0088e73f8: f50300aa  mov	x21, x0
0xfffffff0088e73fc: 485c8052  mov	w8, #0x2e2
0xfffffff0088e7400: 08000079  strh	w8, [x0]
0xfffffff0088e7404: 28008052  mov	w8, #1
0xfffffff0088e7408: 08080039  strb	w8, [x0, #2]
0xfffffff0088e740c: 180c0039  strb	w24, [x0, #3]
0xfffffff0088e7410: 1f100039  strb	wzr, [x0, #4]
0xfffffff0088e7414: e87e0853  lsr	w8, w23, #8
0xfffffff0088e7418: 08140039  strb	w8, [x0, #5]
0xfffffff0088e741c: 17180039  strb	w23, [x0, #6]
0xfffffff0088e7420: c87e0853  lsr	w8, w22, #8
0xfffffff0088e7424: 081c0039  strb	w8, [x0, #7]
0xfffffff0088e7428: 16200039  strb	w22, [x0, #8]
0xfffffff0088e742c: 1f240039  strb	wzr, [x0, #9]
0xfffffff0088e7430: 38020034  cbz	w24, #0xfffffff0088e7474
0xfffffff0088e7434: f3588052  mov	w19, #0x2c7
0xfffffff0088e7438: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0088e743c: 6089fff0  adrp	x0, #0xfffffff007a16000
0xfffffff0088e7440: 00603691  add	x0, x0, #0xd98
0xfffffff0088e7444: e10315aa  mov	x1, x21
0xfffffff0088e7448: b1bce997  bl	#0xfffffff00835670c
0xfffffff0088e744c: f30300f9  str	x19, [sp]
0xfffffff0088e7450: 004cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088e7454: 00c00c91  add	x0, x0, #0x330
0xfffffff0088e7458: 4189ffd0  adrp	x1, #0xfffffff007a11000
0xfffffff0088e745c: 211047f9  ldr	x1, [x1, #0xe20]
0xfffffff0088e7460: 234cffd0  adrp	x3, #0xfffffff00726d000
0xfffffff0088e7464: 639c1d91  add	x3, x3, #0x767
0xfffffff0088e7468: 02008052  mov	w2, #0
