; Candidate 10884
; ADRP+ADD at VM 0xfffffff008deb530 (fileoff 0x1de7530): page=0x1fe5d9000 add_imm=0xe15

0xfffffff008deb4b0: 80020035  cbnz	w0, #0xfffffff008deb500
0xfffffff008deb4b4: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008deb4b8: 1901198b  add	x25, x8, x25
0xfffffff008deb4bc: 9c230091  add	x28, x28, #8
0xfffffff008deb4c0: 5f031ceb  cmp	x26, x28
0xfffffff008deb4c4: c1feff54  b.ne	#0xfffffff008deb49c
0xfffffff008deb4c8: 02000014  b	#0xfffffff008deb4d0
0xfffffff008deb4cc: 180080d2  mov	x24, #0
0xfffffff008deb4d0: 1b008052  mov	w27, #0
0xfffffff008deb4d4: b30200b9  str	w19, [x21]
0xfffffff008deb4d8: 980200f9  str	x24, [x20]
0xfffffff008deb4dc: e0031baa  mov	x0, x27
0xfffffff008deb4e0: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008deb4e4: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008deb4e8: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008deb4ec: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008deb4f0: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008deb4f4: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008deb4f8: ff430291  add	sp, sp, #0x90
0xfffffff008deb4fc: ff0f5fd6  retab	
0xfffffff008deb500: fb0300aa  mov	x27, x0
0xfffffff008deb504: 687f4093  sxtw	x8, w27
0xfffffff008deb508: 29dc8052  mov	w9, #0x6e1
0xfffffff008deb50c: e91300f9  str	x9, [sp, #0x20]
0xfffffff008deb510: c92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008deb514: 29493991  add	x9, x9, #0xe52
0xfffffff008deb518: ca2effb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008deb51c: 4af13a91  add	x10, x10, #0xebc
0xfffffff008deb520: ab2efff0  adrp	x11, #0xfffffff0073c2000
0xfffffff008deb524: 6be92e91  add	x11, x11, #0xbba
0xfffffff008deb528: e92f01a9  stp	x9, x11, [sp, #0x10]
0xfffffff008deb52c: ea2300a9  stp	x10, x8, [sp]
0xfffffff008deb530: c02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deb534: 00543891  add	x0, x0, #0xe15
0xfffffff008deb538: baaed597  bl	#0xfffffff008357020
0xfffffff008deb53c: e00318aa  mov	x0, x24
0xfffffff008deb540: e10313aa  mov	x1, x19
0xfffffff008deb544: 39000094  bl	#0xfffffff008deb628
0xfffffff008deb548: e5ffff17  b	#0xfffffff008deb4dc
0xfffffff008deb54c: 28da8052  mov	w8, #0x6d1
0xfffffff008deb550: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deb554: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deb558: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deb55c: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deb560: 08493991  add	x8, x8, #0xe52
0xfffffff008deb564: aa2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008deb568: 4a393391  add	x10, x10, #0xcce
0xfffffff008deb56c: 1b000014  b	#0xfffffff008deb5d8
0xfffffff008deb570: 48da8052  mov	w8, #0x6d2
0xfffffff008deb574: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deb578: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deb57c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deb580: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deb584: 08493991  add	x8, x8, #0xe52
0xfffffff008deb588: ca2eff90  adrp	x10, #0xfffffff0073c3000
0xfffffff008deb58c: 4a1d1691  add	x10, x10, #0x587
0xfffffff008deb590: 12000014  b	#0xfffffff008deb5d8
0xfffffff008deb594: 68da8052  mov	w8, #0x6d3
0xfffffff008deb598: a92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008deb59c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deb5a0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deb5a4: c82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deb5a8: 08493991  add	x8, x8, #0xe52
0xfffffff008deb5ac: ca2eff90  adrp	x10, #0xfffffff0073c3000
