; Candidate 15654
; ADRP+ADD at VM 0xfffffff009c85a8c (fileoff 0x2c81a8c): page=0x1fe072000 add_imm=0xe58

0xfffffff009c85a0c: 10e22f91  add	x16, x16, #0xbf8
0xfffffff009c85a10: 10420091  add	x16, x16, #0x10
0xfffffff009c85a14: f10300aa  mov	x17, x0
0xfffffff009c85a18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c85a1c: 300ac1da  pacda	x16, x17
0xfffffff009c85a20: 100000f9  str	x16, [x0]
0xfffffff009c85a24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c85a28: ff0f5fd6  retab	
0xfffffff009c85a2c: 5f2403d5  bti	c
0xfffffff009c85a30: 2e6c9a17  b	#0xfffffff008320ae8
0xfffffff009c85a34: 5f2403d5  bti	c
0xfffffff009c85a38: 2c6c9a17  b	#0xfffffff008320ae8
0xfffffff009c85a3c: 7f2303d5  pacibsp	
0xfffffff009c85a40: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c85a44: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c85a48: fd430091  add	x29, sp, #0x10
0xfffffff009c85a4c: f30300aa  mov	x19, x0
0xfffffff009c85a50: 266c9a97  bl	#0xfffffff008320ae8
0xfffffff009c85a54: 8003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c85a58: 00603991  add	x0, x0, #0xe58
0xfffffff009c85a5c: e10313aa  mov	x1, x19
0xfffffff009c85a60: 02098052  mov	w2, #0x48
0xfffffff009c85a64: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c85a68: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c85a6c: ff2303d5  autibsp	
0xfffffff009c85a70: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009c85a74: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009c85a7c
0xfffffff009c85a78: 208e38d4  brk	#0xc471
0xfffffff009c85a7c: 08879917  b	#0xfffffff0082e769c
0xfffffff009c85a80: 5f2403d5  bti	c
0xfffffff009c85a84: e20301aa  mov	x2, x1
0xfffffff009c85a88: e10300aa  mov	x1, x0
0xfffffff009c85a8c: 8003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c85a90: 00603991  add	x0, x0, #0xe58
0xfffffff009c85a94: 02879917  b	#0xfffffff0082e769c
0xfffffff009c85a98: 5f2403d5  bti	c
0xfffffff009c85a9c: a03900d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009c85aa0: 00801491  add	x0, x0, #0x520
0xfffffff009c85aa4: c0035fd6  ret	
0xfffffff009c85aa8: 7f2303d5  pacibsp	
0xfffffff009c85aac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c85ab0: fd030091  mov	x29, sp
0xfffffff009c85ab4: 81cefed0  adrp	x1, #0xfffffff007657000
0xfffffff009c85ab8: 217c2c91  add	x1, x1, #0xb1f
0xfffffff009c85abc: 8203ffd0  adrp	x2, #0xfffffff007cf7000
0xfffffff009c85ac0: 422042f9  ldr	x2, [x2, #0x440]
0xfffffff009c85ac4: 03098052  mov	w3, #0x48
0xfffffff009c85ac8: 1c789997  bl	#0xfffffff0082e3b38
0xfffffff009c85acc: 9003ffd0  adrp	x16, #0xfffffff007cf7000
0xfffffff009c85ad0: 10423591  add	x16, x16, #0xd50
0xfffffff009c85ad4: 10420091  add	x16, x16, #0x10
0xfffffff009c85ad8: f10300aa  mov	x17, x0
0xfffffff009c85adc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c85ae0: 300ac1da  pacda	x16, x17
0xfffffff009c85ae4: 100000f9  str	x16, [x0]
0xfffffff009c85ae8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c85aec: ff0f5fd6  retab	
0xfffffff009c85af0: 7f2303d5  pacibsp	
0xfffffff009c85af4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c85af8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c85afc: fd430091  add	x29, sp, #0x10
0xfffffff009c85b00: 8003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c85b04: 00603991  add	x0, x0, #0xe58
0xfffffff009c85b08: 01098052  mov	w1, #0x48
