; Candidate 8341
; ADRP+ADD at VM 0xfffffff0088a4bec (fileoff 0x18a0bec): page=0x1fe945000 add_imm=0xe80

0xfffffff0088a4b6c: 360a0037  tbnz	w22, #0, #0xfffffff0088a4cb0
0xfffffff0088a4b70: 5f0115eb  cmp	x10, x21
0xfffffff0088a4b74: ec090054  b.gt	#0xfffffff0088a4cb0
0xfffffff0088a4b78: a00e084e  dup	v0.2d, x21
0xfffffff0088a4b7c: 284bfff0  adrp	x8, #0xfffffff00720b000
0xfffffff0088a4b80: 01e1c23d  ldr	q1, [x8, #0xb80]
0xfffffff0088a4b84: 0184e14e  add	v1.2d, v0.2d, v1.2d
0xfffffff0088a4b88: 284bfff0  adrp	x8, #0xfffffff00720b000
0xfffffff0088a4b8c: 02f1c23d  ldr	q2, [x8, #0xbc0]
0xfffffff0088a4b90: 45000014  b	#0xfffffff0088a4ca4
0xfffffff0088a4b94: 863d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4b98: fa0300aa  mov	x26, x0
0xfffffff0088a4b9c: 00018052  mov	w0, #8
0xfffffff0088a4ba0: 2c5bff97  bl	#0xfffffff00887b850
0xfffffff0088a4ba4: 680240b9  ldr	w8, [x19]
0xfffffff0088a4ba8: 891740b9  ldr	w9, [x28, #0x14]
0xfffffff0088a4bac: ea0316aa  mov	x10, x22
0xfffffff0088a4bb0: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a4bb4: e90314aa  mov	x9, x20
0xfffffff0088a4bb8: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088a4bbc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a4bc0: c8558052  mov	w8, #0x2ae
0xfffffff0088a4bc4: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a4bc8: 297d0c91  add	x9, x9, #0x31f
0xfffffff0088a4bcc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a4bd0: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4bd4: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4bd8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a4bdc: 680f8052  mov	w8, #0x7b
0xfffffff0088a4be0: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4be4: 63b40b91  add	x3, x3, #0x2ed
0xfffffff0088a4be8: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a4bec: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4bf0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4bf4: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4bf8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4bfc: 02008052  mov	w2, #0
0xfffffff0088a4c00: 4c39ea97  bl	#0xfffffff008333130
0xfffffff0088a4c04: 08008052  mov	w8, #0
0xfffffff0088a4c08: 2a000014  b	#0xfffffff0088a4cb0
0xfffffff0088a4c0c: 683d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a4c10: fa0300aa  mov	x26, x0
0xfffffff0088a4c14: a0008052  mov	w0, #5
0xfffffff0088a4c18: 0e5bff97  bl	#0xfffffff00887b850
0xfffffff0088a4c1c: 680240b9  ldr	w8, [x19]
0xfffffff0088a4c20: 890340b9  ldr	w9, [x28]
0xfffffff0088a4c24: 8a1740b9  ldr	w10, [x28, #0x14]
0xfffffff0088a4c28: e92b04a9  stp	x9, x10, [sp, #0x40]
0xfffffff0088a4c2c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a4c30: 88568052  mov	w8, #0x2b4
0xfffffff0088a4c34: 694cffd0  adrp	x9, #0xfffffff007232000
0xfffffff0088a4c38: 297d0c91  add	x9, x9, #0x31f
0xfffffff0088a4c3c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a4c40: 684cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a4c44: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a4c48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a4c4c: 680f8052  mov	w8, #0x7b
0xfffffff0088a4c50: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088a4c54: 204affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a4c58: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a4c5c: 218bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a4c60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a4c64: e34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a4c68: 639c0c91  add	x3, x3, #0x327
