; Candidate 7415
; ADRP+ADD at VM 0xfffffff00886c5e4 (fileoff 0x18685e4): page=0x1fe9bd000 add_imm=0xcf7

0xfffffff00886c564: e10314aa  mov	x1, x20
0xfffffff00886c568: c32e0094  bl	#0xfffffff008878074
0xfffffff00886c56c: f60300aa  mov	x22, x0
0xfffffff00886c570: e00f0034  cbz	w0, #0xfffffff00886c76c
0xfffffff00886c574: 600c8052  mov	w0, #0x63
0xfffffff00886c578: 81008052  mov	w1, #4
0xfffffff00886c57c: 953c0094  bl	#0xfffffff00887b7d0
0xfffffff00886c580: c0130034  cbz	w0, #0xfffffff00886c7f8
0xfffffff00886c584: 600c8052  mov	w0, #0x63
0xfffffff00886c588: a43c0094  bl	#0xfffffff00887b818
0xfffffff00886c58c: f80300aa  mov	x24, x0
0xfffffff00886c590: 071f0194  bl	#0xfffffff0088b41ac
0xfffffff00886c594: f70300aa  mov	x23, x0
0xfffffff00886c598: 80008052  mov	w0, #4
0xfffffff00886c59c: ad3c0094  bl	#0xfffffff00887b850
0xfffffff00886c5a0: 381a0034  cbz	w24, #0xfffffff00886c8e4
0xfffffff00886c5a4: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00886c5a8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00886c5ac: ea0314aa  mov	x10, x20
0xfffffff00886c5b0: ea5b05a9  stp	x10, x22, [sp, #0x50]
0xfffffff00886c5b4: 2a4dff90  adrp	x10, #0xfffffff007210000
0xfffffff00886c5b8: 4ab92791  add	x10, x10, #0x9ee
0xfffffff00886c5bc: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00886c5c0: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00886c5c4: 08f58052  mov	w8, #0x7a8
0xfffffff00886c5c8: e94dffb0  adrp	x9, #0xfffffff007229000
0xfffffff00886c5cc: 29453291  add	x9, x9, #0xc91
0xfffffff00886c5d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00886c5d4: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886c5d8: 08811191  add	x8, x8, #0x460
0xfffffff00886c5dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886c5e0: 680c8052  mov	w8, #0x63
0xfffffff00886c5e4: e04dffb0  adrp	x0, #0xfffffff007229000
0xfffffff00886c5e8: 00dc3391  add	x0, x0, #0xcf7
0xfffffff00886c5ec: f72300a9  stp	x23, x8, [sp]
0xfffffff00886c5f0: 9c2bd597  bl	#0xfffffff007db7460
0xfffffff00886c5f4: 81000014  b	#0xfffffff00886c7f8
0xfffffff00886c5f8: 600c8052  mov	w0, #0x63
0xfffffff00886c5fc: 81008052  mov	w1, #4
0xfffffff00886c600: 743c0094  bl	#0xfffffff00887b7d0
0xfffffff00886c604: 000b0034  cbz	w0, #0xfffffff00886c764
0xfffffff00886c608: 600c8052  mov	w0, #0x63
0xfffffff00886c60c: 833c0094  bl	#0xfffffff00887b818
0xfffffff00886c610: f70300aa  mov	x23, x0
0xfffffff00886c614: e61e0194  bl	#0xfffffff0088b41ac
0xfffffff00886c618: f60300aa  mov	x22, x0
0xfffffff00886c61c: 80008052  mov	w0, #4
0xfffffff00886c620: 8c3c0094  bl	#0xfffffff00887b850
0xfffffff00886c624: 97060034  cbz	w23, #0xfffffff00886c6f4
0xfffffff00886c628: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886c62c: e90314aa  mov	x9, x20
0xfffffff00886c630: ea4dffb0  adrp	x10, #0xfffffff007229000
0xfffffff00886c634: 4a693391  add	x10, x10, #0xcda
0xfffffff00886c638: e9d704a9  stp	x9, x21, [sp, #0x48]
0xfffffff00886c63c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00886c640: c8f38052  mov	w8, #0x79e
0xfffffff00886c644: e94dffb0  adrp	x9, #0xfffffff007229000
0xfffffff00886c648: 29453291  add	x9, x9, #0xc91
0xfffffff00886c64c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00886c650: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886c654: 08811191  add	x8, x8, #0x460
0xfffffff00886c658: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886c65c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886c660: 680c8052  mov	w8, #0x63
