; Candidate 16556
; ADRP+ADD at VM 0xfffffff009edda40 (fileoff 0x2ed9a40): page=0x1fd96a000 add_imm=0xdae

0xfffffff009edd9c0: 9f0208eb  cmp	x20, x8
0xfffffff009edd9c4: c2faff54  b.hs	#0xfffffff009edd91c
0xfffffff009edd9c8: 16008052  mov	w22, #0
0xfffffff009edd9cc: 4a000014  b	#0xfffffff009eddaf4
0xfffffff009edd9d0: 89060051  sub	w9, w20, #1
0xfffffff009edd9d4: 095969f8  ldr	x9, [x8, w9, uxtw #3]
0xfffffff009edd9d8: 2a0940f9  ldr	x10, [x9, #0x10]
0xfffffff009edd9dc: 291540f9  ldr	x9, [x9, #0x28]
0xfffffff009edd9e0: 29010a8b  add	x9, x9, x10
0xfffffff009edd9e4: 020140f9  ldr	x2, [x8]
0xfffffff009edd9e8: 480840f9  ldr	x8, [x2, #0x10]
0xfffffff009edd9ec: 280108cb  sub	x8, x9, x8
0xfffffff009edd9f0: 49008052  mov	w9, #2
0xfffffff009edd9f4: 49040039  strb	w9, [x2, #1]
0xfffffff009edd9f8: 481400f9  str	x8, [x2, #0x28]
0xfffffff009edd9fc: 600240f9  ldr	x0, [x19]
0xfffffff009edda00: f51f40f9  ldr	x21, [sp, #0x38]
0xfffffff009edda04: 21008052  mov	w1, #1
0xfffffff009edda08: e30315aa  mov	x3, x21
0xfffffff009edda0c: e62e0094  bl	#0xfffffff009ee95a4
0xfffffff009edda10: e0020034  cbz	w0, #0xfffffff009edda6c
0xfffffff009edda14: f60300aa  mov	x22, x0
0xfffffff009edda18: e80240f9  ldr	x8, [x23]
0xfffffff009edda1c: 080140f9  ldr	x8, [x8]
0xfffffff009edda20: 0081c03c  ldur	q0, [x8, #8]
0xfffffff009edda24: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff009edda28: e85b02a9  stp	x8, x22, [sp, #0x20]
0xfffffff009edda2c: e007803d  str	q0, [sp, #0x10]
0xfffffff009edda30: 48cbfed0  adrp	x8, #0xfffffff007847000
0xfffffff009edda34: 085d3591  add	x8, x8, #0xd57
0xfffffff009edda38: 69ea8652  mov	w9, #0x3753
0xfffffff009edda3c: e82700a9  stp	x8, x9, [sp]
0xfffffff009edda40: 40cbfed0  adrp	x0, #0xfffffff007847000
0xfffffff009edda44: 00b83691  add	x0, x0, #0xdae
0xfffffff009edda48: 9f87fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edda4c: 600240f9  ldr	x0, [x19]
0xfffffff009edda50: 21008052  mov	w1, #1
0xfffffff009edda54: e20314aa  mov	x2, x20
0xfffffff009edda58: 030080d2  mov	x3, #0
0xfffffff009edda5c: e40315aa  mov	x4, x21
0xfffffff009edda60: 05008052  mov	w5, #0
0xfffffff009edda64: 64530094  bl	#0xfffffff009ef27f4
0xfffffff009edda68: 23000014  b	#0xfffffff009eddaf4
0xfffffff009edda6c: 98f27dd3  lsl	x24, x20, #3
0xfffffff009edda70: 19018052  mov	w25, #8
0xfffffff009edda74: 7aeb8652  mov	w26, #0x375b
0xfffffff009edda78: 5bcbfed0  adrp	x27, #0xfffffff007847000
0xfffffff009edda7c: 7b5f3591  add	x27, x27, #0xd57
0xfffffff009edda80: 56cbfed0  adrp	x22, #0xfffffff007847000
0xfffffff009edda84: d6023891  add	x22, x22, #0xe00
0xfffffff009edda88: 600240f9  ldr	x0, [x19]
0xfffffff009edda8c: e80240f9  ldr	x8, [x23]
0xfffffff009edda90: 026979f8  ldr	x2, [x8, x25]
0xfffffff009edda94: 21008052  mov	w1, #1
0xfffffff009edda98: e30315aa  mov	x3, x21
0xfffffff009edda9c: 682f0094  bl	#0xfffffff009ee983c
0xfffffff009eddaa0: 40010034  cbz	w0, #0xfffffff009eddac8
0xfffffff009eddaa4: e80240f9  ldr	x8, [x23]
0xfffffff009eddaa8: 086979f8  ldr	x8, [x8, x25]
0xfffffff009eddaac: 0081c03c  ldur	q0, [x8, #8]
0xfffffff009eddab0: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff009eddab4: e80302a9  stp	x8, x0, [sp, #0x20]
0xfffffff009eddab8: e007803d  str	q0, [sp, #0x10]
0xfffffff009eddabc: fb6b00a9  stp	x27, x26, [sp]
