; Candidate 14155
; ADRP+ADD at VM 0xfffffff00972d444 (fileoff 0x2729444): page=0x1fde68000 add_imm=0xdd1

0xfffffff00972d3c4: f40302aa  mov	x20, x2
0xfffffff00972d3c8: f70301aa  mov	x23, x1
0xfffffff00972d3cc: f60300aa  mov	x22, x0
0xfffffff00972d3d0: a3000034  cbz	w3, #0xfffffff00972d3e4
0xfffffff00972d3d4: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00972d3d8: 1f090071  cmp	w8, #2
0xfffffff00972d3dc: a0000054  b.eq	#0xfffffff00972d3f0
0xfffffff00972d3e0: 34000014  b	#0xfffffff00972d4b0
0xfffffff00972d3e4: 08011f32  orr	w8, w8, #2
0xfffffff00972d3e8: 1f0d0071  cmp	w8, #3
0xfffffff00972d3ec: 21060054  b.ne	#0xfffffff00972d4b0
0xfffffff00972d3f0: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff00972d3f4: e3630091  add	x3, sp, #0x18
0xfffffff00972d3f8: 00008052  mov	w0, #0
0xfffffff00972d3fc: e10314aa  mov	x1, x20
0xfffffff00972d400: 020080d2  mov	x2, #0
0xfffffff00972d404: d711ab97  bl	#0xfffffff0081f1b60
0xfffffff00972d408: 60020034  cbz	w0, #0xfffffff00972d454
0xfffffff00972d40c: f80300aa  mov	x24, x0
0xfffffff00972d410: d00240f9  ldr	x16, [x22]
0xfffffff00972d414: f10316aa  mov	x17, x22
0xfffffff00972d418: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00972d41c: 301ac1da  autda	x16, x17
0xfffffff00972d420: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff00972d424: e90310aa  mov	x9, x16
0xfffffff00972d428: e00316aa  mov	x0, x22
0xfffffff00972d42c: f10309aa  mov	x17, x9
0xfffffff00972d430: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff00972d434: 11093fd7  blraa	x8, x17
0xfffffff00972d438: 48ddae97  bl	#0xfffffff0082e4958
0xfffffff00972d43c: f4e300a9  stp	x20, x24, [sp, #8]
0xfffffff00972d440: e00300f9  str	x0, [sp]
0xfffffff00972d444: 40f3fe90  adrp	x0, #0xfffffff007595000
0xfffffff00972d448: 00443791  add	x0, x0, #0xdd1
0xfffffff00972d44c: f5a6b097  bl	#0xfffffff008357020
0xfffffff00972d450: 18000014  b	#0xfffffff00972d4b0
0xfffffff00972d454: 730000b4  cbz	x19, #0xfffffff00972d460
0xfffffff00972d458: d85640f9  ldr	x24, [x22, #0xa8]
0xfffffff00972d45c: 02000014  b	#0xfffffff00972d464
0xfffffff00972d460: 180080d2  mov	x24, #0
0xfffffff00972d464: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff00972d468: 010080d2  mov	x1, #0
0xfffffff00972d46c: e20314aa  mov	x2, x20
0xfffffff00972d470: e30317aa  mov	x3, x23
0xfffffff00972d474: 04008052  mov	w4, #0
0xfffffff00972d478: 3712ab97  bl	#0xfffffff0081f1d54
0xfffffff00972d47c: 40010035  cbnz	w0, #0xfffffff00972d4a4
0xfffffff00972d480: c04640f9  ldr	x0, [x22, #0x88]
0xfffffff00972d484: c1a640b9  ldr	w1, [x22, #0xa4]
0xfffffff00972d488: e20f40f9  ldr	x2, [sp, #0x18]
0xfffffff00972d48c: e30313aa  mov	x3, x19
0xfffffff00972d490: e40318aa  mov	x4, x24
0xfffffff00972d494: 75000034  cbz	w21, #0xfffffff00972d4a0
0xfffffff00972d498: 02afa097  bl	#0xfffffff007f590a0
0xfffffff00972d49c: 02000014  b	#0xfffffff00972d4a4
0xfffffff00972d4a0: 1cafa097  bl	#0xfffffff007f59110
0xfffffff00972d4a4: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff00972d4a8: 400000b4  cbz	x0, #0xfffffff00972d4b0
0xfffffff00972d4ac: 4a0eab97  bl	#0xfffffff0081f0dd4
0xfffffff00972d4b0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00972d4b4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00972d4b8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00972d4bc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00972d4c0: ff830191  add	sp, sp, #0x60
