; Candidate 10760
; ADRP+ADD at VM 0xfffffff008de5c20 (fileoff 0x1de1c20): page=0x1fe5df000 add_imm=0xd54

0xfffffff008de5ba0: 02028052  mov	w2, #0x10
0xfffffff008de5ba4: 2be8c297  bl	#0xfffffff007e9fc50
0xfffffff008de5ba8: b50000b4  cbz	x21, #0xfffffff008de5bbc
0xfffffff008de5bac: 20930091  add	x0, x25, #0x24
0xfffffff008de5bb0: e10315aa  mov	x1, x21
0xfffffff008de5bb4: e2031aaa  mov	x2, x26
0xfffffff008de5bb8: 769bbd97  bl	#0xfffffff007d4c990
0xfffffff008de5bbc: e00314aa  mov	x0, x20
0xfffffff008de5bc0: c1018052  mov	w1, #0xe
0xfffffff008de5bc4: 02008052  mov	w2, #0
0xfffffff008de5bc8: e30319aa  mov	x3, x25
0xfffffff008de5bcc: e40318aa  mov	x4, x24
0xfffffff008de5bd0: 050080d2  mov	x5, #0
0xfffffff008de5bd4: 060080d2  mov	x6, #0
0xfffffff008de5bd8: 519081d2  mov	x17, #0xc82
0xfffffff008de5bdc: 710a3fd7  blraa	x19, x17
0xfffffff008de5be0: f30300aa  mov	x19, x0
0xfffffff008de5be4: c0060035  cbnz	w0, #0xfffffff008de5cbc
0xfffffff008de5be8: 9f030091  mov	sp, x28
0xfffffff008de5bec: 48018052  mov	w8, #0xa
0xfffffff008de5bf0: fa031baa  mov	x26, x27
0xfffffff008de5bf4: fb2eff90  adrp	x27, #0xfffffff0073c1000
0xfffffff008de5bf8: 7b9f0c91  add	x27, x27, #0x327
0xfffffff008de5bfc: dca800d0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de5c00: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de5c04: 89034039  ldrb	w9, [x28]
0xfffffff008de5c08: 1f01096b  cmp	w8, w9
0xfffffff008de5c0c: 23010054  b.lo	#0xfffffff008de5c30
0xfffffff008de5c10: e80313aa  mov	x8, x19
0xfffffff008de5c14: 087d4093  sxtw	x8, w8
0xfffffff008de5c18: fb6bbea9  stp	x27, x26, [sp, #-0x20]!
0xfffffff008de5c1c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de5c20: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5c24: 00503591  add	x0, x0, #0xd54
0xfffffff008de5c28: fec4d597  bl	#0xfffffff008357020
0xfffffff008de5c2c: ff830091  add	sp, sp, #0x20
0xfffffff008de5c30: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008de5c34: 4968fff0  adrp	x9, #0xfffffff007af0000
0xfffffff008de5c38: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de5c3c: 290140f9  ldr	x9, [x9]
0xfffffff008de5c40: 3f0108eb  cmp	x9, x8
0xfffffff008de5c44: 61080054  b.ne	#0xfffffff008de5d50
0xfffffff008de5c48: e00313aa  mov	x0, x19
0xfffffff008de5c4c: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de5c50: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de5c54: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de5c58: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de5c5c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de5c60: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de5c64: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de5c68: ff0f5fd6  retab	
0xfffffff008de5c6c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de5c70: 68fb8052  mov	w8, #0x7db
0xfffffff008de5c74: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de5c78: 29490d91  add	x9, x9, #0x352
0xfffffff008de5c7c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de5c80: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5c84: 08493991  add	x8, x8, #0xe52
0xfffffff008de5c88: ea2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de5c8c: 4af91891  add	x10, x10, #0x63e
0xfffffff008de5c90: 27000014  b	#0xfffffff008de5d2c
0xfffffff008de5c94: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de5c98: 88fb8052  mov	w8, #0x7dc
0xfffffff008de5c9c: e92eff90  adrp	x9, #0xfffffff0073c1000
