; Candidate 14981
; ADRP+ADD at VM 0xfffffff009a14908 (fileoff 0x2a10908): page=0x9a2000 add_imm=0xd38

0xfffffff009a14888: 11cf80d2  mov	x17, #0x678
0xfffffff009a1488c: 1002118b  add	x16, x16, x17
0xfffffff009a14890: 080240f9  ldr	x8, [x16]
0xfffffff009a14894: e50310aa  mov	x5, x16
0xfffffff009a14898: f00308aa  mov	x16, x8
0xfffffff009a1489c: f10305aa  mov	x17, x5
0xfffffff009a148a0: 91fbecf2  movk	x17, #0x67dc, lsl #48
0xfffffff009a148a4: 110a1fd7  braa	x16, x17
0xfffffff009a148a8: 5f2403d5  bti	c
0xfffffff009a148ac: 923fa317  b	#0xfffffff0082e46f4
0xfffffff009a148b0: 5f2403d5  bti	c
0xfffffff009a148b4: 903fa317  b	#0xfffffff0082e46f4
0xfffffff009a148b8: 7f2303d5  pacibsp	
0xfffffff009a148bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a148c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a148c4: fd430091  add	x29, sp, #0x10
0xfffffff009a148c8: 134d00d0  adrp	x19, #0xfffffff00a3b6000
0xfffffff009a148cc: 73423491  add	x19, x19, #0xd10
0xfffffff009a148d0: 61dffeb0  adrp	x1, #0xfffffff007601000
0xfffffff009a148d4: 21f02d91  add	x1, x1, #0xb7c
0xfffffff009a148d8: 4214ffb0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a148dc: 425441f9  ldr	x2, [x2, #0x2a8]
0xfffffff009a148e0: e00313aa  mov	x0, x19
0xfffffff009a148e4: 03178052  mov	w3, #0xb8
0xfffffff009a148e8: 943ca397  bl	#0xfffffff0082e3b38
0xfffffff009a148ec: 5014fff0  adrp	x16, #0xfffffff007c9f000
0xfffffff009a148f0: 10822291  add	x16, x16, #0x8a0
0xfffffff009a148f4: 10420091  add	x16, x16, #0x10
0xfffffff009a148f8: f10313aa  mov	x17, x19
0xfffffff009a148fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a14900: 300ac1da  pacda	x16, x17
0xfffffff009a14904: 700200f9  str	x16, [x19]
0xfffffff009a14908: 004d00d0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a1490c: 00e03491  add	x0, x0, #0xd38
0xfffffff009a14910: 61dffed0  adrp	x1, #0xfffffff007602000
0xfffffff009a14914: 21c03991  add	x1, x1, #0xe70
0xfffffff009a14918: e20313aa  mov	x2, x19
0xfffffff009a1491c: 03198052  mov	w3, #0xc8
0xfffffff009a14920: 863ca397  bl	#0xfffffff0082e3b38
0xfffffff009a14924: 7014ff90  adrp	x16, #0xfffffff007ca0000
0xfffffff009a14928: 10620091  add	x16, x16, #0x18
0xfffffff009a1492c: 10420091  add	x16, x16, #0x10
0xfffffff009a14930: f10300aa  mov	x17, x0
0xfffffff009a14934: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a14938: 300ac1da  pacda	x16, x17
0xfffffff009a1493c: 100000f9  str	x16, [x0]
0xfffffff009a14940: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a14944: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a14948: ff0f5fd6  retab	
0xfffffff009a1494c: 7f2303d5  pacibsp	
0xfffffff009a14950: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a14954: fd030091  mov	x29, sp
0xfffffff009a14958: 004d00d0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a1495c: 00e03491  add	x0, x0, #0xd38
0xfffffff009a14960: 653fa397  bl	#0xfffffff0082e46f4
0xfffffff009a14964: 004d00d0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a14968: 00403491  add	x0, x0, #0xd10
0xfffffff009a1496c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a14970: ff2303d5  autibsp	
0xfffffff009a14974: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a14978: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a14980
0xfffffff009a1497c: 208e38d4  brk	#0xc471
0xfffffff009a14980: 5d3fa317  b	#0xfffffff0082e46f4
0xfffffff009a14984: 7f2303d5  pacibsp	
