; Candidate 3842
; ADRP+ADD at VM 0xfffffff00876a8b4 (fileoff 0x17668b4): page=0x1fe9c7000 add_imm=0xd90

0xfffffff00876a834: ff430191  add	sp, sp, #0x50
0xfffffff00876a838: ff0f5fd6  retab	
0xfffffff00876a83c: 1f051472  tst	w8, #0x3000
0xfffffff00876a840: 40f2ff54  b.eq	#0xfffffff00876a688
0xfffffff00876a844: 28008052  mov	w8, #1
0xfffffff00876a848: 685200b9  str	w8, [x19, #0x50]
0xfffffff00876a84c: 55008052  mov	w21, #2
0xfffffff00876a850: 75620039  strb	w21, [x19, #0x18]
0xfffffff00876a854: 00048052  mov	w0, #0x20
0xfffffff00876a858: 24b1ef97  bl	#0xfffffff008356ce8
0xfffffff00876a85c: 14008052  mov	w20, #0
0xfffffff00876a860: 60b645fd  ldr	d0, [x19, #0xb68]
0xfffffff00876a864: 2851ffd0  adrp	x8, #0xfffffff007190000
0xfffffff00876a868: 018145fd  ldr	d1, [x8, #0xb00]
0xfffffff00876a86c: 0108611e  fmul	d1, d0, d1
0xfffffff00876a870: 2800799e  fcvtzu	x8, d1
0xfffffff00876a874: 080400f9  str	x8, [x0, #8]
0xfffffff00876a878: 601200f9  str	x0, [x19, #0x20]
0xfffffff00876a87c: 1f0000b9  str	wzr, [x0]
0xfffffff00876a880: 151000b9  str	w21, [x0, #0x10]
0xfffffff00876a884: 2851ffd0  adrp	x8, #0xfffffff007190000
0xfffffff00876a888: 018545fd  ldr	d1, [x8, #0xb08]
0xfffffff00876a88c: 0008611e  fmul	d0, d0, d1
0xfffffff00876a890: 0800799e  fcvtzu	x8, d0
0xfffffff00876a894: 080c00f9  str	x8, [x0, #0x18]
0xfffffff00876a898: deffff17  b	#0xfffffff00876a810
0xfffffff00876a89c: 54588052  mov	w20, #0x2c2
0xfffffff00876a8a0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00876a8a4: e1d300a9  stp	x1, x20, [sp, #8]
0xfffffff00876a8a8: 684ffff0  adrp	x8, #0xfffffff007159000
0xfffffff00876a8ac: 08c13c91  add	x8, x8, #0xf30
0xfffffff00876a8b0: e80300f9  str	x8, [sp]
0xfffffff00876a8b4: 204efff0  adrp	x0, #0xfffffff007131000
0xfffffff00876a8b8: 00403691  add	x0, x0, #0xd90
0xfffffff00876a8bc: 8194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876a8c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876a8c4: c34eff90  adrp	x3, #0xfffffff007142000
0xfffffff00876a8c8: 63582d91  add	x3, x3, #0xb56
0xfffffff00876a8cc: 02008052  mov	w2, #0
0xfffffff00876a8d0: 1822ef97  bl	#0xfffffff008333130
0xfffffff00876a8d4: d4ffff17  b	#0xfffffff00876a824
0xfffffff00876a8d8: 7f2303d5  pacibsp	
0xfffffff00876a8dc: ff0301d1  sub	sp, sp, #0x40
0xfffffff00876a8e0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00876a8e4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00876a8e8: fdc30091  add	x29, sp, #0x30
0xfffffff00876a8ec: 085040b9  ldr	w8, [x0, #0x50]
0xfffffff00876a8f0: 09090051  sub	w9, w8, #2
0xfffffff00876a8f4: 3f090071  cmp	w9, #2
0xfffffff00876a8f8: a3020054  b.lo	#0xfffffff00876a94c
0xfffffff00876a8fc: 1f110071  cmp	w8, #4
0xfffffff00876a900: a0040054  b.eq	#0xfffffff00876a994
0xfffffff00876a904: 1f050071  cmp	w8, #1
0xfffffff00876a908: 01070054  b.ne	#0xfffffff00876a9e8
0xfffffff00876a90c: 13008052  mov	w19, #0
0xfffffff00876a910: 48008052  mov	w8, #2
0xfffffff00876a914: 08600039  strb	w8, [x0, #0x18]
0xfffffff00876a918: 00b445fd  ldr	d0, [x0, #0xb68]
0xfffffff00876a91c: 2851ffd0  adrp	x8, #0xfffffff007190000
0xfffffff00876a920: 018145fd  ldr	d1, [x8, #0xb00]
0xfffffff00876a924: 0108611e  fmul	d1, d0, d1
0xfffffff00876a928: 2800799e  fcvtzu	x8, d1
0xfffffff00876a92c: 091040f9  ldr	x9, [x0, #0x20]
0xfffffff00876a930: 280500f9  str	x8, [x9, #8]
