; Candidate 3065
; ADRP+ADD at VM 0xfffffff00871016c (fileoff 0x170c16c): page=0x1fea21000 add_imm=0xd90

0xfffffff0087100ec: 2e008052  mov	w14, #1
0xfffffff0087100f0: a8010014  b	#0xfffffff008710790
0xfffffff0087100f4: 0852ffd0  adrp	x8, #0xfffffff007152000
0xfffffff0087100f8: 08391291  add	x8, x8, #0x48e
0xfffffff0087100fc: e80300f9  str	x8, [sp]
0xfffffff008710100: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710104: 00403691  add	x0, x0, #0xd90
0xfffffff008710108: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871010c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710110: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710114: 63f02d91  add	x3, x3, #0xb7c
0xfffffff008710118: 02008052  mov	w2, #0
0xfffffff00871011c: 058cf097  bl	#0xfffffff008333130
0xfffffff008710120: 08fbff17  b	#0xfffffff00870ed40
0xfffffff008710124: e9bf41b9  ldr	w9, [sp, #0x1bc]
0xfffffff008710128: e80319aa  mov	x8, x25
0xfffffff00871012c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008710130: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710134: 08491591  add	x8, x8, #0x552
0xfffffff008710138: e80300f9  str	x8, [sp]
0xfffffff00871013c: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710140: 00403691  add	x0, x0, #0xd90
0xfffffff008710144: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710148: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871014c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710150: 63a01791  add	x3, x3, #0x5e8
0xfffffff008710154: 02008052  mov	w2, #0
0xfffffff008710158: f68bf097  bl	#0xfffffff008333130
0xfffffff00871015c: 89010014  b	#0xfffffff008710780
0xfffffff008710160: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff008710164: 08491591  add	x8, x8, #0x552
0xfffffff008710168: e80300f9  str	x8, [sp]
0xfffffff00871016c: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710170: 00403691  add	x0, x0, #0xd90
0xfffffff008710174: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710178: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871017c: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710180: 63541891  add	x3, x3, #0x615
0xfffffff008710184: 02008052  mov	w2, #0
0xfffffff008710188: ea8bf097  bl	#0xfffffff008333130
0xfffffff00871018c: 87000014  b	#0xfffffff0087103a8
0xfffffff008710190: 28711d53  lsl	w8, w9, #3
0xfffffff008710194: e88f00a9  stp	x8, x3, [sp, #8]
0xfffffff008710198: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff00871019c: 08491591  add	x8, x8, #0x552
0xfffffff0087101a0: e80300f9  str	x8, [sp]
0xfffffff0087101a4: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087101a8: 00403691  add	x0, x0, #0xd90
0xfffffff0087101ac: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087101b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087101b4: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087101b8: 63381991  add	x3, x3, #0x64e
0xfffffff0087101bc: 02008052  mov	w2, #0
0xfffffff0087101c0: dc8bf097  bl	#0xfffffff008333130
0xfffffff0087101c4: 79000014  b	#0xfffffff0087103a8
0xfffffff0087101c8: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087101cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087101d0: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087101d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087101d8: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087101dc: 638c2e91  add	x3, x3, #0xba3
0xfffffff0087101e0: 02008052  mov	w2, #0
0xfffffff0087101e4: d38bf097  bl	#0xfffffff008333130
0xfffffff0087101e8: d6faff17  b	#0xfffffff00870ed40
