; Candidate 7937
; ADRP+ADD at VM 0xfffffff008888ac4 (fileoff 0x1884ac4): page=0x1fe961000 add_imm=0xe80

0xfffffff008888a44: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff008888a48: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff008888a4c: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff008888a50: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff008888a54: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff008888a58: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff008888a5c: ff430491  add	sp, sp, #0x110
0xfffffff008888a60: ff0f5fd6  retab	
0xfffffff008888a64: d2ad0094  bl	#0xfffffff0088b41ac
0xfffffff008888a68: fa0300aa  mov	x26, x0
0xfffffff008888a6c: 80008052  mov	w0, #4
0xfffffff008888a70: 78cbff97  bl	#0xfffffff00887b850
0xfffffff008888a74: e80318aa  mov	x8, x24
0xfffffff008888a78: f6a306a9  stp	x22, x8, [sp, #0x68]
0xfffffff008888a7c: f93300f9  str	x25, [sp, #0x60]
0xfffffff008888a80: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008888a84: e85f05a9  stp	x8, x23, [sp, #0x50]
0xfffffff008888a88: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff008888a8c: 484cff90  adrp	x8, #0xfffffff007210000
0xfffffff008888a90: 08b92791  add	x8, x8, #0x9ee
0xfffffff008888a94: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008888a98: c82e8052  mov	w8, #0x176
0xfffffff008888a9c: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888aa0: 29590891  add	x9, x9, #0x216
0xfffffff008888aa4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008888aa8: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888aac: 087d0391  add	x8, x8, #0xdf
0xfffffff008888ab0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008888ab4: 88098052  mov	w8, #0x4c
0xfffffff008888ab8: a34effb0  adrp	x3, #0xfffffff00725d000
0xfffffff008888abc: 63e00d91  add	x3, x3, #0x378
0xfffffff008888ac0: fa2300a9  stp	x26, x8, [sp]
0xfffffff008888ac4: 004bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008888ac8: 00003a91  add	x0, x0, #0xe80
0xfffffff008888acc: 018cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008888ad0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008888ad4: 02008052  mov	w2, #0
0xfffffff008888ad8: 96a9ea97  bl	#0xfffffff008333130
0xfffffff008888adc: ccffff17  b	#0xfffffff008888a0c
0xfffffff008888ae0: 7f2303d5  pacibsp	
0xfffffff008888ae4: ff4302d1  sub	sp, sp, #0x90
0xfffffff008888ae8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008888aec: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008888af0: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008888af4: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008888af8: fd030291  add	x29, sp, #0x80
0xfffffff008888afc: f40300aa  mov	x20, x0
0xfffffff008888b00: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff008888b04: 880400b4  cbz	x8, #0xfffffff008888b94
0xfffffff008888b08: e00314aa  mov	x0, x20
0xfffffff008888b0c: 319afe97  bl	#0xfffffff00882f3d0
0xfffffff008888b10: e00314aa  mov	x0, x20
0xfffffff008888b14: 42010094  bl	#0xfffffff00888901c
0xfffffff008888b18: 60070034  cbz	w0, #0xfffffff008888c04
0xfffffff008888b1c: f30300aa  mov	x19, x0
0xfffffff008888b20: 80098052  mov	w0, #0x4c
0xfffffff008888b24: 81008052  mov	w1, #4
0xfffffff008888b28: 2acbff97  bl	#0xfffffff00887b7d0
0xfffffff008888b2c: a0120034  cbz	w0, #0xfffffff008888d80
0xfffffff008888b30: 80098052  mov	w0, #0x4c
0xfffffff008888b34: 39cbff97  bl	#0xfffffff00887b818
0xfffffff008888b38: f60300aa  mov	x22, x0
0xfffffff008888b3c: 9cad0094  bl	#0xfffffff0088b41ac
0xfffffff008888b40: f50300aa  mov	x21, x0
