; Candidate 766
; ADRP+ADD at VM 0xfffffff0080769f0 (fileoff 0x10729f0): page=0x1feffa000 add_imm=0xda0

0xfffffff008076970: 31093fd7  blraa	x9, x17
0xfffffff008076974: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008076978: 09010032  orr	w9, w8, #1
0xfffffff00807697c: 691a00b9  str	w9, [x19, #0x18]
0xfffffff008076980: 89028052  mov	w9, #0x14
0xfffffff008076984: 3f01286a  bics	wzr, w9, w8
0xfffffff008076988: e1060054  b.ne	#0xfffffff008076a64
0xfffffff00807698c: e00313aa  mov	x0, x19
0xfffffff008076990: 01d8f497  bl	#0xfffffff007dac994
0xfffffff008076994: 080080d2  mov	x8, #0
0xfffffff008076998: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00807699c: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff0080769a0: 550e01d0  adrp	x21, #0xfffffff00a240000
0xfffffff0080769a4: b5020f91  add	x21, x21, #0x3c0
0xfffffff0080769a8: a97ee8c8  casa	x8, x9, [x21]
0xfffffff0080769ac: 1f0100f1  cmp	x8, #0
0xfffffff0080769b0: c1020054  b.ne	#0xfffffff008076a08
0xfffffff0080769b4: 687249f9  ldr	x8, [x19, #0x12e0]
0xfffffff0080769b8: 680300b4  cbz	x8, #0xfffffff008076a24
0xfffffff0080769bc: 095c8252  mov	w9, #0x12e0
0xfffffff0080769c0: 6902098b  add	x9, x19, x9
0xfffffff0080769c4: 0a7549f9  ldr	x10, [x8, #0x12e8]
0xfffffff0080769c8: 5f0109eb  cmp	x10, x9
0xfffffff0080769cc: e1090054  b.ne	#0xfffffff008076b08
0xfffffff0080769d0: 697649f9  ldr	x9, [x19, #0x12e8]
0xfffffff0080769d4: 2a0140f9  ldr	x10, [x9]
0xfffffff0080769d8: 5f0113eb  cmp	x10, x19
0xfffffff0080769dc: c1070054  b.ne	#0xfffffff008076ad4
0xfffffff0080769e0: 097509f9  str	x9, [x8, #0x12e8]
0xfffffff0080769e4: 697249f9  ldr	x9, [x19, #0x12e0]
0xfffffff0080769e8: 687649f9  ldr	x8, [x19, #0x12e8]
0xfffffff0080769ec: 15000014  b	#0xfffffff008076a40
0xfffffff0080769f0: c07fffd0  adrp	x0, #0xfffffff007070000
0xfffffff0080769f4: 00803691  add	x0, x0, #0xda0
0xfffffff0080769f8: c17fffd0  adrp	x1, #0xfffffff007070000
0xfffffff0080769fc: 21d02591  add	x1, x1, #0x974
0xfffffff008076a00: 02ab8152  mov	w2, #0xd58
0xfffffff008076a04: 84a31094  bl	#0xfffffff00849f814
0xfffffff008076a08: 400e01d0  adrp	x0, #0xfffffff00a240000
0xfffffff008076a0c: 00e00e91  add	x0, x0, #0x3b8
0xfffffff008076a10: e10314aa  mov	x1, x20
0xfffffff008076a14: 02008052  mov	w2, #0
0xfffffff008076a18: 38d4f497  bl	#0xfffffff007dabaf8
0xfffffff008076a1c: 687249f9  ldr	x8, [x19, #0x12e0]
0xfffffff008076a20: e8fcffb5  cbnz	x8, #0xfffffff0080769bc
0xfffffff008076a24: 687649f9  ldr	x8, [x19, #0x12e8]
0xfffffff008076a28: 090140f9  ldr	x9, [x8]
0xfffffff008076a2c: 3f0113eb  cmp	x9, x19
0xfffffff008076a30: 21050054  b.ne	#0xfffffff008076ad4
0xfffffff008076a34: 090080d2  mov	x9, #0
0xfffffff008076a38: 4a0e01d0  adrp	x10, #0xfffffff00a240000
0xfffffff008076a3c: 48f101f9  str	x8, [x10, #0x3e0]
0xfffffff008076a40: 090100f9  str	x9, [x8]
0xfffffff008076a44: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff008076a48: e20308aa  mov	x2, x8
0xfffffff008076a4c: bffea288  casl	w2, wzr, [x21]
0xfffffff008076a50: 5f00086b  cmp	w2, w8
0xfffffff008076a54: 01050054  b.ne	#0xfffffff008076af4
0xfffffff008076a58: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008076a5c: 08791b12  and	w8, w8, #0xffffffef
0xfffffff008076a60: 681a00b9  str	w8, [x19, #0x18]
0xfffffff008076a64: 680c01f0  adrp	x8, #0xfffffff00a205000
0xfffffff008076a68: 09ad43f9  ldr	x9, [x8, #0x758]
0xfffffff008076a6c: 680c01f0  adrp	x8, #0xfffffff00a205000
