; Candidate 1033
; ADRP+ADD at VM 0xfffffff00819c004 (fileoff 0x1198004): page=0x1feee6000 add_imm=0xe09

0xfffffff00819bf84: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00819bf88: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00819bf8c: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00819bf90: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00819bf94: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff00819bf98: ffc30291  add	sp, sp, #0xb0
0xfffffff00819bf9c: ff0f5fd6  retab	
0xfffffff00819bfa0: e00315aa  mov	x0, x21
0xfffffff00819bfa4: e10314aa  mov	x1, x20
0xfffffff00819bfa8: ef41f097  bl	#0xfffffff007dac764
0xfffffff00819bfac: f1ffff17  b	#0xfffffff00819bf70
0xfffffff00819bfb0: 7f2303d5  pacibsp	
0xfffffff00819bfb4: ffc301d1  sub	sp, sp, #0x70
0xfffffff00819bfb8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00819bfbc: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00819bfc0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00819bfc4: fd830191  add	x29, sp, #0x60
0xfffffff00819bfc8: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff00819bfcc: 280100b4  cbz	x8, #0xfffffff00819bff0
0xfffffff00819bfd0: f50303aa  mov	x21, x3
0xfffffff00819bfd4: f30300aa  mov	x19, x0
0xfffffff00819bfd8: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00819bfdc: 090140f9  ldr	x9, [x8]
0xfffffff00819bfe0: 3f0101eb  cmp	x9, x1
0xfffffff00819bfe4: 60010054  b.eq	#0xfffffff00819c010
0xfffffff00819bfe8: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff00819bfec: 88ffffb5  cbnz	x8, #0xfffffff00819bfdc
0xfffffff00819bff0: e8478052  mov	w8, #0x23f
0xfffffff00819bff4: 2977fff0  adrp	x9, #0xfffffff007082000
0xfffffff00819bff8: 291d3291  add	x9, x9, #0xc87
0xfffffff00819bffc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00819c000: e10300f9  str	x1, [sp]
0xfffffff00819c004: 2077ffd0  adrp	x0, #0xfffffff007082000
0xfffffff00819c008: 00243891  add	x0, x0, #0xe09
0xfffffff00819c00c: 40e10b94  bl	#0xfffffff00849450c
0xfffffff00819c010: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00819c014: 29050091  add	x9, x9, #1
0xfffffff00819c018: 090900f9  str	x9, [x8, #0x10]
0xfffffff00819c01c: 82ee02f9  str	x2, [x20, #0x5d8]
0xfffffff00819c020: 20a00091  add	x0, x1, #0x28
0xfffffff00819c024: 010540f9  ldr	x1, [x8, #8]
0xfffffff00819c028: e8630091  add	x8, sp, #0x18
0xfffffff00819c02c: f00301d0  adrp	x16, #0xfffffff00a21a000
0xfffffff00819c030: 10223391  add	x16, x16, #0xcc8
0xfffffff00819c034: f10308aa  mov	x17, x8
0xfffffff00819c038: 315cedf2  movk	x17, #0x6ae1, lsl #48
0xfffffff00819c03c: 300ac1da  pacda	x16, x17
0xfffffff00819c040: f00f00f9  str	x16, [sp, #0x18]
0xfffffff00819c044: 8973ffd0  adrp	x9, #0xfffffff00700e000
0xfffffff00819c048: 200d43fd  ldr	d0, [x9, #0x618]
0xfffffff00819c04c: e01300fd  str	d0, [sp, #0x20]
0xfffffff00819c050: 09410091  add	x9, x8, #0x10
0xfffffff00819c054: b0e0ff90  adrp	x16, #0xfffffff007db0000
0xfffffff00819c058: 10921591  add	x16, x16, #0x564
0xfffffff00819c05c: 3001c1da  pacia	x16, x9
0xfffffff00819c060: f01700f9  str	x16, [sp, #0x28]
0xfffffff00819c064: 08610091  add	x8, x8, #0x18
0xfffffff00819c068: d0b9ffd0  adrp	x16, #0xfffffff0078d6000
0xfffffff00819c06c: 10423b91  add	x16, x16, #0xed0
0xfffffff00819c070: f10308aa  mov	x17, x8
0xfffffff00819c074: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff00819c078: 300ac1da  pacda	x16, x17
0xfffffff00819c07c: f04f03a9  stp	x16, x19, [sp, #0x30]
0xfffffff00819c080: c4b9ffd0  adrp	x4, #0xfffffff0078d6000
