; Candidate 12938
; ADRP+ADD at VM 0xfffffff00918dac8 (fileoff 0x2189ac8): page=0x1fe308000 add_imm=0xdcf

0xfffffff00918da48: 301ac1da  autda	x16, x17
0xfffffff00918da4c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00918da50: e90310aa  mov	x9, x16
0xfffffff00918da54: e00315aa  mov	x0, x21
0xfffffff00918da58: f10309aa  mov	x17, x9
0xfffffff00918da5c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00918da60: 11093fd7  blraa	x8, x17
0xfffffff00918da64: 28008052  mov	w8, #1
0xfffffff00918da68: 68720039  strb	w8, [x19, #0x1c]
0xfffffff00918da6c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00918da70: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00918da74: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00918da78: ff0f5fd6  retab	
0xfffffff00918da7c: e10315aa  mov	x1, x21
0xfffffff00918da80: 21b4f9f2  movk	x1, #0xcda1, lsl #48
0xfffffff00918da84: e00315aa  mov	x0, x21
0xfffffff00918da88: 98000194  bl	#0xfffffff0091cdce8
0xfffffff00918da8c: 7f2303d5  pacibsp	
0xfffffff00918da90: ffc300d1  sub	sp, sp, #0x30
0xfffffff00918da94: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00918da98: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00918da9c: fd830091  add	x29, sp, #0x20
0xfffffff00918daa0: f30301aa  mov	x19, x1
0xfffffff00918daa4: f40300aa  mov	x20, x0
0xfffffff00918daa8: a0feff97  bl	#0xfffffff00918d528
0xfffffff00918daac: ff3f0039  strb	wzr, [sp, #0xf]
0xfffffff00918dab0: e23f0091  add	x2, sp, #0xf
0xfffffff00918dab4: e00313aa  mov	x0, x19
0xfffffff00918dab8: 812d8c52  mov	w1, #0x616c
0xfffffff00918dabc: 61c8ad72  movk	w1, #0x6e43, lsl #16
0xfffffff00918dac0: baffff97  bl	#0xfffffff00918d9a8
0xfffffff00918dac4: ff0b00b9  str	wzr, [sp, #8]
0xfffffff00918dac8: 4018ff90  adrp	x0, #0xfffffff007495000
0xfffffff00918dacc: 003c3791  add	x0, x0, #0xdcf
0xfffffff00918dad0: e1230091  add	x1, sp, #8
0xfffffff00918dad4: 82008052  mov	w2, #4
0xfffffff00918dad8: 387dcb97  bl	#0xfffffff00846cfb8
0xfffffff00918dadc: 60010034  cbz	w0, #0xfffffff00918db08
0xfffffff00918dae0: e80b40b9  ldr	w8, [sp, #8]
0xfffffff00918dae4: 1f010071  cmp	w8, #0
0xfffffff00918dae8: e8079f1a  cset	w8, ne
0xfffffff00918daec: 083d1053  lsl	w8, w8, #0x10
0xfffffff00918daf0: e80700b9  str	w8, [sp, #4]
0xfffffff00918daf4: e2130091  add	x2, sp, #4
0xfffffff00918daf8: e00313aa  mov	x0, x19
0xfffffff00918dafc: 01898d52  mov	w1, #0x6c48
0xfffffff00918db00: 612cac72  movk	w1, #0x6163, lsl #16
0xfffffff00918db04: d6fdff97  bl	#0xfffffff00918d25c
0xfffffff00918db08: 88ca40b9  ldr	w8, [x20, #0xc8]
0xfffffff00918db0c: e00314aa  mov	x0, x20
0xfffffff00918db10: e10313aa  mov	x1, x19
0xfffffff00918db14: 1f090071  cmp	w8, #2
0xfffffff00918db18: 61000054  b.ne	#0xfffffff00918db24
0xfffffff00918db1c: 09feff97  bl	#0xfffffff00918d340
0xfffffff00918db20: 02000014  b	#0xfffffff00918db28
0xfffffff00918db24: 5cfdff97  bl	#0xfffffff00918d094
0xfffffff00918db28: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00918db2c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00918db30: ffc30091  add	sp, sp, #0x30
0xfffffff00918db34: ff0f5fd6  retab	
0xfffffff00918db38: 5f2403d5  bti	c
0xfffffff00918db3c: c00c8e52  mov	w0, #0x7066
0xfffffff00918db40: e02dac72  movk	w0, #0x616f, lsl #16
0xfffffff00918db44: c0035fd6  ret	
