; Candidate 3121
; ADRP+ADD at VM 0xfffffff00871403c (fileoff 0x171003c): page=0x1fea1d000 add_imm=0xd90

0xfffffff008713fbc: 3851ffb0  adrp	x24, #0xfffffff007138000
0xfffffff008713fc0: 18ff0691  add	x24, x24, #0x1bf
0xfffffff008713fc4: 687bbab8  ldrsw	x8, [x27, x26, lsl #2]
0xfffffff008713fc8: 880e088b  add	x8, x20, x8, lsl #3
0xfffffff008713fcc: 082147f9  ldr	x8, [x8, #0xe40]
0xfffffff008713fd0: 887b3af8  str	x8, [x28, x26, lsl #3]
0xfffffff008713fd4: 697a40b9  ldr	w9, [x19, #0x78]
0xfffffff008713fd8: 3f03296a  bics	wzr, w25, w9
0xfffffff008713fdc: a1010054  b.ne	#0xfffffff008714010
0xfffffff008713fe0: 09c943f9  ldr	x9, [x8, #0x790]
0xfffffff008713fe4: 0a9947b9  ldr	w10, [x8, #0x798]
0xfffffff008713fe8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008713fec: faab00a9  stp	x26, x10, [sp, #8]
0xfffffff008713ff0: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713ff4: 08350691  add	x8, x8, #0x18d
0xfffffff008713ff8: e80300f9  str	x8, [sp]
0xfffffff008713ffc: e00316aa  mov	x0, x22
0xfffffff008714000: e10317aa  mov	x1, x23
0xfffffff008714004: 02008052  mov	w2, #0
0xfffffff008714008: e30318aa  mov	x3, x24
0xfffffff00871400c: 497cf097  bl	#0xfffffff008333130
0xfffffff008714010: 15008052  mov	w21, #0
0xfffffff008714014: 5a070091  add	x26, x26, #1
0xfffffff008714018: 5f1f00f1  cmp	x26, #7
0xfffffff00871401c: 41fdff54  b.ne	#0xfffffff008713fc4
0xfffffff008714020: 2cffff17  b	#0xfffffff008713cd0
0xfffffff008714024: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008714028: 28e50736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff00871402c: f8ab00a9  stp	x24, x10, [sp, #8]
0xfffffff008714030: c851fff0  adrp	x8, #0xfffffff00714f000
0xfffffff008714034: 08350691  add	x8, x8, #0x18d
0xfffffff008714038: e80300f9  str	x8, [sp]
0xfffffff00871403c: e050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008714040: 00403691  add	x0, x0, #0xd90
0xfffffff008714044: 4197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008714048: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871404c: 2351ff90  adrp	x3, #0xfffffff007138000
0xfffffff008714050: 63580391  add	x3, x3, #0xd6
0xfffffff008714054: 02008052  mov	w2, #0
0xfffffff008714058: 367cf097  bl	#0xfffffff008333130
0xfffffff00871405c: 1cffff17  b	#0xfffffff008713ccc
0xfffffff008714060: ec030aaa  mov	x12, x10
0xfffffff008714064: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008714068: 28e30736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff00871406c: 681147b9  ldr	w8, [x11, #0x710]
0xfffffff008714070: a91247b9  ldr	w9, [x21, #0x710]
0xfffffff008714074: 6b1547b9  ldr	w11, [x11, #0x714]
0xfffffff008714078: ad1647b9  ldr	w13, [x21, #0x714]
0xfffffff00871407c: ebb702a9  stp	x11, x13, [sp, #0x28]
0xfffffff008714080: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008714084: eab300a9  stp	x10, x12, [sp, #8]
0xfffffff008714088: c851fff0  adrp	x8, #0xfffffff00714f000
0xfffffff00871408c: 08350691  add	x8, x8, #0x18d
0xfffffff008714090: e80300f9  str	x8, [sp]
0xfffffff008714094: e050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008714098: 00403691  add	x0, x0, #0xd90
0xfffffff00871409c: 4197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087140a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087140a4: 2351ff90  adrp	x3, #0xfffffff007138000
0xfffffff0087140a8: 63e80491  add	x3, x3, #0x13a
0xfffffff0087140ac: 02008052  mov	w2, #0
0xfffffff0087140b0: 207cf097  bl	#0xfffffff008333130
0xfffffff0087140b4: 06ffff17  b	#0xfffffff008713ccc
0xfffffff0087140b8: 68ea4139  ldrb	w8, [x19, #0x7a]
