; Candidate 3455
; ADRP+ADD at VM 0xfffffff00873f794 (fileoff 0x173b794): page=0x1fe9f2000 add_imm=0xd90

0xfffffff00873f714: 17000014  b	#0xfffffff00873f770
0xfffffff00873f718: c850ff90  adrp	x8, #0xfffffff007157000
0xfffffff00873f71c: 08812d91  add	x8, x8, #0xb60
0xfffffff00873f720: e80300f9  str	x8, [sp]
0xfffffff00873f724: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f728: 00403691  add	x0, x0, #0xd90
0xfffffff00873f72c: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f730: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f734: e34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff00873f738: 63440d91  add	x3, x3, #0x351
0xfffffff00873f73c: 02008052  mov	w2, #0
0xfffffff00873f740: 7cceef97  bl	#0xfffffff008333130
0xfffffff00873f744: 62000014  b	#0xfffffff00873f8cc
0xfffffff00873f748: f60300f9  str	x22, [sp]
0xfffffff00873f74c: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f750: 00403691  add	x0, x0, #0xd90
0xfffffff00873f754: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f758: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f75c: e34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff00873f760: 63380891  add	x3, x3, #0x20e
0xfffffff00873f764: 02008052  mov	w2, #0
0xfffffff00873f768: 72ceef97  bl	#0xfffffff008333130
0xfffffff00873f76c: b6c31db8  stur	w22, [x29, #-0x24]
0xfffffff00873f770: c8dc00f0  adrp	x8, #0xfffffff00a2da000
0xfffffff00873f774: 08d12891  add	x8, x8, #0xa34
0xfffffff00873f778: 755c8052  mov	w21, #0x2e3
0xfffffff00873f77c: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff00873f780: 095976b8  ldr	w9, [x8, w22, uxtw #2]
0xfffffff00873f784: 29050011  add	w9, w9, #1
0xfffffff00873f788: 095936b8  str	w9, [x8, w22, uxtw #2]
0xfffffff00873f78c: f6a700a9  stp	x22, x9, [sp, #8]
0xfffffff00873f790: f40300f9  str	x20, [sp]
0xfffffff00873f794: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f798: 00403691  add	x0, x0, #0xd90
0xfffffff00873f79c: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f7a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f7a4: e34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff00873f7a8: 638c0a91  add	x3, x3, #0x2a3
0xfffffff00873f7ac: 02008052  mov	w2, #0
0xfffffff00873f7b0: 60ceef97  bl	#0xfffffff008333130
0xfffffff00873f7b4: 684e368b  add	x8, x19, w22, uxtw #3
0xfffffff00873f7b8: 005d40f9  ldr	x0, [x8, #0xb8]
0xfffffff00873f7bc: 753c0094  bl	#0xfffffff00874e990
0xfffffff00873f7c0: 76da71b9  ldr	w22, [x19, #0x31d8]
0xfffffff00873f7c4: 609e40f9  ldr	x0, [x19, #0x138]
0xfffffff00873f7c8: 100040f9  ldr	x16, [x0]
0xfffffff00873f7cc: f10300aa  mov	x17, x0
0xfffffff00873f7d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873f7d4: 301ac1da  autda	x16, x17
0xfffffff00873f7d8: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff00873f7dc: e90310aa  mov	x9, x16
0xfffffff00873f7e0: 100000d0  adrp	x16, #0xfffffff008741000
0xfffffff00873f7e4: 10e20891  add	x16, x16, #0x238
0xfffffff00873f7e8: 31a897d2  mov	x17, #0xbd41
0xfffffff00873f7ec: 3002c1da  pacia	x16, x17
0xfffffff00873f7f0: e10310aa  mov	x1, x16
0xfffffff00873f7f4: a39300d1  sub	x3, x29, #0x24
0xfffffff00873f7f8: c2018052  mov	w2, #0xe
0xfffffff00873f7fc: 040080d2  mov	x4, #0
0xfffffff00873f800: 050080d2  mov	x5, #0
0xfffffff00873f804: f10309aa  mov	x17, x9
0xfffffff00873f808: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff00873f80c: 11093fd7  blraa	x8, x17
0xfffffff00873f810: 1f00156b  cmp	w0, w21
