; Candidate 5142
; ADRP+ADD at VM 0xfffffff0087db76c (fileoff 0x17d776c): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087db6ec: f70300aa  mov	x23, x0
0xfffffff0087db6f0: af620394  bl	#0xfffffff0088b41ac
0xfffffff0087db6f4: f60300aa  mov	x22, x0
0xfffffff0087db6f8: 00018052  mov	w0, #8
0xfffffff0087db6fc: 55800294  bl	#0xfffffff00887b850
0xfffffff0087db700: d7010034  cbz	w23, #0xfffffff0087db738
0xfffffff0087db704: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087db708: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db70c: 08051291  add	x8, x8, #0x481
0xfffffff0087db710: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087db714: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db718: 081d0291  add	x8, x8, #0x87
0xfffffff0087db71c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087db720: 280a8052  mov	w8, #0x51
0xfffffff0087db724: a051ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087db728: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087db72c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087db730: 4c6fd797  bl	#0xfffffff007db7460
0xfffffff0087db734: 16000014  b	#0xfffffff0087db78c
0xfffffff0087db738: 9d620394  bl	#0xfffffff0088b41ac
0xfffffff0087db73c: f60300aa  mov	x22, x0
0xfffffff0087db740: 00018052  mov	w0, #8
0xfffffff0087db744: 43800294  bl	#0xfffffff00887b850
0xfffffff0087db748: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087db74c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db750: 08051291  add	x8, x8, #0x481
0xfffffff0087db754: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087db758: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db75c: 081d0291  add	x8, x8, #0x87
0xfffffff0087db760: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087db764: 280a8052  mov	w8, #0x51
0xfffffff0087db768: f62300a9  stp	x22, x8, [sp]
0xfffffff0087db76c: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087db770: 00003a91  add	x0, x0, #0xe80
0xfffffff0087db774: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087db778: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087db77c: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087db780: 63f80091  add	x3, x3, #0x3e
0xfffffff0087db784: 02008052  mov	w2, #0
0xfffffff0087db788: 6a5eed97  bl	#0xfffffff008333130
0xfffffff0087db78c: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087db790: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087db794: 97088052  mov	w23, #0x44
0xfffffff0087db798: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0087db79c: 80088052  mov	w0, #0x44
0xfffffff0087db7a0: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087db7a4: c1008052  mov	w1, #6
0xfffffff0087db7a8: 03008092  mov	x3, #-1
0xfffffff0087db7ac: 040080d2  mov	x4, #0
0xfffffff0087db7b0: 050080d2  mov	x5, #0
0xfffffff0087db7b4: d489e697  bl	#0xfffffff00817df04
0xfffffff0087db7b8: a11a40f9  ldr	x1, [x21, #0x30]
0xfffffff0087db7bc: a22e40f9  ldr	x2, [x21, #0x58]
0xfffffff0087db7c0: e00313aa  mov	x0, x19
0xfffffff0087db7c4: 43000094  bl	#0xfffffff0087db8d0
0xfffffff0087db7c8: a4620394  bl	#0xfffffff0088b4258
0xfffffff0087db7cc: f60300aa  mov	x22, x0
0xfffffff0087db7d0: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087db7d4: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087db7d8: e0120011  add	w0, w23, #4
0xfffffff0087db7dc: c1008052  mov	w1, #6
0xfffffff0087db7e0: 03008092  mov	x3, #-1
0xfffffff0087db7e4: 040080d2  mov	x4, #0
0xfffffff0087db7e8: 050080d2  mov	x5, #0
