; Candidate 15074
; ADRP+ADD at VM 0xfffffff009a8df44 (fileoff 0x2a89f44): page=0x1fe22b000 add_imm=0xd38

0xfffffff009a8dec4: 10e22a91  add	x16, x16, #0xab8
0xfffffff009a8dec8: 10420091  add	x16, x16, #0x10
0xfffffff009a8decc: f10300aa  mov	x17, x0
0xfffffff009a8ded0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8ded4: 300ac1da  pacda	x16, x17
0xfffffff009a8ded8: 100000f9  str	x16, [x0]
0xfffffff009a8dedc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a8dee0: ff0f5fd6  retab	
0xfffffff009a8dee4: 5f2403d5  bti	c
0xfffffff009a8dee8: 9965a117  b	#0xfffffff0082e754c
0xfffffff009a8deec: 5f2403d5  bti	c
0xfffffff009a8def0: 9765a117  b	#0xfffffff0082e754c
0xfffffff009a8def4: 7f2303d5  pacibsp	
0xfffffff009a8def8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a8defc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a8df00: fd430091  add	x29, sp, #0x10
0xfffffff009a8df04: f30300aa  mov	x19, x0
0xfffffff009a8df08: 9165a197  bl	#0xfffffff0082e754c
0xfffffff009a8df0c: 4011fff0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8df10: 00e03491  add	x0, x0, #0xd38
0xfffffff009a8df14: e10313aa  mov	x1, x19
0xfffffff009a8df18: 02068052  mov	w2, #0x30
0xfffffff009a8df1c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a8df20: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a8df24: ff2303d5  autibsp	
0xfffffff009a8df28: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009a8df2c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009a8df34
0xfffffff009a8df30: 208e38d4  brk	#0xc471
0xfffffff009a8df34: da65a117  b	#0xfffffff0082e769c
0xfffffff009a8df38: 5f2403d5  bti	c
0xfffffff009a8df3c: e20301aa  mov	x2, x1
0xfffffff009a8df40: e10300aa  mov	x1, x0
0xfffffff009a8df44: 4011fff0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8df48: 00e03491  add	x0, x0, #0xd38
0xfffffff009a8df4c: d465a117  b	#0xfffffff0082e769c
0xfffffff009a8df50: 5f2403d5  bti	c
0xfffffff009a8df54: 404900f0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009a8df58: 00001b91  add	x0, x0, #0x6c0
0xfffffff009a8df5c: c0035fd6  ret	
0xfffffff009a8df60: 7f2303d5  pacibsp	
0xfffffff009a8df64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a8df68: fd030091  mov	x29, sp
0xfffffff009a8df6c: 01dcfef0  adrp	x1, #0xfffffff007610000
0xfffffff009a8df70: 21c80e91  add	x1, x1, #0x3b2
0xfffffff009a8df74: 424900f0  adrp	x2, #0xfffffff00a3b8000
0xfffffff009a8df78: 42201991  add	x2, x2, #0x648
0xfffffff009a8df7c: 03068052  mov	w3, #0x30
0xfffffff009a8df80: ee56a197  bl	#0xfffffff0082e3b38
0xfffffff009a8df84: 5011fff0  adrp	x16, #0xfffffff007cb8000
0xfffffff009a8df88: 10c22d91  add	x16, x16, #0xb70
0xfffffff009a8df8c: 10420091  add	x16, x16, #0x10
0xfffffff009a8df90: f10300aa  mov	x17, x0
0xfffffff009a8df94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8df98: 300ac1da  pacda	x16, x17
0xfffffff009a8df9c: 100000f9  str	x16, [x0]
0xfffffff009a8dfa0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a8dfa4: ff0f5fd6  retab	
0xfffffff009a8dfa8: 7f2303d5  pacibsp	
0xfffffff009a8dfac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a8dfb0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a8dfb4: fd430091  add	x29, sp, #0x10
0xfffffff009a8dfb8: 4011fff0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8dfbc: 00e03491  add	x0, x0, #0xd38
0xfffffff009a8dfc0: 01068052  mov	w1, #0x30
