; Candidate 1332
; ADRP+ADD at VM 0xfffffff00835437c (fileoff 0x135037c): page=0x1fed4f000 add_imm=0xd29

0xfffffff0083542fc: 1f510171  cmp	w8, #0x54
0xfffffff008354300: 43030054  b.lo	#0xfffffff008354368
0xfffffff008354304: 340440f9  ldr	x20, [x1, #8]
0xfffffff008354308: 940000b4  cbz	x20, #0xfffffff008354318
0xfffffff00835430c: 281440b9  ldr	w8, [x1, #0x14]
0xfffffff008354310: 1ff10071  cmp	w8, #0x3c
0xfffffff008354314: a3020054  b.lo	#0xfffffff008354368
0xfffffff008354318: 4b4d0394  bl	#0xfffffff008427844
0xfffffff00835431c: f30300aa  mov	x19, x0
0xfffffff008354320: 40020035  cbnz	w0, #0xfffffff008354368
0xfffffff008354324: e865ff90  adrp	x8, #0xfffffff007010000
0xfffffff008354328: 0049c13d  ldr	q0, [x8, #0x520]
0xfffffff00835432c: 8042823c  stur	q0, [x20, #0x24]
0xfffffff008354330: 88078052  mov	w8, #0x3c
0xfffffff008354334: 880600b9  str	w8, [x20, #4]
0xfffffff008354338: c865fff0  adrp	x8, #0xfffffff00700f000
0xfffffff00835433c: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008354340: 80c201fc  stur	d0, [x20, #0x1c]
0xfffffff008354344: 9f4203f8  stur	xzr, [x20, #0x34]
0xfffffff008354348: 08000014  b	#0xfffffff008354368
0xfffffff00835434c: 2000c03d  ldr	q0, [x1]
0xfffffff008354350: e003803d  str	q0, [sp]
0xfffffff008354354: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff008354358: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00835435c: e1030091  mov	x1, sp
0xfffffff008354360: c5b6ff97  bl	#0xfffffff008341e74
0xfffffff008354364: f30300aa  mov	x19, x0
0xfffffff008354368: e00313aa  mov	x0, x19
0xfffffff00835436c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008354370: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008354374: ff030191  add	sp, sp, #0x40
0xfffffff008354378: ff0f5fd6  retab	
0xfffffff00835437c: 606afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008354380: 00a43491  add	x0, x0, #0xd29
0xfffffff008354384: 633cfe97  bl	#0xfffffff0082e3510
0xfffffff008354388: 200020d4  brk	#1
0xfffffff00835438c: 7f2303d5  pacibsp	
0xfffffff008354390: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008354394: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008354398: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00835439c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0083543a0: fdc30091  add	x29, sp, #0x30
0xfffffff0083543a4: f3578052  mov	w19, #0x2bf
0xfffffff0083543a8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0083543ac: 080040f9  ldr	x8, [x0]
0xfffffff0083543b0: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff0083543b4: 3f050071  cmp	w9, #1
0xfffffff0083543b8: a1040054  b.ne	#0xfffffff00835444c
0xfffffff0083543bc: 094144f8  ldur	x9, [x8, #0x44]
0xfffffff0083543c0: 3f0500f1  cmp	x9, #1
0xfffffff0083543c4: 41040054  b.ne	#0xfffffff00835444c
0xfffffff0083543c8: 091040b9  ldr	w9, [x0, #0x10]
0xfffffff0083543cc: 3f711171  cmp	w9, #0x45c
0xfffffff0083543d0: e3030054  b.lo	#0xfffffff00835444c
0xfffffff0083543d4: f40302aa  mov	x20, x2
0xfffffff0083543d8: f50301aa  mov	x21, x1
0xfffffff0083543dc: 170440f9  ldr	x23, [x0, #8]
0xfffffff0083543e0: 970000b4  cbz	x23, #0xfffffff0083543f0
0xfffffff0083543e4: 091440b9  ldr	w9, [x0, #0x14]
0xfffffff0083543e8: 3ff10071  cmp	w9, #0x3c
0xfffffff0083543ec: 03030054  b.lo	#0xfffffff00835444c
0xfffffff0083543f0: 16710191  add	x22, x8, #0x5c
0xfffffff0083543f4: e00316aa  mov	x0, x22
0xfffffff0083543f8: 01808052  mov	w1, #0x400
