; Candidate 8670
; ADRP+ADD at VM 0xfffffff0088baa88 (fileoff 0x18b6a88): page=0x1fe92f000 add_imm=0xe80

0xfffffff0088baa08: 00050034  cbz	w0, #0xfffffff0088baaa8
0xfffffff0088baa0c: c0088052  mov	w0, #0x46
0xfffffff0088baa10: 8203ff97  bl	#0xfffffff00887b818
0xfffffff0088baa14: f50300aa  mov	x21, x0
0xfffffff0088baa18: e5e5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088baa1c: f40300aa  mov	x20, x0
0xfffffff0088baa20: 80008052  mov	w0, #4
0xfffffff0088baa24: 8b03ff97  bl	#0xfffffff00887b850
0xfffffff0088baa28: 95010034  cbz	w21, #0xfffffff0088baa58
0xfffffff0088baa2c: 48038052  mov	w8, #0x1a
0xfffffff0088baa30: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088baa34: e84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088baa38: 086d3591  add	x8, x8, #0xd5b
0xfffffff0088baa3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088baa40: c8088052  mov	w8, #0x46
0xfffffff0088baa44: f42300a9  stp	x20, x8, [sp]
0xfffffff0088baa48: c04bfff0  adrp	x0, #0xfffffff007235000
0xfffffff0088baa4c: 006c3a91  add	x0, x0, #0xe9b
0xfffffff0088baa50: 84f2d397  bl	#0xfffffff007db7460
0xfffffff0088baa54: 15000014  b	#0xfffffff0088baaa8
0xfffffff0088baa58: d5e5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088baa5c: f40300aa  mov	x20, x0
0xfffffff0088baa60: 80008052  mov	w0, #4
0xfffffff0088baa64: 7b03ff97  bl	#0xfffffff00887b850
0xfffffff0088baa68: e80313aa  mov	x8, x19
0xfffffff0088baa6c: 49038052  mov	w9, #0x1a
0xfffffff0088baa70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088baa74: e84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088baa78: 086d3591  add	x8, x8, #0xd5b
0xfffffff0088baa7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088baa80: c8088052  mov	w8, #0x46
0xfffffff0088baa84: f42300a9  stp	x20, x8, [sp]
0xfffffff0088baa88: 6049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088baa8c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088baa90: 618affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088baa94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088baa98: 634dffb0  adrp	x3, #0xfffffff007267000
0xfffffff0088baa9c: 634c0191  add	x3, x3, #0x53
0xfffffff0088baaa0: 02008052  mov	w2, #0
0xfffffff0088baaa4: a3e1e997  bl	#0xfffffff008333130
0xfffffff0088baaa8: e00313aa  mov	x0, x19
0xfffffff0088baaac: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088baab0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088baab4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088baab8: ff830191  add	sp, sp, #0x60
0xfffffff0088baabc: ff0f5fd6  retab	
0xfffffff0088baac0: 7f2303d5  pacibsp	
0xfffffff0088baac4: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088baac8: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0088baacc: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088baad0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088baad4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088baad8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088baadc: fd030291  add	x29, sp, #0x80
0xfffffff0088baae0: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff0088baae4: 1f190071  cmp	w8, #6
0xfffffff0088baae8: c8150054  b.hi	#0xfffffff0088bada0
0xfffffff0088baaec: f30301aa  mov	x19, x1
0xfffffff0088baaf0: f40300aa  mov	x20, x0
0xfffffff0088baaf4: 010440b9  ldr	w1, [x0, #4]
0xfffffff0088baaf8: e00313aa  mov	x0, x19
0xfffffff0088baafc: 82008052  mov	w2, #4
0xfffffff0088bab00: ade0ff97  bl	#0xfffffff0088b2db4
0xfffffff0088bab04: f50300aa  mov	x21, x0
