; Candidate 9584
; ADRP+ADD at VM 0xfffffff008a796e8 (fileoff 0x1a756e8): page=0x1866000 add_imm=0xdc8

0xfffffff008a79668: 15008052  mov	w21, #0
0xfffffff008a7966c: 88864539  ldrb	w8, [x20, #0x161]
0xfffffff008a79670: 89624539  ldrb	w9, [x20, #0x158]
0xfffffff008a79674: 2801080b  add	w8, w9, w8
0xfffffff008a79678: 68020039  strb	w8, [x19]
0xfffffff008a7967c: e00315aa  mov	x0, x21
0xfffffff008a79680: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008a79684: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a79688: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008a7968c: ff030191  add	sp, sp, #0x40
0xfffffff008a79690: ff0f5fd6  retab	
0xfffffff008a79694: 7f2303d5  pacibsp	
0xfffffff008a79698: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7969c: fd030091  mov	x29, sp
0xfffffff008a796a0: 08d040b9  ldr	w8, [x0, #0xd0]
0xfffffff008a796a4: 1f01016b  cmp	w8, w1
0xfffffff008a796a8: a9000054  b.ls	#0xfffffff008a796bc
0xfffffff008a796ac: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff008a796b0: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff008a796b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a796b8: ff0f5fd6  retab	
0xfffffff008a796bc: 223f0094  bl	#0xfffffff008a89344
0xfffffff008a796c0: 7f2303d5  pacibsp	
0xfffffff008a796c4: ff0302d1  sub	sp, sp, #0x80
0xfffffff008a796c8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008a796cc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008a796d0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008a796d4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008a796d8: fdc30191  add	x29, sp, #0x70
0xfffffff008a796dc: f30302aa  mov	x19, x2
0xfffffff008a796e0: f70301aa  mov	x23, x1
0xfffffff008a796e4: f40300aa  mov	x20, x0
0xfffffff008a796e8: 20c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a796ec: 00203791  add	x0, x0, #0xdc8
0xfffffff008a796f0: 9aace197  bl	#0xfffffff0082e4958
0xfffffff008a796f4: f50300aa  mov	x21, x0
0xfffffff008a796f8: 900240f9  ldr	x16, [x20]
0xfffffff008a796fc: f10314aa  mov	x17, x20
0xfffffff008a79700: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a79704: 301ac1da  autda	x16, x17
0xfffffff008a79708: 116e80d2  mov	x17, #0x370
0xfffffff008a7970c: 1002118b  add	x16, x16, x17
0xfffffff008a79710: 080240f9  ldr	x8, [x16]
0xfffffff008a79714: e90310aa  mov	x9, x16
0xfffffff008a79718: e00314aa  mov	x0, x20
0xfffffff008a7971c: f10309aa  mov	x17, x9
0xfffffff008a79720: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a79724: 11093fd7  blraa	x8, x17
0xfffffff008a79728: 400300b4  cbz	x0, #0xfffffff008a79790
0xfffffff008a7972c: 900240f9  ldr	x16, [x20]
0xfffffff008a79730: f10314aa  mov	x17, x20
0xfffffff008a79734: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a79738: 301ac1da  autda	x16, x17
0xfffffff008a7973c: 116e80d2  mov	x17, #0x370
0xfffffff008a79740: 1002118b  add	x16, x16, x17
0xfffffff008a79744: 080240f9  ldr	x8, [x16]
0xfffffff008a79748: e90310aa  mov	x9, x16
0xfffffff008a7974c: e00314aa  mov	x0, x20
0xfffffff008a79750: f10309aa  mov	x17, x9
0xfffffff008a79754: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a79758: 11093fd7  blraa	x8, x17
0xfffffff008a7975c: 100040f9  ldr	x16, [x0]
0xfffffff008a79760: f10300aa  mov	x17, x0
0xfffffff008a79764: 31b4f9f2  movk	x17, #0xcda1, lsl #48
