; Candidate 14100
; ADRP+ADD at VM 0xfffffff009703878 (fileoff 0x26ff878): page=0x1fde8e000 add_imm=0xd10

0xfffffff0097037f8: 315cedf2  movk	x17, #0x6ae1, lsl #48
0xfffffff0097037fc: 300ac1da  pacda	x16, x17
0xfffffff009703800: f00f00f9  str	x16, [sp, #0x18]
0xfffffff009703804: 49f5fe90  adrp	x9, #0xfffffff0075ab000
0xfffffff009703808: 202545fd  ldr	d0, [x9, #0xa48]
0xfffffff00970380c: e01300fd  str	d0, [sp, #0x20]
0xfffffff009703810: 09410091  add	x9, x8, #0x10
0xfffffff009703814: 30000090  adrp	x16, #0xfffffff009707000
0xfffffff009703818: 10220291  add	x16, x16, #0x88
0xfffffff00970381c: 3001c1da  pacia	x16, x9
0xfffffff009703820: f01700f9  str	x16, [sp, #0x28]
0xfffffff009703824: 08610091  add	x8, x8, #0x18
0xfffffff009703828: 1029ff90  adrp	x16, #0xfffffff007c23000
0xfffffff00970382c: 10a21591  add	x16, x16, #0x568
0xfffffff009703830: f10308aa  mov	x17, x8
0xfffffff009703834: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009703838: 300ac1da  pacda	x16, x17
0xfffffff00970383c: f04f03a9  stp	x16, x19, [sp, #0x30]
0xfffffff009703840: e1630091  add	x1, sp, #0x18
0xfffffff009703844: 06d2b297  bl	#0xfffffff0083b805c
0xfffffff009703848: f40300aa  mov	x20, x0
0xfffffff00970384c: 40010034  cbz	w0, #0xfffffff009703874
0xfffffff009703850: f55300a9  stp	x21, x20, [sp]
0xfffffff009703854: 40f4fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009703858: 00802191  add	x0, x0, #0x860
0xfffffff00970385c: 8128fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009703860: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff009703864: e3f4fef0  adrp	x3, #0xfffffff0075a2000
0xfffffff009703868: 63203691  add	x3, x3, #0xd88
0xfffffff00970386c: 02008052  mov	w2, #0
0xfffffff009703870: 30beb097  bl	#0xfffffff008333130
0xfffffff009703874: f55300a9  stp	x21, x20, [sp]
0xfffffff009703878: 60f4fed0  adrp	x0, #0xfffffff007591000
0xfffffff00970387c: 00403491  add	x0, x0, #0xd10
0xfffffff009703880: e84db197  bl	#0xfffffff008357020
0xfffffff009703884: 700240f9  ldr	x16, [x19]
0xfffffff009703888: f10313aa  mov	x17, x19
0xfffffff00970388c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009703890: 301ac1da  autda	x16, x17
0xfffffff009703894: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009703898: e90310aa  mov	x9, x16
0xfffffff00970389c: e00313aa  mov	x0, x19
0xfffffff0097038a0: f10309aa  mov	x17, x9
0xfffffff0097038a4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0097038a8: 11093fd7  blraa	x8, x17
0xfffffff0097038ac: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0097038b0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0097038b4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0097038b8: ffc30191  add	sp, sp, #0x70
0xfffffff0097038bc: ff0f5fd6  retab	
0xfffffff0097038c0: f55300a9  stp	x21, x20, [sp]
0xfffffff0097038c4: 60f4fed0  adrp	x0, #0xfffffff007591000
0xfffffff0097038c8: 00403491  add	x0, x0, #0xd10
0xfffffff0097038cc: d54db197  bl	#0xfffffff008357020
0xfffffff0097038d0: f7ffff17  b	#0xfffffff0097038ac
0xfffffff0097038d4: 7f2303d5  pacibsp	
0xfffffff0097038d8: ff0304d1  sub	sp, sp, #0x100
0xfffffff0097038dc: e923096d  stp	d9, d8, [sp, #0x90]
0xfffffff0097038e0: fc6f0aa9  stp	x28, x27, [sp, #0xa0]
0xfffffff0097038e4: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff0097038e8: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff0097038ec: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff0097038f0: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff0097038f4: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
