; Candidate 6825
; ADRP+ADD at VM 0xfffffff008844938 (fileoff 0x1840938): page=0x1fe9a5000 add_imm=0xe80

0xfffffff0088448b8: e10315aa  mov	x1, x21
0xfffffff0088448bc: c5db0094  bl	#0xfffffff00887b7d0
0xfffffff0088448c0: c0060034  cbz	w0, #0xfffffff008844998
0xfffffff0088448c4: e00313aa  mov	x0, x19
0xfffffff0088448c8: d4db0094  bl	#0xfffffff00887b818
0xfffffff0088448cc: 54010034  cbz	w20, #0xfffffff0088448f4
0xfffffff0088448d0: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff0088448d4: 1f011b72  tst	w8, #0x20
0xfffffff0088448d8: e8179f1a  cset	w8, eq
0xfffffff0088448dc: 0800080a  and	w8, w0, w8
0xfffffff0088448e0: 1f050071  cmp	w8, #1
0xfffffff0088448e4: a1020054  b.ne	#0xfffffff008844938
0xfffffff0088448e8: 804efff0  adrp	x0, #0xfffffff007217000
0xfffffff0088448ec: 00540e91  add	x0, x0, #0x395
0xfffffff0088448f0: 10000014  b	#0xfffffff008844930
0xfffffff0088448f4: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff0088448f8: 1f011b72  tst	w8, #0x20
0xfffffff0088448fc: e8179f1a  cset	w8, eq
0xfffffff008844900: 1a00080a  and	w26, w0, w8
0xfffffff008844904: 2abe0194  bl	#0xfffffff0088b41ac
0xfffffff008844908: f90300aa  mov	x25, x0
0xfffffff00884490c: e00315aa  mov	x0, x21
0xfffffff008844910: d0db0094  bl	#0xfffffff00887b850
0xfffffff008844914: 5f070071  cmp	w26, #1
0xfffffff008844918: 21020054  b.ne	#0xfffffff00884495c
0xfffffff00884491c: e80313aa  mov	x8, x19
0xfffffff008844920: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008844924: f90300f9  str	x25, [sp]
0xfffffff008844928: 804efff0  adrp	x0, #0xfffffff007217000
0xfffffff00884492c: 005c0e91  add	x0, x0, #0x397
0xfffffff008844930: cccad597  bl	#0xfffffff007db7460
0xfffffff008844934: 19000014  b	#0xfffffff008844998
0xfffffff008844938: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884493c: 00003a91  add	x0, x0, #0xe80
0xfffffff008844940: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844944: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844948: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff00884494c: 63501391  add	x3, x3, #0x4d4
0xfffffff008844950: 02008052  mov	w2, #0
0xfffffff008844954: f7b9eb97  bl	#0xfffffff008333130
0xfffffff008844958: 10000014  b	#0xfffffff008844998
0xfffffff00884495c: 14be0194  bl	#0xfffffff0088b41ac
0xfffffff008844960: f90300aa  mov	x25, x0
0xfffffff008844964: e00315aa  mov	x0, x21
0xfffffff008844968: badb0094  bl	#0xfffffff00887b850
0xfffffff00884496c: e80313aa  mov	x8, x19
0xfffffff008844970: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008844974: f90300f9  str	x25, [sp]
0xfffffff008844978: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884497c: 00003a91  add	x0, x0, #0xe80
0xfffffff008844980: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844984: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844988: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff00884498c: 63541391  add	x3, x3, #0x4d5
0xfffffff008844990: 02008052  mov	w2, #0
0xfffffff008844994: e7b9eb97  bl	#0xfffffff008333130
0xfffffff008844998: c02a40f9  ldr	x0, [x22, #0x50]
0xfffffff00884499c: e00700b4  cbz	x0, #0xfffffff008844a98
0xfffffff0088449a0: e10313aa  mov	x1, x19
0xfffffff0088449a4: e20314aa  mov	x2, x20
0xfffffff0088449a8: 030080d2  mov	x3, #0
0xfffffff0088449ac: 04008052  mov	w4, #0
0xfffffff0088449b0: 054f0194  bl	#0xfffffff0088985c4
0xfffffff0088449b4: e00313aa  mov	x0, x19
