; Candidate 12566
; ADRP+ADD at VM 0xfffffff0090bdf2c (fileoff 0x20b9f2c): page=0x1fe39c000 add_imm=0xe24

0xfffffff0090bdeac: 030080d2  mov	x3, #0
0xfffffff0090bdeb0: 040080d2  mov	x4, #0
0xfffffff0090bdeb4: 050080d2  mov	x5, #0
0xfffffff0090bdeb8: 060080d2  mov	x6, #0
0xfffffff0090bdebc: 519081d2  mov	x17, #0xc82
0xfffffff0090bdec0: 710a3fd7  blraa	x19, x17
0xfffffff0090bdec4: f30300aa  mov	x19, x0
0xfffffff0090bdec8: 80050035  cbnz	w0, #0xfffffff0090bdf78
0xfffffff0090bdecc: 48018052  mov	w8, #0xa
0xfffffff0090bded0: 10000014  b	#0xfffffff0090bdf10
0xfffffff0090bded4: 68918052  mov	w8, #0x48b
0xfffffff0090bded8: 491dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090bdedc: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bdee0: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bdee4: e81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090bdee8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bdeec: 4a1dfff0  adrp	x10, #0xfffffff007468000
0xfffffff0090bdef0: 4a852f91  add	x10, x10, #0xbe1
0xfffffff0090bdef4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090bdef8: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090bdefc: e01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090bdf00: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090bdf04: 4764ca97  bl	#0xfffffff008357020
0xfffffff0090bdf08: c8088052  mov	w8, #0x46
0xfffffff0090bdf0c: 53008012  mov	w19, #-3
0xfffffff0090bdf10: 09034039  ldrb	w9, [x24]
0xfffffff0090bdf14: 1f01096b  cmp	w8, w9
0xfffffff0090bdf18: 03010054  b.lo	#0xfffffff0090bdf38
0xfffffff0090bdf1c: e80313aa  mov	x8, x19
0xfffffff0090bdf20: 087d4093  sxtw	x8, w8
0xfffffff0090bdf24: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090bdf28: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bdf2c: e01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090bdf30: 00903891  add	x0, x0, #0xe24
0xfffffff0090bdf34: 3b64ca97  bl	#0xfffffff008357020
0xfffffff0090bdf38: e00313aa  mov	x0, x19
0xfffffff0090bdf3c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090bdf40: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090bdf44: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090bdf48: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090bdf4c: ffc30191  add	sp, sp, #0x70
0xfffffff0090bdf50: ff0f5fd6  retab	
0xfffffff0090bdf54: 48918052  mov	w8, #0x48a
0xfffffff0090bdf58: 491dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090bdf5c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bdf60: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bdf64: e81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090bdf68: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bdf6c: 4a1dfff0  adrp	x10, #0xfffffff007468000
0xfffffff0090bdf70: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bdf74: e0ffff17  b	#0xfffffff0090bdef4
0xfffffff0090bdf78: 687e4093  sxtw	x8, w19
0xfffffff0090bdf7c: a9918052  mov	w9, #0x48d
0xfffffff0090bdf80: 4a1dffd0  adrp	x10, #0xfffffff007467000
0xfffffff0090bdf84: 4a693f91  add	x10, x10, #0xfda
0xfffffff0090bdf88: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090bdf8c: e91cff90  adrp	x9, #0xfffffff007459000
0xfffffff0090bdf90: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0090bdf94: eb1cffb0  adrp	x11, #0xfffffff00745a000
0xfffffff0090bdf98: 6b290291  add	x11, x11, #0x8a
0xfffffff0090bdf9c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090bdfa0: eb0300f9  str	x11, [sp]
0xfffffff0090bdfa4: e01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090bdfa8: 00d42c91  add	x0, x0, #0xb35
