; Candidate 893
; ADRP+ADD at VM 0xfffffff0080e95d4 (fileoff 0x10e55d4): page=0x1fef8e000 add_imm=0xdb3

0xfffffff0080e9554: 880000b5  cbnz	x8, #0xfffffff0080e9564
0xfffffff0080e9558: 28c4ffb0  adrp	x8, #0xfffffff00796e000
0xfffffff0080e955c: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff0080e9560: 1301138b  add	x19, x8, x19
0xfffffff0080e9564: e00315aa  mov	x0, x21
0xfffffff0080e9568: e10316aa  mov	x1, x22
0xfffffff0080e956c: d4000094  bl	#0xfffffff0080e98bc
0xfffffff0080e9570: e86f40b9  ldr	w8, [sp, #0x6c]
0xfffffff0080e9574: e8e302a9  stp	x8, x24, [sp, #0x28]
0xfffffff0080e9578: f5db01a9  stp	x21, x22, [sp, #0x18]
0xfffffff0080e957c: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff0080e9580: 687cffd0  adrp	x8, #0xfffffff007077000
0xfffffff0080e9584: 08293991  add	x8, x8, #0xe4a
0xfffffff0080e9588: e80300f9  str	x8, [sp]
0xfffffff0080e958c: 0079fff0  adrp	x0, #0xfffffff00700c000
0xfffffff0080e9590: 00000091  add	x0, x0, #0
0xfffffff0080e9594: a37effb0  adrp	x3, #0xfffffff0070be000
0xfffffff0080e9598: 63d01391  add	x3, x3, #0x4f4
0xfffffff0080e959c: e10317aa  mov	x1, x23
0xfffffff0080e95a0: 02028052  mov	w2, #0x10
0xfffffff0080e95a4: e3260994  bl	#0xfffffff008333130
0xfffffff0080e95a8: 9f2403d5  bti	j
0xfffffff0080e95ac: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff0080e95b0: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0080e95b4: 080140b9  ldr	w8, [x8]
0xfffffff0080e95b8: 1f9d0071  cmp	w8, #0x27
0xfffffff0080e95bc: c1000054  b.ne	#0xfffffff0080e95d4
0xfffffff0080e95c0: 880a40f9  ldr	x8, [x20, #0x10]
0xfffffff0080e95c4: 093940b9  ldr	w9, [x8, #0x38]
0xfffffff0080e95c8: 29791612  and	w9, w9, #0xfffffdff
0xfffffff0080e95cc: 093900b9  str	w9, [x8, #0x38]
0xfffffff0080e95d0: affcff17  b	#0xfffffff0080e888c
0xfffffff0080e95d4: 607cffd0  adrp	x0, #0xfffffff007077000
0xfffffff0080e95d8: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080e95dc: 617cffd0  adrp	x1, #0xfffffff007077000
0xfffffff0080e95e0: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080e95e4: e2088052  mov	w2, #0x47
0xfffffff0080e95e8: 8bd80e94  bl	#0xfffffff00849f814
0xfffffff0080e95ec: 390340f9  ldr	x25, [x25]
0xfffffff0080e95f0: b90100b4  cbz	x25, #0xfffffff0080e9624
0xfffffff0080e95f4: 281740b9  ldr	w8, [x25, #0x14]
0xfffffff0080e95f8: 08011532  orr	w8, w8, #0x800
0xfffffff0080e95fc: 281700b9  str	w8, [x25, #0x14]
0xfffffff0080e9600: 281b40f9  ldr	x8, [x25, #0x30]
0xfffffff0080e9604: 680600b4  cbz	x8, #0xfffffff0080e96d0
0xfffffff0080e9608: e00313aa  mov	x0, x19
0xfffffff0080e960c: e10319aa  mov	x1, x25
0xfffffff0080e9610: e20317aa  mov	x2, x23
0xfffffff0080e9614: 8dd9ff97  bl	#0xfffffff0080dfc48
0xfffffff0080e9618: a0feff34  cbz	w0, #0xfffffff0080e95ec
0xfffffff0080e961c: f80300aa  mov	x24, x0
0xfffffff0080e9620: 02000014  b	#0xfffffff0080e9628
0xfffffff0080e9624: 18008052  mov	w24, #0
0xfffffff0080e9628: 790340f9  ldr	x25, [x27]
0xfffffff0080e962c: 790200b5  cbnz	x25, #0xfffffff0080e9678
0xfffffff0080e9630: 58f4ff34  cbz	w24, #0xfffffff0080e94b8
0xfffffff0080e9634: e8424039  ldrb	w8, [x23, #0x10]
0xfffffff0080e9638: 28010036  tbz	w8, #0, #0xfffffff0080e965c
0xfffffff0080e963c: e8030191  add	x8, sp, #0x40
0xfffffff0080e9640: ff0208eb  cmp	x23, x8
0xfffffff0080e9644: a0060054  b.eq	#0xfffffff0080e9718
0xfffffff0080e9648: e00313aa  mov	x0, x19
0xfffffff0080e964c: e10317aa  mov	x1, x23
0xfffffff0080e9650: 19daff97  bl	#0xfffffff0080dfeb4
