; Candidate 11
; ADRP+ADD at VM 0xfffffff007d76750 (fileoff 0xd72750): page=0x1ff2cd000 add_imm=0xcf9

0xfffffff007d766d0: 70e30014  b	#0xfffffff007daf490
0xfffffff007d766d4: 02dbffd0  adrp	x2, #0xfffffff0078d8000
0xfffffff007d766d8: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d766dc: 3ae20094  bl	#0xfffffff007daefc4
0xfffffff007d766e0: 680240b9  ldr	w8, [x19]
0xfffffff007d766e4: e8f0ff37  tbnz	w8, #0x1f, #0xfffffff007d76500
0xfffffff007d766e8: e00313aa  mov	x0, x19
0xfffffff007d766ec: 8e761c94  bl	#0xfffffff008494124
0xfffffff007d766f0: 02dbffd0  adrp	x2, #0xfffffff0078d8000
0xfffffff007d766f4: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d766f8: 33e20094  bl	#0xfffffff007daefc4
0xfffffff007d766fc: a1ffff17  b	#0xfffffff007d76580
0xfffffff007d76700: 02dbffd0  adrp	x2, #0xfffffff0078d8000
0xfffffff007d76704: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d76708: 2fe20094  bl	#0xfffffff007daefc4
0xfffffff007d7670c: 680240b9  ldr	w8, [x19]
0xfffffff007d76710: 68f7ff36  tbz	w8, #0x1f, #0xfffffff007d765fc
0xfffffff007d76714: b7ffff17  b	#0xfffffff007d765f0
0xfffffff007d76718: 02dbffd0  adrp	x2, #0xfffffff0078d8000
0xfffffff007d7671c: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d76720: 29e20094  bl	#0xfffffff007daefc4
0xfffffff007d76724: e0ffff17  b	#0xfffffff007d766a4
0xfffffff007d76728: 80028052  mov	w0, #0x14
0xfffffff007d7672c: e10313aa  mov	x1, x19
0xfffffff007d76730: 018f1c94  bl	#0xfffffff00849a334
0xfffffff007d76734: e00313aa  mov	x0, x19
0xfffffff007d76738: 22008052  mov	w2, #1
0xfffffff007d7673c: 86761c94  bl	#0xfffffff008494154
0xfffffff007d76740: 6896ffb0  adrp	x8, #0xfffffff007043000
0xfffffff007d76744: 08b93491  add	x8, x8, #0xd2e
0xfffffff007d76748: 89618052  mov	w9, #0x30c
0xfffffff007d7674c: e82700a9  stp	x8, x9, [sp]
0xfffffff007d76750: 6096ffb0  adrp	x0, #0xfffffff007043000
0xfffffff007d76754: 00e43391  add	x0, x0, #0xcf9
0xfffffff007d76758: 6d771c94  bl	#0xfffffff00849450c
0xfffffff007d7675c: 20000000  udf	#0x20
0xfffffff007d76760: 0c000000  udf	#0xc
0xfffffff007d76764: 0c000000  udf	#0xc
0xfffffff007d76768: 7c000000  udf	#0x7c
0xfffffff007d7676c: d8000000  udf	#0xd8
0xfffffff007d76770: 34010000  udf	#0x134
0xfffffff007d76774: 7f2303d5  pacibsp	
0xfffffff007d76778: ffc300d1  sub	sp, sp, #0x30
0xfffffff007d7677c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007d76780: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007d76784: fd830091  add	x29, sp, #0x20
0xfffffff007d76788: f30300aa  mov	x19, x0
0xfffffff007d7678c: 3f400071  cmp	w1, #0x10
0xfffffff007d76790: c0040054  b.eq	#0xfffffff007d76828
0xfffffff007d76794: 3f480071  cmp	w1, #0x12
0xfffffff007d76798: 80010054  b.eq	#0xfffffff007d767c8
0xfffffff007d7679c: 3f440071  cmp	w1, #0x11
0xfffffff007d767a0: 010a0054  b.ne	#0xfffffff007d768e0
0xfffffff007d767a4: e00313aa  mov	x0, x19
0xfffffff007d767a8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007d767ac: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007d767b0: ffc30091  add	sp, sp, #0x30
0xfffffff007d767b4: ff2303d5  autibsp	
0xfffffff007d767b8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007d767bc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007d767c4
0xfffffff007d767c0: 208e38d4  brk	#0xc471
0xfffffff007d767c4: 0a110014  b	#0xfffffff007d7abec
0xfffffff007d767c8: 680240b9  ldr	w8, [x19]
0xfffffff007d767cc: 0a391012  and	w10, w8, #0x7fff0000
