; Candidate 13603
; ADRP+ADD at VM 0xfffffff0093aea34 (fileoff 0x23aaa34): page=0x1fe154000 add_imm=0xd20

0xfffffff0093ae9b4: d6622b91  add	x22, x22, #0xad8
0xfffffff0093ae9b8: e00316aa  mov	x0, x22
0xfffffff0093ae9bc: e7d7bc97  bl	#0xfffffff0082e4958
0xfffffff0093ae9c0: b00240f9  ldr	x16, [x21]
0xfffffff0093ae9c4: f10315aa  mov	x17, x21
0xfffffff0093ae9c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ae9cc: 301ac1da  autda	x16, x17
0xfffffff0093ae9d0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ae9d4: e90310aa  mov	x9, x16
0xfffffff0093ae9d8: e00315aa  mov	x0, x21
0xfffffff0093ae9dc: f10309aa  mov	x17, x9
0xfffffff0093ae9e0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ae9e4: 11093fd7  blraa	x8, x17
0xfffffff0093ae9e8: dcd7bc97  bl	#0xfffffff0082e4958
0xfffffff0093ae9ec: e00316aa  mov	x0, x22
0xfffffff0093ae9f0: dad7bc97  bl	#0xfffffff0082e4958
0xfffffff0093ae9f4: f60300aa  mov	x22, x0
0xfffffff0093ae9f8: b00240f9  ldr	x16, [x21]
0xfffffff0093ae9fc: f10315aa  mov	x17, x21
0xfffffff0093aea00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093aea04: 301ac1da  autda	x16, x17
0xfffffff0093aea08: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093aea0c: e90310aa  mov	x9, x16
0xfffffff0093aea10: e00315aa  mov	x0, x21
0xfffffff0093aea14: f10309aa  mov	x17, x9
0xfffffff0093aea18: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093aea1c: 11093fd7  blraa	x8, x17
0xfffffff0093aea20: ced7bc97  bl	#0xfffffff0082e4958
0xfffffff0093aea24: a80affb0  adrp	x8, #0xfffffff007503000
0xfffffff0093aea28: 08c52491  add	x8, x8, #0x931
0xfffffff0093aea2c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0093aea30: f60300f9  str	x22, [sp]
0xfffffff0093aea34: a00aff90  adrp	x0, #0xfffffff007502000
0xfffffff0093aea38: 00803491  add	x0, x0, #0xd20
0xfffffff0093aea3c: e140ff90  adrp	x1, #0xfffffff007bca000
0xfffffff0093aea40: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093aea44: a30affd0  adrp	x3, #0xfffffff007504000
0xfffffff0093aea48: 63e01f91  add	x3, x3, #0x7f8
0xfffffff0093aea4c: 22008052  mov	w2, #1
0xfffffff0093aea50: b811be97  bl	#0xfffffff008333130
0xfffffff0093aea54: e840ff90  adrp	x8, #0xfffffff007bca000
0xfffffff0093aea58: 087943f9  ldr	x8, [x8, #0x6f0]
0xfffffff0093aea5c: 010140f9  ldr	x1, [x8]
0xfffffff0093aea60: b00240f9  ldr	x16, [x21]
0xfffffff0093aea64: f10315aa  mov	x17, x21
0xfffffff0093aea68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093aea6c: 301ac1da  autda	x16, x17
0xfffffff0093aea70: f10310aa  mov	x17, x16
0xfffffff0093aea74: f147c1da  xpacd	x17
0xfffffff0093aea78: 1f0211eb  cmp	x16, x17
0xfffffff0093aea7c: 40000054  b.eq	#0xfffffff0093aea84
0xfffffff0093aea80: 408e38d4  brk	#0xc472
0xfffffff0093aea84: 08e20491  add	x8, x16, #0x138
0xfffffff0093aea88: 099e40f9  ldr	x9, [x16, #0x138]
0xfffffff0093aea8c: e00315aa  mov	x0, x21
0xfffffff0093aea90: f10308aa  mov	x17, x8
0xfffffff0093aea94: d176f6f2  movk	x17, #0xb3b6, lsl #48
0xfffffff0093aea98: 31093fd7  blraa	x9, x17
0xfffffff0093aea9c: f50300aa  mov	x21, x0
0xfffffff0093aeaa0: e840ff90  adrp	x8, #0xfffffff007bca000
0xfffffff0093aeaa4: 085d43f9  ldr	x8, [x8, #0x6b8]
0xfffffff0093aeaa8: 010140f9  ldr	x1, [x8]
0xfffffff0093aeaac: 92d4bc97  bl	#0xfffffff0082e3cf4
0xfffffff0093aeab0: 600400b4  cbz	x0, #0xfffffff0093aeb3c
