; Candidate 554
; ADRP+ADD at VM 0xfffffff007f806a4 (fileoff 0xf7c6a4): page=0x1ff0e3000 add_imm=0xcee

0xfffffff007f80624: d4028052  mov	w20, #0x16
0xfffffff007f80628: e00314aa  mov	x0, x20
0xfffffff007f8062c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff007f80630: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff007f80634: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff007f80638: ff830291  add	sp, sp, #0xa0
0xfffffff007f8063c: ff0f5fd6  retab	
0xfffffff007f80640: 08008052  mov	w8, #0
0xfffffff007f80644: 0a008052  mov	w10, #0
0xfffffff007f80648: 020080d2  mov	x2, #0
0xfffffff007f8064c: 44fcff35  cbnz	w4, #0xfffffff007f805d4
0xfffffff007f80650: 230200b4  cbz	x3, #0xfffffff007f80694
0xfffffff007f80654: 600440ad  ldp	q0, q1, [x3]
0xfffffff007f80658: a0073ead  stp	q0, q1, [x29, #-0x40]
0xfffffff007f8065c: a82b3829  stp	w8, w10, [x29, #-0x40]
0xfffffff007f80660: 88d038d5  mrs	x8, tpidr_el1
0xfffffff007f80664: e00313aa  mov	x0, x19
0xfffffff007f80668: e40305aa  mov	x4, x5
0xfffffff007f8066c: e50308aa  mov	x5, x8
0xfffffff007f80670: 51ef83d2  mov	x17, #0x1f7a
0xfffffff007f80674: 31093fd7  blraa	x9, x17
0xfffffff007f80678: f40300aa  mov	x20, x0
0xfffffff007f8067c: a88a45f9  ldr	x8, [x21, #0xb10]
0xfffffff007f80680: 1f0113eb  cmp	x8, x19
0xfffffff007f80684: 20fdff54  b.eq	#0xfffffff007f80628
0xfffffff007f80688: e00313aa  mov	x0, x19
0xfffffff007f8068c: a7f6ff97  bl	#0xfffffff007f7e128
0xfffffff007f80690: e6ffff17  b	#0xfffffff007f80628
0xfffffff007f80694: bfff3ca9  stp	xzr, xzr, [x29, #-0x38]
0xfffffff007f80698: a30301d1  sub	x3, x29, #0x40
0xfffffff007f8069c: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff007f806a0: efffff17  b	#0xfffffff007f8065c
0xfffffff007f806a4: 0087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f806a8: 00b83391  add	x0, x0, #0xcee
0xfffffff007f806ac: 0187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f806b0: 21300991  add	x1, x1, #0x24c
0xfffffff007f806b4: 62f18152  mov	w2, #0xf8b
0xfffffff007f806b8: 577c1494  bl	#0xfffffff00849f814
0xfffffff007f806bc: f42f00b9  str	w20, [sp, #0x2c]
0xfffffff007f806c0: f40300aa  mov	x20, x0
0xfffffff007f806c4: e20704a9  stp	x2, x1, [sp, #0x40]
0xfffffff007f806c8: e10308aa  mov	x1, x8
0xfffffff007f806cc: 22008052  mov	w2, #1
0xfffffff007f806d0: e5130729  stp	w5, w4, [sp, #0x38]
0xfffffff007f806d4: e31b00f9  str	x3, [sp, #0x30]
0xfffffff007f806d8: e81300f9  str	x8, [sp, #0x20]
0xfffffff007f806dc: 07adf897  bl	#0xfffffff007dabaf8
0xfffffff007f806e0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff007f806e4: e00314aa  mov	x0, x20
0xfffffff007f806e8: f42f40b9  ldr	w20, [sp, #0x2c]
0xfffffff007f806ec: e5134729  ldp	w5, w4, [sp, #0x38]
0xfffffff007f806f0: e20744a9  ldp	x2, x1, [sp, #0x40]
0xfffffff007f806f4: e31b40f9  ldr	x3, [sp, #0x30]
0xfffffff007f806f8: 8effff17  b	#0xfffffff007f80530
0xfffffff007f806fc: 0087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f80700: 00b83291  add	x0, x0, #0xcae
0xfffffff007f80704: 0187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f80708: 21300991  add	x1, x1, #0x24c
0xfffffff007f8070c: 42f18152  mov	w2, #0xf8a
0xfffffff007f80710: 417c1494  bl	#0xfffffff00849f814
0xfffffff007f80714: e20704a9  stp	x2, x1, [sp, #0x40]
0xfffffff007f80718: e10308aa  mov	x1, x8
0xfffffff007f8071c: e20309aa  mov	x2, x9
0xfffffff007f80720: e5130729  stp	w5, w4, [sp, #0x38]
