; Candidate 7197
; ADRP+ADD at VM 0xfffffff00885eb08 (fileoff 0x185ab08): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885ea88: e06300f9  str	x0, [sp, #0xc0]
0xfffffff00885ea8c: c0008052  mov	w0, #6
0xfffffff00885ea90: 70730094  bl	#0xfffffff00887b850
0xfffffff00885ea94: 59190034  cbz	w25, #0xfffffff00885edbc
0xfffffff00885ea98: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885ea9c: 89024079  ldrh	w9, [x20]
0xfffffff00885eaa0: 8a1240b9  ldr	w10, [x20, #0x10]
0xfffffff00885eaa4: ab0357f8  ldur	x11, [x29, #-0x90]
0xfffffff00885eaa8: 0b2800b4  cbz	x11, #0xfffffff00885efa8
0xfffffff00885eaac: 6bc540b9  ldr	w11, [x11, #0xc4]
0xfffffff00885eab0: 3f010014  b	#0xfffffff00885efac
0xfffffff00885eab4: be550194  bl	#0xfffffff0088b41ac
0xfffffff00885eab8: f80300aa  mov	x24, x0
0xfffffff00885eabc: 80008052  mov	w0, #4
0xfffffff00885eac0: 64730094  bl	#0xfffffff00887b850
0xfffffff00885eac4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885eac8: f7f304a9  stp	x23, x28, [sp, #0x48]
0xfffffff00885eacc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885ead0: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ead4: 0a153091  add	x10, x8, #0xc05
0xfffffff00885ead8: 28468052  mov	w8, #0x231
0xfffffff00885eadc: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885eae0: 29792491  add	x9, x9, #0x91e
0xfffffff00885eae4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885eae8: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885eaec: 08811191  add	x8, x8, #0x460
0xfffffff00885eaf0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885eaf4: 880c8052  mov	w8, #0x64
0xfffffff00885eaf8: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885eafc: 63982091  add	x3, x3, #0x826
0xfffffff00885eb00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885eb04: f80300f9  str	x24, [sp]
0xfffffff00885eb08: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885eb0c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885eb10: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885eb14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885eb18: 02008052  mov	w2, #0
0xfffffff00885eb1c: 8551eb97  bl	#0xfffffff008333130
0xfffffff00885eb20: d97e8012  mov	w25, #-0x3f7
0xfffffff00885eb24: 800c8052  mov	w0, #0x64
0xfffffff00885eb28: 01018052  mov	w1, #8
0xfffffff00885eb2c: 29730094  bl	#0xfffffff00887b7d0
0xfffffff00885eb30: 60060034  cbz	w0, #0xfffffff00885ebfc
0xfffffff00885eb34: 800c8052  mov	w0, #0x64
0xfffffff00885eb38: 38730094  bl	#0xfffffff00887b818
0xfffffff00885eb3c: f80300aa  mov	x24, x0
0xfffffff00885eb40: 9b550194  bl	#0xfffffff0088b41ac
0xfffffff00885eb44: f70300aa  mov	x23, x0
0xfffffff00885eb48: 00018052  mov	w0, #8
0xfffffff00885eb4c: 41730094  bl	#0xfffffff00887b850
0xfffffff00885eb50: 58020034  cbz	w24, #0xfffffff00885eb98
0xfffffff00885eb54: e80319aa  mov	x8, x25
0xfffffff00885eb58: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885eb5c: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff00885eb60: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885eb64: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00885eb68: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885eb6c: 0a792491  add	x10, x8, #0x91e
0xfffffff00885eb70: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885eb74: 08811191  add	x8, x8, #0x460
0xfffffff00885eb78: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00885eb7c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885eb80: 880c8052  mov	w8, #0x64
0xfffffff00885eb84: 404effb0  adrp	x0, #0xfffffff007227000
