; Candidate 10035
; ADRP+ADD at VM 0xfffffff008c8193c (fileoff 0x1c7d93c): page=0x1fe6cb000 add_imm=0xebb

0xfffffff008c818bc: 6181aaf2  movk	x1, #0x540b, lsl #16
0xfffffff008c818c0: 4100c0f2  movk	x1, #2, lsl #32
0xfffffff008c818c4: 3221dc97  bl	#0xfffffff008389d8c
0xfffffff008c818c8: f60300aa  mov	x22, x0
0xfffffff008c818cc: 400b00b4  cbz	x0, #0xfffffff008c81a34
0xfffffff008c818d0: d00240f9  ldr	x16, [x22]
0xfffffff008c818d4: f10316aa  mov	x17, x22
0xfffffff008c818d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c818dc: 301ac1da  autda	x16, x17
0xfffffff008c818e0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c818e4: e90310aa  mov	x9, x16
0xfffffff008c818e8: e00316aa  mov	x0, x22
0xfffffff008c818ec: f10309aa  mov	x17, x9
0xfffffff008c818f0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c818f4: 11093fd7  blraa	x8, x17
0xfffffff008c818f8: 750100b4  cbz	x21, #0xfffffff008c81924
0xfffffff008c818fc: b00240f9  ldr	x16, [x21]
0xfffffff008c81900: f10315aa  mov	x17, x21
0xfffffff008c81904: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c81908: 301ac1da  autda	x16, x17
0xfffffff008c8190c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c81910: e90310aa  mov	x9, x16
0xfffffff008c81914: e00315aa  mov	x0, x21
0xfffffff008c81918: f10309aa  mov	x17, x9
0xfffffff008c8191c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c81920: 11093fd7  blraa	x8, x17
0xfffffff008c81924: 98578052  mov	w24, #0x2bc
0xfffffff008c81928: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008c8192c: f60700b4  cbz	x22, #0xfffffff008c81a28
0xfffffff008c81930: 2871fff0  adrp	x8, #0xfffffff007aa8000
0xfffffff008c81934: 08f940f9  ldr	x8, [x8, #0x1f0]
0xfffffff008c81938: 010140f9  ldr	x1, [x8]
0xfffffff008c8193c: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c81940: 00ec3a91  add	x0, x0, #0xebb
0xfffffff008c81944: 020080d2  mov	x2, #0
0xfffffff008c81948: 030080d2  mov	x3, #0
0xfffffff008c8194c: 040080d2  mov	x4, #0
0xfffffff008c81950: cd75db97  bl	#0xfffffff00835f084
0xfffffff008c81954: e00700b4  cbz	x0, #0xfffffff008c81a50
0xfffffff008c81958: f50300aa  mov	x21, x0
0xfffffff008c8195c: 100040f9  ldr	x16, [x0]
0xfffffff008c81960: f10300aa  mov	x17, x0
0xfffffff008c81964: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c81968: 301ac1da  autda	x16, x17
0xfffffff008c8196c: 112380d2  mov	x17, #0x118
0xfffffff008c81970: 1002118b  add	x16, x16, x17
0xfffffff008c81974: 080240f9  ldr	x8, [x16]
0xfffffff008c81978: e90310aa  mov	x9, x16
0xfffffff008c8197c: 4136fff0  adrp	x1, #0xfffffff00734c000
0xfffffff008c81980: 21103b91  add	x1, x1, #0xec4
0xfffffff008c81984: f10309aa  mov	x17, x9
0xfffffff008c81988: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008c8198c: 11093fd7  blraa	x8, x17
0xfffffff008c81990: 2871fff0  adrp	x8, #0xfffffff007aa8000
0xfffffff008c81994: 08b940f9  ldr	x8, [x8, #0x170]
0xfffffff008c81998: 010140f9  ldr	x1, [x8]
0xfffffff008c8199c: d688d997  bl	#0xfffffff0082e3cf4
0xfffffff008c819a0: 000300b4  cbz	x0, #0xfffffff008c81a00
0xfffffff008c819a4: f60300aa  mov	x22, x0
0xfffffff008c819a8: 4036fff0  adrp	x0, #0xfffffff00734c000
0xfffffff008c819ac: 00443b91  add	x0, x0, #0xed1
0xfffffff008c819b0: 8c95da97  bl	#0xfffffff008326fe0
0xfffffff008c819b4: e10300aa  mov	x1, x0
0xfffffff008c819b8: d00240f9  ldr	x16, [x22]
