; Candidate 5778
; ADRP+ADD at VM 0xfffffff008803ba0 (fileoff 0x17ffba0): page=0x1fe9e6000 add_imm=0xe80

0xfffffff008803b20: 88032837  tbnz	w8, #5, #0xfffffff008803b90
0xfffffff008803b24: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008803b28: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff008803b2c: e8030191  add	x8, sp, #0x40
0xfffffff008803b30: e80300f9  str	x8, [sp]
0xfffffff008803b34: a050fff0  adrp	x0, #0xfffffff00721a000
0xfffffff008803b38: 00340091  add	x0, x0, #0xd
0xfffffff008803b3c: 49ced697  bl	#0xfffffff007db7460
0xfffffff008803b40: 20000014  b	#0xfffffff008803bc0
0xfffffff008803b44: 9ac10294  bl	#0xfffffff0088b41ac
0xfffffff008803b48: f70300aa  mov	x23, x0
0xfffffff008803b4c: e00314aa  mov	x0, x20
0xfffffff008803b50: 40df0194  bl	#0xfffffff00887b850
0xfffffff008803b54: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008803b58: fb2302a9  stp	x27, x8, [sp, #0x20]
0xfffffff008803b5c: e8030191  add	x8, sp, #0x40
0xfffffff008803b60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008803b64: e80313aa  mov	x8, x19
0xfffffff008803b68: f72300a9  stp	x23, x8, [sp]
0xfffffff008803b6c: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803b70: 00003a91  add	x0, x0, #0xe80
0xfffffff008803b74: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008803b78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008803b7c: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803b80: 63943a91  add	x3, x3, #0xea5
0xfffffff008803b84: 02008052  mov	w2, #0
0xfffffff008803b88: 6abdec97  bl	#0xfffffff008333130
0xfffffff008803b8c: 0d000014  b	#0xfffffff008803bc0
0xfffffff008803b90: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008803b94: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff008803b98: e8030191  add	x8, sp, #0x40
0xfffffff008803b9c: e80300f9  str	x8, [sp]
0xfffffff008803ba0: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803ba4: 00003a91  add	x0, x0, #0xe80
0xfffffff008803ba8: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008803bac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008803bb0: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803bb4: 634c3a91  add	x3, x3, #0xe93
0xfffffff008803bb8: 02008052  mov	w2, #0
0xfffffff008803bbc: 5dbdec97  bl	#0xfffffff008333130
0xfffffff008803bc0: e00313aa  mov	x0, x19
0xfffffff008803bc4: e10314aa  mov	x1, x20
0xfffffff008803bc8: 02df0194  bl	#0xfffffff00887b7d0
0xfffffff008803bcc: 40080034  cbz	w0, #0xfffffff008803cd4
0xfffffff008803bd0: e00313aa  mov	x0, x19
0xfffffff008803bd4: 11df0194  bl	#0xfffffff00887b818
0xfffffff008803bd8: 7502f837  tbnz	w21, #0x1f, #0xfffffff008803c24
0xfffffff008803bdc: b8021b12  and	w24, w21, #0x20
0xfffffff008803be0: 19000052  eor	w25, w0, #1
0xfffffff008803be4: 72c10294  bl	#0xfffffff0088b41ac
0xfffffff008803be8: f70300aa  mov	x23, x0
0xfffffff008803bec: e00314aa  mov	x0, x20
0xfffffff008803bf0: 18df0194  bl	#0xfffffff00887b850
0xfffffff008803bf4: 76730191  add	x22, x27, #0x5c
0xfffffff008803bf8: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff008803bfc: c8020037  tbnz	w8, #0, #0xfffffff008803c54
0xfffffff008803c00: 685b40b9  ldr	w8, [x27, #0x58]
0xfffffff008803c04: 69df40b9  ldr	w9, [x27, #0xdc]
0xfffffff008803c08: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff008803c0c: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff008803c10: e80313aa  mov	x8, x19
0xfffffff008803c14: f72300a9  stp	x23, x8, [sp]
0xfffffff008803c18: a050fff0  adrp	x0, #0xfffffff00721a000
0xfffffff008803c1c: 00900191  add	x0, x0, #0x64
