; Candidate 1188
; ADRP+ADD at VM 0xfffffff00827d268 (fileoff 0x1279268): page=0x1fee12000 add_imm=0xd86

0xfffffff00827d1e8: e20f40f9  ldr	x2, [sp, #0x18]
0xfffffff00827d1ec: e00313aa  mov	x0, x19
0xfffffff00827d1f0: 03008052  mov	w3, #0
0xfffffff00827d1f4: da44fc97  bl	#0xfffffff00818e55c
0xfffffff00827d1f8: a85a5939  ldrb	w8, [x21, #0x656]
0xfffffff00827d1fc: a8020037  tbnz	w8, #0, #0xfffffff00827d250
0xfffffff00827d200: e00317aa  mov	x0, x23
0xfffffff00827d204: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00827d208: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00827d20c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00827d210: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00827d214: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00827d218: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00827d21c: ff030291  add	sp, sp, #0x80
0xfffffff00827d220: ff0f5fd6  retab	
0xfffffff00827d224: f70300aa  mov	x23, x0
0xfffffff00827d228: f6ffff17  b	#0xfffffff00827d200
0xfffffff00827d22c: e00316aa  mov	x0, x22
0xfffffff00827d230: e10315aa  mov	x1, x21
0xfffffff00827d234: 02008052  mov	w2, #0
0xfffffff00827d238: 30baec97  bl	#0xfffffff007dabaf8
0xfffffff00827d23c: d7feff17  b	#0xfffffff00827cd98
0xfffffff00827d240: e00316aa  mov	x0, x22
0xfffffff00827d244: e10315aa  mov	x1, x21
0xfffffff00827d248: 47bdec97  bl	#0xfffffff007dac764
0xfffffff00827d24c: e6ffff17  b	#0xfffffff00827d1e4
0xfffffff00827d250: 8070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff00827d254: 00c83991  add	x0, x0, #0xe72
0xfffffff00827d258: 8170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff00827d25c: 21843891  add	x1, x1, #0xe21
0xfffffff00827d260: a2538052  mov	w2, #0x29d
0xfffffff00827d264: 6c890894  bl	#0xfffffff00849f814
0xfffffff00827d268: 8070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff00827d26c: 00183691  add	x0, x0, #0xd86
0xfffffff00827d270: 8170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff00827d274: 21743691  add	x1, x1, #0xd9d
0xfffffff00827d278: a2b18052  mov	w2, #0x58d
0xfffffff00827d27c: 66890894  bl	#0xfffffff00849f814
0xfffffff00827d280: c8d20091  add	x8, x22, #0x34
0xfffffff00827d284: 09008852  mov	w9, #0x4000
0xfffffff00827d288: 081129b8  ldclr	w9, w8, [x8]
0xfffffff00827d28c: d0feff17  b	#0xfffffff00827cdcc
0xfffffff00827d290: 8070ffd0  adrp	x0, #0xfffffff00708f000
0xfffffff00827d294: 00183691  add	x0, x0, #0xd86
0xfffffff00827d298: 8170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff00827d29c: 21743691  add	x1, x1, #0xd9d
0xfffffff00827d2a0: 02b58052  mov	w2, #0x5a8
0xfffffff00827d2a4: 5c890894  bl	#0xfffffff00849f814
0xfffffff00827d2a8: 206effd0  adrp	x0, #0xfffffff007043000
0xfffffff00827d2ac: 00401191  add	x0, x0, #0x450
0xfffffff00827d2b0: 8170ffd0  adrp	x1, #0xfffffff00708f000
0xfffffff00827d2b4: 21843891  add	x1, x1, #0xe21
0xfffffff00827d2b8: a2428052  mov	w2, #0x215
0xfffffff00827d2bc: 56890894  bl	#0xfffffff00849f814
0xfffffff00827d2c0: 7f2303d5  pacibsp	
0xfffffff00827d2c4: ff0302d1  sub	sp, sp, #0x80
0xfffffff00827d2c8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00827d2cc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00827d2d0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00827d2d4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00827d2d8: fdc30191  add	x29, sp, #0x70
0xfffffff00827d2dc: f40301aa  mov	x20, x1
0xfffffff00827d2e0: f30300aa  mov	x19, x0
0xfffffff00827d2e4: ff1f00f9  str	xzr, [sp, #0x38]
