; Candidate 594
; ADRP+ADD at VM 0xfffffff007fa20d4 (fileoff 0xf9e0d4): page=0x1ff0c3000 add_imm=0xd37

0xfffffff007fa2054: b8feff17  b	#0xfffffff007fa1b34
0xfffffff007fa2058: e00315aa  mov	x0, x21
0xfffffff007fa205c: e10313aa  mov	x1, x19
0xfffffff007fa2060: 02008052  mov	w2, #0
0xfffffff007fa2064: a526f897  bl	#0xfffffff007dabaf8
0xfffffff007fa2068: 24feff17  b	#0xfffffff007fa18f8
0xfffffff007fa206c: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2070: 00f03991  add	x0, x0, #0xe7c
0xfffffff007fa2074: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2078: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa207c: 62d28152  mov	w2, #0xe93
0xfffffff007fa2080: e5f51394  bl	#0xfffffff00849f814
0xfffffff007fa2084: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa2088: 00b42a91  add	x0, x0, #0xaad
0xfffffff007fa208c: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa2090: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa2094: e2358252  mov	w2, #0x11af
0xfffffff007fa2098: dff51394  bl	#0xfffffff00849f814
0xfffffff007fa209c: e00318aa  mov	x0, x24
0xfffffff007fa20a0: e10319aa  mov	x1, x25
0xfffffff007fa20a4: 22008052  mov	w2, #1
0xfffffff007fa20a8: 9426f897  bl	#0xfffffff007dabaf8
0xfffffff007fa20ac: 30fdff17  b	#0xfffffff007fa156c
0xfffffff007fa20b0: e00318aa  mov	x0, x24
0xfffffff007fa20b4: e10319aa  mov	x1, x25
0xfffffff007fa20b8: ab29f897  bl	#0xfffffff007dac764
0xfffffff007fa20bc: 7aa6ffb5  cbnz	x26, #0xfffffff007fa1588
0xfffffff007fa20c0: 37fdff17  b	#0xfffffff007fa159c
0xfffffff007fa20c4: e00315aa  mov	x0, x21
0xfffffff007fa20c8: e10313aa  mov	x1, x19
0xfffffff007fa20cc: a629f897  bl	#0xfffffff007dac764
0xfffffff007fa20d0: 5cfeff17  b	#0xfffffff007fa1a40
0xfffffff007fa20d4: 0086fff0  adrp	x0, #0xfffffff007065000
0xfffffff007fa20d8: 00dc3491  add	x0, x0, #0xd37
0xfffffff007fa20dc: 0186fff0  adrp	x1, #0xfffffff007065000
0xfffffff007fa20e0: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa20e4: a2f98052  mov	w2, #0x7cd
0xfffffff007fa20e8: cbf51394  bl	#0xfffffff00849f814
0xfffffff007fa20ec: e00317aa  mov	x0, x23
0xfffffff007fa20f0: e10319aa  mov	x1, x25
0xfffffff007fa20f4: 9c29f897  bl	#0xfffffff007dac764
0xfffffff007fa20f8: edfcff17  b	#0xfffffff007fa14ac
0xfffffff007fa20fc: e00317aa  mov	x0, x23
0xfffffff007fa2100: e10319aa  mov	x1, x25
0xfffffff007fa2104: 02008052  mov	w2, #0
0xfffffff007fa2108: 7c26f897  bl	#0xfffffff007dabaf8
0xfffffff007fa210c: 687b4cb9  ldr	w8, [x27, #0xc78]
0xfffffff007fa2110: 089f0737  tbnz	w8, #0, #0xfffffff007fa14f0
0xfffffff007fa2114: 07fdff17  b	#0xfffffff007fa1530
0xfffffff007fa2118: e00317aa  mov	x0, x23
0xfffffff007fa211c: e10319aa  mov	x1, x25
0xfffffff007fa2120: 9129f897  bl	#0xfffffff007dac764
0xfffffff007fa2124: 9ffcff17  b	#0xfffffff007fa13a0
0xfffffff007fa2128: e00317aa  mov	x0, x23
0xfffffff007fa212c: e10319aa  mov	x1, x25
0xfffffff007fa2130: 02008052  mov	w2, #0
0xfffffff007fa2134: 7126f897  bl	#0xfffffff007dabaf8
0xfffffff007fa2138: 687b4cb9  ldr	w8, [x27, #0xc78]
0xfffffff007fa213c: 88950737  tbnz	w8, #0, #0xfffffff007fa13ec
0xfffffff007fa2140: bbfcff17  b	#0xfffffff007fa142c
0xfffffff007fa2144: e0100190  adrp	x0, #0xfffffff00a1be000
0xfffffff007fa2148: 00000091  add	x0, x0, #0
0xfffffff007fa214c: 30f81394  bl	#0xfffffff0084a020c
0xfffffff007fa2150: e01001b0  adrp	x0, #0xfffffff00a1bf000
