; Candidate 601
; ADRP+ADD at VM 0xfffffff007fa45cc (fileoff 0xfa05cc): page=0x1ff0c1000 add_imm=0xe7c

0xfffffff007fa454c: 687600b9  str	w8, [x19, #0x74]
0xfffffff007fa4550: 7f9200f9  str	xzr, [x19, #0x120]
0xfffffff007fa4554: e81201f0  adrp	x8, #0xfffffff00a203000
0xfffffff007fa4558: 08794cb9  ldr	w8, [x8, #0xc78]
0xfffffff007fa455c: e8020036  tbz	w8, #0, #0xfffffff007fa45b8
0xfffffff007fa4560: 695243b9  ldr	w9, [x19, #0x350]
0xfffffff007fa4564: ca599f52  mov	w10, #0xface
0xfffffff007fa4568: aaddbf72  movk	w10, #0xfeed, lsl #16
0xfffffff007fa456c: 3f010a6b  cmp	w9, w10
0xfffffff007fa4570: e1040054  b.ne	#0xfffffff007fa460c
0xfffffff007fa4574: 695a0d91  add	x9, x19, #0x356
0xfffffff007fa4578: 2a008052  mov	w10, #1
0xfffffff007fa457c: 29012a78  ldaddh	w10, w9, [x9]
0xfffffff007fa4580: c8010836  tbz	w8, #1, #0xfffffff007fa45b8
0xfffffff007fa4584: 28054092  and	x8, x9, #3
0xfffffff007fa4588: 09098052  mov	w9, #0x48
0xfffffff007fa458c: 084d099b  madd	x8, x8, x9, x19
0xfffffff007fa4590: 00411491  add	x0, x8, #0x510
0xfffffff007fa4594: 89d038d5  mrs	x9, tpidr_el1
0xfffffff007fa4598: 098902f9  str	x9, [x8, #0x510]
0xfffffff007fa459c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fa45a0: 0080813c  stur	q0, [x0, #0x18]
0xfffffff007fa45a4: 0080823c  stur	q0, [x0, #0x28]
0xfffffff007fa45a8: 0080833c  stur	q0, [x0, #0x38]
0xfffffff007fa45ac: 008c803c  str	q0, [x0, #8]!
0xfffffff007fa45b0: 01018052  mov	w1, #8
0xfffffff007fa45b4: 4ffc0c94  bl	#0xfffffff0082e36f0
0xfffffff007fa45b8: 607240b9  ldr	w0, [x19, #0x70]
0xfffffff007fa45bc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007fa45c0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007fa45c4: ff030191  add	sp, sp, #0x40
0xfffffff007fa45c8: ff0f5fd6  retab	
0xfffffff007fa45cc: 0086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa45d0: 00f03991  add	x0, x0, #0xe7c
0xfffffff007fa45d4: 0186ffb0  adrp	x1, #0xfffffff007065000
0xfffffff007fa45d8: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa45dc: 62d28152  mov	w2, #0xe93
0xfffffff007fa45e0: 8dec1394  bl	#0xfffffff00849f814
0xfffffff007fa45e4: 08a68052  mov	w8, #0x530
0xfffffff007fa45e8: 0986ffb0  adrp	x9, #0xfffffff007065000
0xfffffff007fa45ec: 29392291  add	x9, x9, #0x88e
0xfffffff007fa45f0: 0a86ffb0  adrp	x10, #0xfffffff007065000
0xfffffff007fa45f4: 4ae52591  add	x10, x10, #0x979
0xfffffff007fa45f8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fa45fc: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007fa4600: 0086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa4604: 00802591  add	x0, x0, #0x960
0xfffffff007fa4608: c1bf1394  bl	#0xfffffff00849450c
0xfffffff007fa460c: 48a98052  mov	w8, #0x54a
0xfffffff007fa4610: 0986ffb0  adrp	x9, #0xfffffff007065000
0xfffffff007fa4614: 29392291  add	x9, x9, #0x88e
0xfffffff007fa4618: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007fa461c: f30300f9  str	x19, [sp]
0xfffffff007fa4620: 0086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa4624: 000c3291  add	x0, x0, #0xc83
0xfffffff007fa4628: b9bf1394  bl	#0xfffffff00849450c
0xfffffff007fa462c: 7f2303d5  pacibsp	
0xfffffff007fa4630: ffc300d1  sub	sp, sp, #0x30
0xfffffff007fa4634: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007fa4638: fd830091  add	x29, sp, #0x20
0xfffffff007fa463c: 08044039  ldrb	w8, [x0, #1]
0xfffffff007fa4640: 1f790071  cmp	w8, #0x1e
0xfffffff007fa4644: 01010054  b.ne	#0xfffffff007fa4664
0xfffffff007fa4648: 08004039  ldrb	w8, [x0]
