; Candidate 12479
; ADRP+ADD at VM 0xfffffff0090a6afc (fileoff 0x20a2afc): page=0x1fe3bd000 add_imm=0xd4b

0xfffffff0090a6a7c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0090a6a84
0xfffffff0090a6a80: 208e38d4  brk	#0xc471
0xfffffff0090a6a84: f10302aa  mov	x17, x2
0xfffffff0090a6a88: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0090a6a8c: 110a1fd7  braa	x16, x17
0xfffffff0090a6a90: 7f2303d5  pacibsp	
0xfffffff0090a6a94: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0090a6a98: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0090a6a9c: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0090a6aa0: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0090a6aa4: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0090a6aa8: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0090a6aac: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0090a6ab0: fd830291  add	x29, sp, #0xa0
0xfffffff0090a6ab4: f60305aa  mov	x22, x5
0xfffffff0090a6ab8: f70304aa  mov	x23, x4
0xfffffff0090a6abc: f80303aa  mov	x24, x3
0xfffffff0090a6ac0: f30302aa  mov	x19, x2
0xfffffff0090a6ac4: f40301aa  mov	x20, x1
0xfffffff0090a6ac8: f50300aa  mov	x21, x0
0xfffffff0090a6acc: 5b9300f0  adrp	x27, #0xfffffff00a311000
0xfffffff0090a6ad0: 7ba30391  add	x27, x27, #0xe8
0xfffffff0090a6ad4: 68034039  ldrb	w8, [x27]
0xfffffff0090a6ad8: f91dffb0  adrp	x25, #0xfffffff007463000
0xfffffff0090a6adc: 399f3691  add	x25, x25, #0xda7
0xfffffff0090a6ae0: fa1dffb0  adrp	x26, #0xfffffff007463000
0xfffffff0090a6ae4: 5a232d91  add	x26, x26, #0xb48
0xfffffff0090a6ae8: 1f790071  cmp	w8, #0x1e
0xfffffff0090a6aec: 08010054  b.hi	#0xfffffff0090a6b0c
0xfffffff0090a6af0: f7db02a9  stp	x23, x22, [sp, #0x28]
0xfffffff0090a6af4: f3e301a9  stp	x19, x24, [sp, #0x18]
0xfffffff0090a6af8: f9d300a9  stp	x25, x20, [sp, #8]
0xfffffff0090a6afc: e01dffb0  adrp	x0, #0xfffffff007463000
0xfffffff0090a6b00: 002c3591  add	x0, x0, #0xd4b
0xfffffff0090a6b04: fa0300f9  str	x26, [sp]
0xfffffff0090a6b08: 46c1ca97  bl	#0xfffffff008357020
0xfffffff0090a6b0c: 9f0a0071  cmp	w20, #2
0xfffffff0090a6b10: 48020054  b.hi	#0xfffffff0090a6b58
0xfffffff0090a6b14: a8ea40b9  ldr	w8, [x21, #0xe8]
0xfffffff0090a6b18: a4a64da9  ldp	x4, x9, [x21, #0xd8]
0xfffffff0090a6b1c: ff2704a9  stp	xzr, x9, [sp, #0x40]
0xfffffff0090a6b20: e84300b9  str	w8, [sp, #0x40]
0xfffffff0090a6b24: 2855ff90  adrp	x8, #0xfffffff007b4a000
0xfffffff0090a6b28: 08811c91  add	x8, x8, #0x720
0xfffffff0090a6b2c: 09038052  mov	w9, #0x18
0xfffffff0090a6b30: 8322a99b  umaddl	x3, w20, w9, x8
0xfffffff0090a6b34: 0855fff0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a6b38: 089941f9  ldr	x8, [x8, #0x330]
0xfffffff0090a6b3c: 09411591  add	x9, x8, #0x550
0xfffffff0090a6b40: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0090a6b44: e5030191  add	x5, sp, #0x40
0xfffffff0090a6b48: e00315aa  mov	x0, x21
0xfffffff0090a6b4c: e10314aa  mov	x1, x20
0xfffffff0090a6b50: e20313aa  mov	x2, x19
0xfffffff0090a6b54: 0b000014  b	#0xfffffff0090a6b80
0xfffffff0090a6b58: 0855fff0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a6b5c: 089941f9  ldr	x8, [x8, #0x330]
0xfffffff0090a6b60: 09411591  add	x9, x8, #0x550
0xfffffff0090a6b64: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0090a6b68: e00315aa  mov	x0, x21
0xfffffff0090a6b6c: e10314aa  mov	x1, x20
0xfffffff0090a6b70: e20313aa  mov	x2, x19
0xfffffff0090a6b74: e30318aa  mov	x3, x24
0xfffffff0090a6b78: e40317aa  mov	x4, x23
