; Candidate 15851
; ADRP+ADD at VM 0xfffffff009d66ac8 (fileoff 0x2d62ac8): page=0x1fdfb5000 add_imm=0xe00

0xfffffff009d66a48: 10a21a91  add	x16, x16, #0x6a8
0xfffffff009d66a4c: 10420091  add	x16, x16, #0x10
0xfffffff009d66a50: f10300aa  mov	x17, x0
0xfffffff009d66a54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d66a58: 300ac1da  pacda	x16, x17
0xfffffff009d66a5c: 100000f9  str	x16, [x0]
0xfffffff009d66a60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d66a64: ff0f5fd6  retab	
0xfffffff009d66a68: 5f2403d5  bti	c
0xfffffff009d66a6c: 196cff17  b	#0xfffffff009d41ad0
0xfffffff009d66a70: 5f2403d5  bti	c
0xfffffff009d66a74: 176cff17  b	#0xfffffff009d41ad0
0xfffffff009d66a78: 7f2303d5  pacibsp	
0xfffffff009d66a7c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d66a80: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d66a84: fd430091  add	x29, sp, #0x10
0xfffffff009d66a88: f30300aa  mov	x19, x0
0xfffffff009d66a8c: 116cff97  bl	#0xfffffff009d41ad0
0xfffffff009d66a90: a0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d66a94: 00003891  add	x0, x0, #0xe00
0xfffffff009d66a98: e10313aa  mov	x1, x19
0xfffffff009d66a9c: 02e08152  mov	w2, #0xf00
0xfffffff009d66aa0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d66aa4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d66aa8: ff2303d5  autibsp	
0xfffffff009d66aac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d66ab0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d66ab8
0xfffffff009d66ab4: 208e38d4  brk	#0xc471
0xfffffff009d66ab8: f9029617  b	#0xfffffff0082e769c
0xfffffff009d66abc: 5f2403d5  bti	c
0xfffffff009d66ac0: e20301aa  mov	x2, x1
0xfffffff009d66ac4: e10300aa  mov	x1, x0
0xfffffff009d66ac8: a0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d66acc: 00003891  add	x0, x0, #0xe00
0xfffffff009d66ad0: f3029617  b	#0xfffffff0082e769c
0xfffffff009d66ad4: 5f2403d5  bti	c
0xfffffff009d66ad8: a03200d0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d66adc: 00002a91  add	x0, x0, #0xa80
0xfffffff009d66ae0: c0035fd6  ret	
0xfffffff009d66ae4: 7f2303d5  pacibsp	
0xfffffff009d66ae8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d66aec: fd030091  mov	x29, sp
0xfffffff009d66af0: 61c8feb0  adrp	x1, #0xfffffff007673000
0xfffffff009d66af4: 21a01f91  add	x1, x1, #0x7e8
0xfffffff009d66af8: a23200d0  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d66afc: 42601f91  add	x2, x2, #0x7d8
0xfffffff009d66b00: 03e08152  mov	w3, #0xf00
0xfffffff009d66b04: 0df49597  bl	#0xfffffff0082e3b38
0xfffffff009d66b08: 70fdfed0  adrp	x16, #0xfffffff007d14000
0xfffffff009d66b0c: 10623591  add	x16, x16, #0xd58
0xfffffff009d66b10: 10420091  add	x16, x16, #0x10
0xfffffff009d66b14: f10300aa  mov	x17, x0
0xfffffff009d66b18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d66b1c: 300ac1da  pacda	x16, x17
0xfffffff009d66b20: 100000f9  str	x16, [x0]
0xfffffff009d66b24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d66b28: ff0f5fd6  retab	
0xfffffff009d66b2c: 7f2303d5  pacibsp	
0xfffffff009d66b30: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d66b34: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d66b38: fd430091  add	x29, sp, #0x10
0xfffffff009d66b3c: a0fdfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d66b40: 00003891  add	x0, x0, #0xe00
0xfffffff009d66b44: 01e08152  mov	w1, #0xf00
