; Candidate 14699
; ADRP+ADD at VM 0xfffffff00988486c (fileoff 0x288086c): page=0x1fe3e0000 add_imm=0xe30

0xfffffff0098847ec: 7949ab97  bl	#0xfffffff008356dd0
0xfffffff0098847f0: 800e00f9  str	x0, [x20, #0x18]
0xfffffff0098847f4: 600000b4  cbz	x0, #0xfffffff009884800
0xfffffff0098847f8: 931600f9  str	x19, [x20, #0x28]
0xfffffff0098847fc: 20008052  mov	w0, #1
0xfffffff009884800: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009884804: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009884808: ff0f5fd6  retab	
0xfffffff00988480c: 7f2303d5  pacibsp	
0xfffffff009884810: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009884814: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009884818: fd430091  add	x29, sp, #0x10
0xfffffff00988481c: f30300aa  mov	x19, x0
0xfffffff009884820: 100040f9  ldr	x16, [x0]
0xfffffff009884824: f10300aa  mov	x17, x0
0xfffffff009884828: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00988482c: 301ac1da  autda	x16, x17
0xfffffff009884830: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff009884834: e90310aa  mov	x9, x16
0xfffffff009884838: f10309aa  mov	x17, x9
0xfffffff00988483c: d1b6e7f2  movk	x17, #0x3db6, lsl #48
0xfffffff009884840: 11093fd7  blraa	x8, x17
0xfffffff009884844: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff009884848: 810100b4  cbz	x1, #0xfffffff009884878
0xfffffff00988484c: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff009884850: 09fd7dd3  lsr	x9, x8, #0x3d
0xfffffff009884854: 08f17dd3  lsl	x8, x8, #3
0xfffffff009884858: 1f0500b1  cmn	x8, #1
0xfffffff00988485c: 20c940fa  ccmp	x9, #0, #0, gt
0xfffffff009884860: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009884864: 0201899a  csel	x2, x8, x9, eq
0xfffffff009884868: 7f0e00f9  str	xzr, [x19, #0x18]
0xfffffff00988486c: 001fff90  adrp	x0, #0xfffffff007c64000
0xfffffff009884870: 00c03891  add	x0, x0, #0xe30
0xfffffff009884874: 5d49ab97  bl	#0xfffffff008356de8
0xfffffff009884878: c11effb0  adrp	x1, #0xfffffff007c5d000
0xfffffff00988487c: 21c044f9  ldr	x1, [x1, #0x980]
0xfffffff009884880: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009884884: e00313aa  mov	x0, x19
0xfffffff009884888: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00988488c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009884890: ff2303d5  autibsp	
0xfffffff009884894: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009884898: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0098848a0
0xfffffff00988489c: 208e38d4  brk	#0xc471
0xfffffff0098848a0: f10301aa  mov	x17, x1
0xfffffff0098848a4: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0098848a8: 110a1fd7  braa	x16, x17
0xfffffff0098848ac: 7f2303d5  pacibsp	
0xfffffff0098848b0: ff4301d1  sub	sp, sp, #0x50
0xfffffff0098848b4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0098848b8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0098848bc: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0098848c0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0098848c4: fd030191  add	x29, sp, #0x40
0xfffffff0098848c8: f30301aa  mov	x19, x1
0xfffffff0098848cc: f40300aa  mov	x20, x0
0xfffffff0098848d0: 171440f9  ldr	x23, [x0, #0x28]
0xfffffff0098848d4: e8fa7cd3  ubfx	x8, x23, #0x3c, #3
0xfffffff0098848d8: e9ee7cd3  lsl	x9, x23, #4
0xfffffff0098848dc: 3f0500b1  cmn	x9, #1
0xfffffff0098848e0: 00c940fa  ccmp	x8, #0, #0, gt
0xfffffff0098848e4: 1600f0d2  mov	x22, #-0x8000000000000000
0xfffffff0098848e8: 2101969a  csel	x1, x9, x22, eq
