; Candidate 2099
; ADRP+ADD at VM 0xfffffff00855890c (fileoff 0x155490c): page=0x1feb89000 add_imm=0xdd8

0xfffffff00855888c: 61a2843d  str	q1, [x19, #0x1280]
0xfffffff008558890: 000541ad  ldp	q0, q1, [x8, #0x20]
0xfffffff008558894: 60a6843d  str	q0, [x19, #0x1290]
0xfffffff008558898: 61aa843d  str	q1, [x19, #0x12a0]
0xfffffff00855889c: 085cff90  adrp	x8, #0xfffffff0070d8000
0xfffffff0085588a0: 08211a91  add	x8, x8, #0x688
0xfffffff0085588a4: 010141ad  ldp	q1, q0, [x8, #0x20]
0xfffffff0085588a8: 60ca843d  str	q0, [x19, #0x1320]
0xfffffff0085588ac: 61c6843d  str	q1, [x19, #0x1310]
0xfffffff0085588b0: 010140ad  ldp	q1, q0, [x8]
0xfffffff0085588b4: 60c2843d  str	q0, [x19, #0x1300]
0xfffffff0085588b8: 61be843d  str	q1, [x19, #0x12f0]
0xfffffff0085588bc: 010143ad  ldp	q1, q0, [x8, #0x60]
0xfffffff0085588c0: 60da843d  str	q0, [x19, #0x1360]
0xfffffff0085588c4: 61d6843d  str	q1, [x19, #0x1350]
0xfffffff0085588c8: 010142ad  ldp	q1, q0, [x8, #0x40]
0xfffffff0085588cc: 60d2843d  str	q0, [x19, #0x1340]
0xfffffff0085588d0: 61ce843d  str	q1, [x19, #0x1330]
0xfffffff0085588d4: e00314aa  mov	x0, x20
0xfffffff0085588d8: 1732f697  bl	#0xfffffff0082e5134
0xfffffff0085588dc: e00313aa  mov	x0, x19
0xfffffff0085588e0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0085588e4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0085588e8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0085588ec: ff0f5fd6  retab	
0xfffffff0085588f0: 5f2403d5  bti	c
0xfffffff0085588f4: 802ff617  b	#0xfffffff0082e46f4
0xfffffff0085588f8: 5f2403d5  bti	c
0xfffffff0085588fc: 7e2ff617  b	#0xfffffff0082e46f4
0xfffffff008558900: 7f2303d5  pacibsp	
0xfffffff008558904: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008558908: fd030091  mov	x29, sp
0xfffffff00855890c: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008558910: 00603791  add	x0, x0, #0xdd8
0xfffffff008558914: 4942f797  bl	#0xfffffff008329238
0xfffffff008558918: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855891c: 008903f9  str	x0, [x8, #0x710]
0xfffffff008558920: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008558924: 00083891  add	x0, x0, #0xe02
0xfffffff008558928: 4442f797  bl	#0xfffffff008329238
0xfffffff00855892c: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008558930: 008d03f9  str	x0, [x8, #0x718]
0xfffffff008558934: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008558938: 00883891  add	x0, x0, #0xe22
0xfffffff00855893c: 3f42f797  bl	#0xfffffff008329238
0xfffffff008558940: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008558944: 009103f9  str	x0, [x8, #0x720]
0xfffffff008558948: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855894c: 00e43891  add	x0, x0, #0xe39
0xfffffff008558950: 3a42f797  bl	#0xfffffff008329238
0xfffffff008558954: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008558958: 009503f9  str	x0, [x8, #0x728]
0xfffffff00855895c: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008558960: 004c3991  add	x0, x0, #0xe53
0xfffffff008558964: 3542f797  bl	#0xfffffff008329238
0xfffffff008558968: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855896c: 009903f9  str	x0, [x8, #0x730]
0xfffffff008558970: 405cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008558974: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008558978: 3042f797  bl	#0xfffffff008329238
0xfffffff00855897c: e8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008558980: 009d03f9  str	x0, [x8, #0x738]
0xfffffff008558984: e0eb00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008558988: 00001d91  add	x0, x0, #0x740
