; Candidate 15888
; ADRP+ADD at VM 0xfffffff009dc27dc (fileoff 0x2dbe7dc): page=0x1fd8d7000 add_imm=0xe63

0xfffffff009dc275c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff009dc2760: e92300a9  stp	x9, x8, [sp]
0xfffffff009dc2764: a0c6fef0  adrp	x0, #0xfffffff007699000
0xfffffff009dc2768: 00243991  add	x0, x0, #0xe49
0xfffffff009dc276c: 2d529697  bl	#0xfffffff008357020
0xfffffff009dc2770: 7fae01b9  str	wzr, [x19, #0x1ac]
0xfffffff009dc2774: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009dc2778: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009dc277c: ff030191  add	sp, sp, #0x40
0xfffffff009dc2780: ff0f5fd6  retab	
0xfffffff009dc2784: 7f2303d5  pacibsp	
0xfffffff009dc2788: ff0301d1  sub	sp, sp, #0x40
0xfffffff009dc278c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009dc2790: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009dc2794: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009dc2798: fdc30091  add	x29, sp, #0x30
0xfffffff009dc279c: f42f0090  adrp	x20, #0xfffffff00a3be000
0xfffffff009dc27a0: 88e25139  ldrb	w8, [x20, #0x478]
0xfffffff009dc27a4: 68000036  tbz	w8, #0, #0xfffffff009dc27b0
0xfffffff009dc27a8: 13008052  mov	w19, #0
0xfffffff009dc27ac: 22000014  b	#0xfffffff009dc2834
0xfffffff009dc27b0: b8ebff97  bl	#0xfffffff009dbd690
0xfffffff009dc27b4: f52f0090  adrp	x21, #0xfffffff00a3be000
0xfffffff009dc27b8: b5421291  add	x21, x21, #0x490
0xfffffff009dc27bc: a00240f9  ldr	x0, [x21]
0xfffffff009dc27c0: c3a47f97  bl	#0xfffffff007dabacc
0xfffffff009dc27c4: c7ebff97  bl	#0xfffffff009dbd6e0
0xfffffff009dc27c8: f30300aa  mov	x19, x0
0xfffffff009dc27cc: a00240f9  ldr	x0, [x21]
0xfffffff009dc27d0: dba77f97  bl	#0xfffffff007dac73c
0xfffffff009dc27d4: d3000034  cbz	w19, #0xfffffff009dc27ec
0xfffffff009dc27d8: f30300f9  str	x19, [sp]
0xfffffff009dc27dc: a0c6fef0  adrp	x0, #0xfffffff007699000
0xfffffff009dc27e0: 008c3991  add	x0, x0, #0xe63
0xfffffff009dc27e4: 0f529697  bl	#0xfffffff008357020
0xfffffff009dc27e8: 13000014  b	#0xfffffff009dc2834
0xfffffff009dc27ec: a2ecff97  bl	#0xfffffff009dbda74
0xfffffff009dc27f0: 41f5ff97  bl	#0xfffffff009dbfcf4
0xfffffff009dc27f4: 2fe8ff97  bl	#0xfffffff009dbc8b0
0xfffffff009dc27f8: 00008052  mov	w0, #0
0xfffffff009dc27fc: fc030094  bl	#0xfffffff009dc37ec
0xfffffff009dc2800: 00008052  mov	w0, #0
0xfffffff009dc2804: 42030094  bl	#0xfffffff009dc350c
0xfffffff009dc2808: 13f8ff97  bl	#0xfffffff009dc0854
0xfffffff009dc280c: e0000034  cbz	w0, #0xfffffff009dc2828
0xfffffff009dc2810: e00300f9  str	x0, [sp]
0xfffffff009dc2814: a0c6fef0  adrp	x0, #0xfffffff007699000
0xfffffff009dc2818: 003c3a91  add	x0, x0, #0xe8f
0xfffffff009dc281c: 01529697  bl	#0xfffffff008357020
0xfffffff009dc2820: b3008052  mov	w19, #5
0xfffffff009dc2824: 04000014  b	#0xfffffff009dc2834
0xfffffff009dc2828: 13008052  mov	w19, #0
0xfffffff009dc282c: 28008052  mov	w8, #1
0xfffffff009dc2830: 88e21139  strb	w8, [x20, #0x478]
0xfffffff009dc2834: e00313aa  mov	x0, x19
0xfffffff009dc2838: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009dc283c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009dc2840: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009dc2844: ff030191  add	sp, sp, #0x40
0xfffffff009dc2848: ff0f5fd6  retab	
0xfffffff009dc284c: 7f2303d5  pacibsp	
0xfffffff009dc2850: ffc300d1  sub	sp, sp, #0x30
0xfffffff009dc2854: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009dc2858: fd7b02a9  stp	x29, x30, [sp, #0x20]
