; Candidate 9083
; ADRP+ADD at VM 0xfffffff0089f1b00 (fileoff 0x19edb00): page=0x1fe8a2000 add_imm=0xd68

0xfffffff0089f1a80: 20008052  mov	w0, #1
0xfffffff0089f1a84: c0035fd6  ret	
0xfffffff0089f1a88: 5f2403d5  bti	c
0xfffffff0089f1a8c: e0588052  mov	w0, #0x2c7
0xfffffff0089f1a90: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f1a94: c0035fd6  ret	
0xfffffff0089f1a98: 5f2403d5  bti	c
0xfffffff0089f1a9c: e0588052  mov	w0, #0x2c7
0xfffffff0089f1aa0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f1aa4: c0035fd6  ret	
0xfffffff0089f1aa8: 5f2403d5  bti	c
0xfffffff0089f1aac: e0588052  mov	w0, #0x2c7
0xfffffff0089f1ab0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f1ab4: c0035fd6  ret	
0xfffffff0089f1ab8: 5f2403d5  bti	c
0xfffffff0089f1abc: e0588052  mov	w0, #0x2c7
0xfffffff0089f1ac0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f1ac4: c0035fd6  ret	
0xfffffff0089f1ac8: 5f2403d5  bti	c
0xfffffff0089f1acc: 00008052  mov	w0, #0
0xfffffff0089f1ad0: c0035fd6  ret	
0xfffffff0089f1ad4: 5f2403d5  bti	c
0xfffffff0089f1ad8: e0588052  mov	w0, #0x2c7
0xfffffff0089f1adc: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089f1ae0: c0035fd6  ret	
0xfffffff0089f1ae4: 5f2403d5  bti	c
0xfffffff0089f1ae8: 03cbe317  b	#0xfffffff0082e46f4
0xfffffff0089f1aec: 5f2403d5  bti	c
0xfffffff0089f1af0: 01cbe317  b	#0xfffffff0082e46f4
0xfffffff0089f1af4: 7f2303d5  pacibsp	
0xfffffff0089f1af8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0089f1afc: fd030091  mov	x29, sp
0xfffffff0089f1b00: 0045ffd0  adrp	x0, #0xfffffff007293000
0xfffffff0089f1b04: 00a03591  add	x0, x0, #0xd68
0xfffffff0089f1b08: ccdde497  bl	#0xfffffff008329238
0xfffffff0089f1b0c: 68c70090  adrp	x8, #0xfffffff00a2dd000
0xfffffff0089f1b10: 003d06f9  str	x0, [x8, #0xc78]
0xfffffff0089f1b14: 60c70090  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f1b18: 00003291  add	x0, x0, #0xc80
0xfffffff0089f1b1c: 0145ffd0  adrp	x1, #0xfffffff007293000
0xfffffff0089f1b20: 21cc3691  add	x1, x1, #0xdb3
0xfffffff0089f1b24: a282ffb0  adrp	x2, #0xfffffff007a46000
0xfffffff0089f1b28: 424846f9  ldr	x2, [x2, #0xc90]
0xfffffff0089f1b2c: 03218052  mov	w3, #0x108
0xfffffff0089f1b30: 02c8e397  bl	#0xfffffff0082e3b38
0xfffffff0089f1b34: b082ffd0  adrp	x16, #0xfffffff007a47000
0xfffffff0089f1b38: 10c20d91  add	x16, x16, #0x370
0xfffffff0089f1b3c: 10420091  add	x16, x16, #0x10
0xfffffff0089f1b40: f10300aa  mov	x17, x0
0xfffffff0089f1b44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089f1b48: 300ac1da  pacda	x16, x17
0xfffffff0089f1b4c: 100000f9  str	x16, [x0]
0xfffffff0089f1b50: 60c70090  adrp	x0, #0xfffffff00a2dd000
0xfffffff0089f1b54: 00e03291  add	x0, x0, #0xcb8
0xfffffff0089f1b58: 0145fff0  adrp	x1, #0xfffffff007294000
0xfffffff0089f1b5c: 21ec0191  add	x1, x1, #0x7b
0xfffffff0089f1b60: a282ffb0  adrp	x2, #0xfffffff007a46000
0xfffffff0089f1b64: 424446f9  ldr	x2, [x2, #0xc88]
0xfffffff0089f1b68: 031c8052  mov	w3, #0xe0
0xfffffff0089f1b6c: f3c7e397  bl	#0xfffffff0082e3b38
0xfffffff0089f1b70: b082ffd0  adrp	x16, #0xfffffff007a47000
0xfffffff0089f1b74: 10c22791  add	x16, x16, #0x9f0
0xfffffff0089f1b78: 10420091  add	x16, x16, #0x10
0xfffffff0089f1b7c: f10300aa  mov	x17, x0
